datetime,D11Z,D12Z,D13Z,D21Z,D22Z,D23Z,D31Z,D32Z,D33Z,D41Z,D42Z,D43Z,V14Z,V15Z,V16Z,V34Z,V35Z,V36Z,V10Z,Total
2024-03-01 01:00:00,0,1,0,1,3,3,1,1,0,1,3,0,1,0,1,1,1,1,1,20
2024-03-01 01:10:00,2,0,2,0,2,1,3,1,0,0,0,1,0,1,0,3,1,0,0,17
2024-03-01 01:20:00,2,1,1,1,6,0,2,0,2,0,0,1,1,2,1,2,0,2,1,25
2024-03-01 01:30:00,3,3,2,3,4,1,0,2,2,1,5,0,3,3,2,0,1,3,3,41
2024-03-01 01:40:00,1,0,0,0,2,1,0,1,1,1,12,0,0,1,0,0,1,1,0,22
2024-03-01 01:50:00,1,0,2,0,0,2,2,1,0,1,1,2,0,1,0,2,1,0,0,16
2024-03-01 02:00:00,0,1,3,1,1,3,2,0,0,1,3,0,1,0,1,2,0,0,1,20
2024-03-01 02:10:00,1,1,1,0,0,0,1,0,1,0,6,0,0,1,1,1,0,1,0,15
2024-03-01 02:20:00,1,1,1,0,0,2,1,0,0,0,1,0,0,1,1,1,0,0,0,10
2024-03-01 02:30:00,1,3,2,1,1,2,1,0,0,1,1,0,1,1,3,1,0,0,1,20
2024-03-01 02:40:00,1,1,1,2,2,1,0,1,0,13,3,0,1,3,1,0,1,0,3,34
2024-03-01 02:50:00,0,0,0,1,4,0,1,0,0,37,8,0,1,0,0,1,0,0,1,54
2024-03-01 03:00:00,2,1,0,1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,1,12
2024-03-01 03:10:00,2,0,0,2,2,2,0,1,0,0,1,0,1,2,0,0,1,0,5,19
2024-03-01 03:20:00,2,3,2,1,5,2,0,2,1,0,1,0,1,2,2,1,2,1,2,30
2024-03-01 03:30:00,0,1,1,1,4,1,1,1,2,3,4,0,1,1,1,1,1,3,2,29
2024-03-01 03:40:00,2,1,0,0,0,2,2,2,0,1,2,0,0,2,1,0,3,0,0,18
2024-03-01 03:50:00,1,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,9
2024-03-01 04:00:00,1,0,0,2,2,0,1,0,1,1,2,0,1,1,0,1,0,1,1,15
2024-03-01 04:10:00,3,1,0,2,5,0,2,3,0,0,0,0,2,3,0,2,3,0,2,28
2024-03-01 04:20:00,1,1,1,0,1,0,2,1,0,3,5,0,0,1,1,2,1,0,0,20
2024-03-01 04:30:00,1,2,1,1,3,0,4,2,1,5,5,0,1,1,1,4,2,1,1,36
2024-03-01 04:40:00,2,1,1,0,8,1,1,1,1,2,20,1,0,2,1,1,1,1,0,45
2024-03-01 04:50:00,0,3,1,0,2,1,5,3,2,1,3,1,0,0,3,5,3,2,0,35
2024-03-01 05:00:00,1,1,0,0,4,0,9,9,3,3,8,0,0,1,1,7,9,3,0,59
2024-03-01 05:10:00,4,3,4,0,7,2,7,11,2,4,16,2,0,4,2,8,9,3,0,88
2024-03-01 05:20:00,2,1,4,5,10,3,12,16,3,10,11,0,5,2,1,12,15,3,5,120
2024-03-01 05:30:00,4,5,4,5,19,10,26,19,2,13,32,3,5,3,5,18,21,3,5,202
2024-03-01 05:40:00,7,6,4,6,16,6,34,27,1,14,51,2,6,7,7,30,26,3,7,260
2024-03-01 05:50:00,2,5,2,5,21,9,28,25,5,11,70,2,5,2,5,15,25,3,5,245
2024-03-01 06:00:00,8,12,4,3,16,8,31,29,6,15,17,6,4,6,13,25,30,8,12,253
2024-03-01 06:10:00,9,16,5,7,14,9,27,27,2,17,22,1,8,8,15,67,23,3,8,288
2024-03-01 06:20:00,8,10,5,9,16,10,32,28,5,34,17,4,8,7,10,29,37,10,8,287
