datetime,D11Z,D21Z,V22Z,D31Z,V32Z,V33Z,D41Z,V42Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,V221Z,V222Z,Total
2024-03-01 01:00:00,6,0,2,2,4,2,0,0,4,0,4,0,1,5,3,3,1,5,0,10,1,1,2,1,0,0,57
2024-03-01 01:10:00,9,5,4,4,8,4,2,1,3,0,6,0,5,4,6,0,0,4,0,8,2,1,5,2,0,0,83
2024-03-01 01:20:00,1203,0,1,2,3,2,2,2,1,0,3,0,1,2,1,3,0,1,0,3,1,0,2,0,0,0,1233
2024-03-01 01:30:00,2,0,3,4,7,5,4,3,0,1,1,1,1,3,1,3,0,4,0,7,1,2,1,2,0,0,56
2024-03-01 01:40:00,3,1,3,4,8,4,5,6,1,0,8,0,2,0,2,0,0,2,0,4,2,1,1,2,0,0,59
2024-03-01 01:50:00,3,2,5,7,9,6,2,2,2,1,6,0,1,0,1,0,2,2,0,4,0,0,0,0,0,0,55
2024-03-01 02:00:00,2,2,2,7,12,5,1,1,3,1,4,0,0,3,0,3,0,2,0,2,0,0,0,0,0,0,50
2024-03-01 02:10:00,4,3,6,16,6,2,1,1,2,1,4,1,1,1,1,1,1,3,1,8,3,1,3,1,0,0,72
2024-03-01 02:20:00,4,2,4,2,4,1,2,2,2,0,4,0,0,0,0,0,0,3,0,5,2,0,4,0,0,0,41
2024-03-01 02:30:00,2,1,2,1,2,1,2,2,1,0,1,0,0,1,0,1,1,4,0,7,2,0,3,0,0,0,34
2024-03-01 02:40:00,1,0,2,1,1,1,2,3,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,16
2024-03-01 02:50:00,0,0,0,0,0,0,2,2,0,1,2,1,1,2,1,1,0,0,0,0,1,1,0,1,0,0,16
2024-03-01 03:00:00,2,1,2,4,4,3,1,1,3,1,6,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,32
2024-03-01 03:10:00,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,3,0,5,1,0,2,0,0,0,18
2024-03-01 03:20:00,2,1,2,4,4,5,1,1,2,0,4,0,0,0,0,0,1,2,0,4,1,0,2,0,0,0,36
2024-03-01 03:30:00,3,3,3,3,5,2,3,2,2,2,4,4,2,8,3,0,0,2,0,3,54,2,7,4,0,0,121
2024-03-01 03:40:00,1,0,1,1,2,1,3,5,1,0,3,0,2,2,2,0,0,3,0,5,0,0,0,0,0,0,32
2024-03-01 03:50:00,2,1,2,0,1,0,2,2,0,0,0,0,0,3,0,0,0,1,0,1,1,0,1,0,0,0,17
2024-03-01 04:00:00,5,3,3,5,9,6,5,4,1,1,5,1,0,0,0,0,1,7,0,4,0,0,0,0,0,0,60
2024-03-01 04:10:00,27,1,3,1,4,1,8,9,4,0,10,0,0,0,0,0,2,3,0,5,3,1,5,1,0,0,88
2024-03-01 04:20:00,1170,1,3,4,8,5,2,4,5,0,7,0,0,6,0,1,0,4,0,10,2,1,1,1,0,0,1235
2024-03-01 04:30:00,3,2,3,3,6,2,9,7,4,1,7,2,2,5,3,1,0,3,0,3,2,0,2,0,0,0,70
2024-03-01 04:40:00,3,0,3,4,4,8,18,11,4,1,13,1,2,3,2,0,0,3,0,3,4,1,3,1,0,0,92
2024-03-01 04:50:00,2,0,2,8,9,10,13,10,6,0,12,0,1,9,1,0,2,5,0,11,4,2,5,2,0,0,114
2024-03-01 05:00:00,377,1,7,4,7,4,38,23,10,6,28,7,0,1,0,1,11,7,0,6,9,3,6,3,0,0,559
2024-03-01 05:10:00,776,4,12,8,10,7,29,17,14,3,20,4,1,7,0,1,3,6,0,6,8,4,11,3,0,0,954
2024-03-01 05:20:00,1558,4,14,20,17,12,45,23,29,6,22,4,4,14,5,3,0,10,0,20,7,2,9,2,0,0,1830
2024-03-01 05:30:00,31,2,13,18,23,14,65,14,18,1,25,3,2,4,2,1,3,10,0,11,16,8,15,7,0,0,306
2024-03-01 05:40:00,19,8,15,22,23,16,74,11,22,5,24,7,9,8,8,5,0,11,0,16,16,5,24,6,0,0,354
2024-03-01 05:50:00,999,8,15,14,25,12,67,12,37,18,18,13,5,13,4,1,2,6,0,7,40,12,17,10,0,0,1355
2024-03-01 06:00:00,65,9,20,23,19,10,70,15,29,11,39,15,8,6,6,5,4,12,0,10,10,4,17,6,0,0,413
2024-03-01 06:10:00,93,12,23,29,21,15,63,19,31,23,17,23,11,15,9,1,4,15,0,15,13,7,13,8,0,0,480
2024-03-01 06:20:00,100,9,34,28,20,12,64,11,22,9,15,10,2,15,3,7,4,25,3,25,20,7,13,10,0,0,468
2024-03-01 06:30:00,74,13,20,32,14,15,75,22,41,24,16,23,8,18,11,5,6,24,0,31,20,12,21,13,0,0,538
2024-03-01 06:40:00,224,12,20,29,16,19,65,17,36,17,18,18,10,25,11,7,4,14,1,11,22,16,18,8,0,0,638
2024-03-01 06:50:00,973,11,26,30,19,15,73,17,43,31,10,17,7,18,10,8,10,13,6,24,21,13,25,14,0,0,1434
2024-03-01 07:00:00,80,20,23,18,14,8,58,12,39,24,15,16,9,22,15,10,7,18,2,11,25,19,17,14,0,0,496
2024-03-01 07:10:00,483,10,26,50,12,7,68,22,41,14,15,12,9,15,9,7,3,28,2,14,95,12,12,9,0,0,975
2024-03-01 07:20:00,785,30,24,60,16,7,62,21,30,20,7,12,9,19,6,2,8,27,4,13,31,18,15,12,0,0,1238
2024-03-01 07:30:00,710,41,27,45,14,12,61,21,39,24,9,14,15,14,10,9,11,54,6,16,36,25,9,14,0,0,1236
2024-03-01 07:40:00,107,27,30,36,16,21,61,11,26,29,9,12,9,19,10,12,9,59,3,23,45,36,21,22,0,0,653
2024-03-01 07:50:00,352,35,30,29,6,5,52,14,34,33,3,5,14,28,9,14,13,49,3,19,38,27,15,17,0,0,844
2024-03-01 08:00:00,618,31,25,38,16,8,61,13,31,25,13,13,20,22,21,8,11,37,7,27,28,16,19,14,0,0,1122
2024-03-01 08:10:00,122,33,29,24,13,8,50,15,32,22,12,11,13,22,18,10,6,43,1,20,26,22,15,18,0,0,585
