datetime,V21Z,V22Z,D51Z,D81Z,D82Z,D91Z,D41Z,V83Z,V84Z,V92Z,V43Z,V44Z,Total
2024-03-01 01:00:00,0,0,0,5,7,0,0,10,14,7,0,2,45
2024-03-01 01:10:00,0,0,0,3,6,7,0,10,14,9,1,0,50
2024-03-01 01:20:00,0,0,1,1,1,0,0,3,1,0,0,0,7
2024-03-01 01:30:00,0,0,1,5,8,1,0,19,14,9,0,1,58
2024-03-01 01:40:00,0,0,0,4,3,2,0,9,5,5,0,2,30
2024-03-01 01:50:00,0,0,1,7,7,0,0,10,14,7,0,1,47
2024-03-01 02:00:00,0,0,0,5,2,2,0,10,2,4,0,0,25
2024-03-01 02:10:00,0,0,0,7,5,0,0,12,9,7,0,1,41
2024-03-01 02:20:00,0,0,0,0,1,2,0,2,2,3,0,3,13
2024-03-01 02:30:00,0,0,2,3,2,2,0,4,3,5,0,0,21
2024-03-01 02:40:00,0,0,0,3,3,0,0,7,3,4,0,0,20
2024-03-01 02:50:00,0,0,0,2,3,0,0,4,7,3,2,1,22
2024-03-01 03:00:00,0,0,0,0,2,0,0,0,6,3,0,2,13
2024-03-01 03:10:00,0,0,0,0,2,2,0,1,4,3,0,1,13
2024-03-01 03:20:00,0,0,0,5,3,2,0,8,7,3,0,0,28
2024-03-01 03:30:00,0,0,0,3,3,0,0,10,7,4,0,0,27
2024-03-01 03:40:00,0,0,0,0,1,0,0,1,2,1,0,0,5
2024-03-01 03:50:00,0,0,0,1,2,0,0,3,4,2,1,1,14
2024-03-01 04:00:00,0,0,0,2,3,0,0,11,8,4,0,0,28
2024-03-01 04:10:00,0,0,1,3,4,1,0,9,6,8,1,0,33
2024-03-01 04:20:00,0,0,1,4,5,0,0,12,8,7,0,1,38
2024-03-01 04:30:00,0,0,0,5,2,0,0,7,5,5,0,1,25
2024-03-01 04:40:00,0,0,0,3,5,0,0,6,8,3,0,3,28
2024-03-01 04:50:00,0,0,0,4,9,5,0,12,17,9,1,2,59
2024-03-01 05:00:00,0,0,0,9,14,0,0,16,19,12,0,16,86
2024-03-01 05:10:00,0,0,0,7,9,5,0,20,19,8,0,0,68
2024-03-01 05:20:00,0,0,1,7,13,10,0,23,23,16,0,1,94
2024-03-01 05:30:00,0,0,0,24,30,6,0,38,29,40,1,2,170
