datetime,D11Z,D12Z,D13Z,D21Z,D22Z,D23Z,D31Z,D32Z,D33Z,D41Z,D42Z,D43Z,D44Z,D10Z,Total
2024-03-01 01:00:00,0,0,1,3,1,0,1,3,7,4,9,0,1,3,33
2024-03-01 01:10:00,0,0,0,7,1,0,1,1,2,0,5,0,1,2,20
2024-03-01 01:20:00,0,0,0,3,3,1,2,5,0,0,5,4,3,0,26
2024-03-01 01:30:00,0,0,1,3,3,3,4,3,1,0,5,1,1,1,26
2024-03-01 01:40:00,0,0,1,4,5,1,4,5,1,2,3,1,1,2,30
2024-03-01 01:50:00,0,0,2,4,0,0,2,1,0,2,2,0,0,2,15
2024-03-01 02:00:00,0,0,1,4,2,0,1,1,1,2,3,0,0,0,15
2024-03-01 02:10:00,0,0,0,3,2,0,2,3,0,1,2,0,0,1,14
2024-03-01 02:20:00,0,0,1,3,1,0,2,3,0,1,6,1,0,1,19
2024-03-01 02:30:00,0,0,1,2,1,0,4,2,1,0,0,2,1,0,14
2024-03-01 02:40:00,0,0,0,0,1,0,1,1,0,0,2,1,0,0,6
2024-03-01 02:50:00,0,0,2,3,0,0,1,2,0,1,3,0,0,1,13
2024-03-01 03:00:00,0,0,1,2,3,2,5,2,0,3,4,0,0,2,24
2024-03-01 03:10:00,0,0,0,3,1,0,1,0,0,0,3,0,0,0,8
2024-03-01 03:20:00,0,0,0,1,2,0,2,1,0,0,1,1,0,1,9
2024-03-01 03:30:00,0,0,1,1,0,0,2,4,0,1,3,0,0,0,12
2024-03-01 03:40:00,0,0,0,0,0,1,1,2,0,1,4,0,0,0,9
2024-03-01 03:50:00,0,0,0,0,1,2,0,1,0,1,2,0,0,1,8
2024-03-01 04:00:00,0,0,0,0,3,0,2,3,0,1,1,2,1,0,13
2024-03-01 04:10:00,0,0,0,1,2,0,2,3,0,1,7,1,0,1,18
2024-03-01 04:20:00,0,0,1,3,4,0,2,1,2,3,3,1,1,1,22
2024-03-01 04:30:00,0,0,2,6,2,2,1,2,0,0,2,0,0,1,18
2024-03-01 04:40:00,0,0,0,5,3,0,3,1,2,2,4,2,2,0,24
2024-03-01 04:50:00,0,0,3,3,3,1,2,1,2,1,7,4,1,1,29
2024-03-01 05:00:00,0,0,1,10,7,1,1,3,2,4,7,1,0,1,38
2024-03-01 05:10:00,0,0,0,5,9,5,3,3,4,1,4,2,6,2,44
2024-03-01 05:20:00,0,0,2,15,12,4,4,13,4,5,11,4,7,2,83
2024-03-01 05:30:00,0,0,2,24,21,4,3,9,3,0,16,3,5,4,94
2024-03-01 05:40:00,0,0,2,23,22,4,4,9,3,3,17,1,9,2,99
2024-03-01 05:50:00,0,0,4,23,28,9,5,12,5,2,18,8,17,2,133
2024-03-01 06:00:00,0,0,4,25,21,4,6,12,3,3,24,9,14,5,130
2024-03-01 06:10:00,0,0,3,23,35,8,5,9,6,4,29,10,13,1,146
2024-03-01 06:20:00,0,0,3,39,33,8,4,29,6,6,47,9,11,3,198
2024-03-01 06:30:00,0,0,2,44,29,11,9,17,9,5,30,11,10,8,185
2024-03-01 06:40:00,0,0,5,46,29,15,24,30,15,6,56,11,16,3,256
2024-03-01 06:50:00,0,0,9,48,42,7,15,30,11,5,46,13,16,5,247
2024-03-01 07:00:00,0,0,1,65,43,14,14,28,11,9,57,10,15,10,277
2024-03-01 07:10:00,0,0,5,47,34,20,23,32,19,6,49,11,11,10,267
