datetime,D11Z,D12Z,D13Z,V111Z,V121Z,V131Z,D21Z,D22Z,D23Z,D24Z,D25Z,V211Z,V221Z,V231Z,V232Z,V311Z,D41Z,D42Z,D43Z,V411Z,V421Z,V431Z,D51Z,D52Z,D53Z,V511Z,V521Z,V531Z,V532Z,Total
2024-03-01 01:00:00,0,3,0,3,2,1,1,194,3,1,4,3,1,4,10,0,0,1,0,2,0,4,2,1,0,0,2,0,0,242
2024-03-01 01:10:00,2,0,2,0,1,1,0,99,1,1,2,1,1,2,2,0,0,3,3,3,1,3,9,3,1,0,2,0,0,143
2024-03-01 01:20:00,2,6,1,9,1,2,4,279,0,4,2,0,4,2,0,0,0,3,6,3,2,2,3,2,3,1,1,3,1,346
2024-03-01 01:30:00,2,3,3,3,0,0,1,81,2,1,2,2,1,2,3,0,0,3,2,2,2,4,3,2,0,1,0,0,1,126
2024-03-01 01:40:00,4,2,7,2,1,1,2,118,0,2,1,0,2,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,148
2024-03-01 01:50:00,0,2,0,2,1,2,1,22,0,2,2,0,2,2,0,0,0,1,1,1,1,2,4,1,1,3,0,1,3,57
2024-03-01 02:00:00,1,2,2,2,1,1,1,7,0,1,0,0,1,0,0,0,0,2,0,2,0,3,4,3,1,0,1,0,0,35
2024-03-01 02:10:00,1,1,1,0,1,2,2,230,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,2,250
2024-03-01 02:20:00,1,2,2,2,3,3,0,43,1,0,0,0,0,0,0,1,0,2,4,2,5,4,4,3,2,0,1,2,0,87
2024-03-01 02:30:00,0,0,0,0,0,0,1,29,3,1,0,1,1,1,2,1,2,1,1,1,1,0,2,2,1,0,0,1,0,52
2024-03-01 02:40:00,1,0,2,0,0,0,3,327,0,6,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,350
2024-03-01 02:50:00,0,1,0,2,1,1,1,53,0,2,0,0,1,0,0,0,0,2,1,3,1,1,2,3,0,0,2,0,0,77
2024-03-01 03:00:00,1,0,2,0,0,0,0,68,0,0,0,0,0,0,0,0,0,4,1,6,0,0,1,1,0,1,0,0,1,86
2024-03-01 03:10:00,1,1,0,1,1,1,0,74,2,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,89
2024-03-01 03:20:00,0,2,0,3,0,0,1,86,0,1,0,0,1,0,0,1,1,0,1,0,1,3,1,1,1,1,1,2,1,109
2024-03-01 03:30:00,1,1,2,1,1,2,3,125,1,4,1,1,3,2,1,0,0,4,1,5,0,2,1,1,1,2,1,1,2,170
2024-03-01 03:40:00,1,3,1,3,0,0,3,74,0,5,1,0,3,2,0,0,0,1,1,1,0,2,3,1,0,2,1,0,3,111
2024-03-01 03:50:00,1,3,1,4,0,0,2,28,0,1,0,0,1,0,0,0,0,1,1,1,1,0,9,4,2,0,0,1,0,61
2024-03-01 04:00:00,1,2,1,2,1,1,1,17,0,2,0,0,1,0,0,0,0,3,1,5,2,3,3,2,0,0,0,0,0,48
2024-03-01 04:10:00,1,1,2,3,0,0,4,803,1,2,1,1,3,1,1,0,0,2,2,1,2,1,2,2,0,1,1,0,1,839
2024-03-01 04:20:00,2,1,3,1,0,0,2,491,0,3,3,0,2,2,0,0,0,1,0,1,0,3,3,2,2,1,3,3,1,530
2024-03-01 04:30:00,1,0,1,0,2,1,4,87,2,6,3,2,4,2,3,0,0,2,4,2,4,1,7,5,3,0,1,2,0,149
2024-03-01 04:40:00,1,1,2,1,1,1,3,82,0,2,0,0,2,0,0,0,0,3,2,2,1,2,5,3,3,2,1,4,2,126
2024-03-01 04:50:00,3,0,5,0,1,1,6,243,0,8,1,0,5,4,0,0,0,0,0,0,0,0,2,2,0,1,0,1,3,286
2024-03-01 05:00:00,4,2,6,2,2,3,12,240,1,13,5,1,11,8,1,2,3,4,0,4,0,4,5,5,0,2,3,0,2,345
2024-03-01 05:10:00,3,3,4,3,0,0,13,69,1,11,6,1,13,5,1,0,0,2,2,2,2,4,12,8,4,1,3,1,1,175
2024-03-01 05:20:00,4,3,4,5,1,1,21,511,1,14,4,1,17,7,1,2,0,7,4,9,4,14,14,11,2,3,7,2,4,678
2024-03-01 05:30:00,4,6,9,5,0,0,29,416,1,25,8,0,30,7,1,1,3,3,7,3,7,4,10,11,4,1,3,3,1,602
2024-03-01 05:40:00,6,4,4,4,4,4,25,88,4,25,13,6,25,11,5,1,1,3,3,4,4,5,20,18,14,9,3,11,12,336
2024-03-01 05:50:00,12,6,18,5,1,3,37,470,4,18,24,3,38,18,5,2,1,4,3,5,5,4,21,23,13,6,3,15,9,776
2024-03-01 06:00:00,4,3,5,3,1,1,29,262,8,22,11,5,29,14,5,1,3,7,4,9,6,8,21,14,16,5,4,19,4,523
2024-03-01 06:10:00,57,11,7,9,4,5,36,243,6,18,17,7,32,18,7,4,4,3,3,3,4,9,24,18,18,7,8,20,16,618
2024-03-01 06:20:00,10,11,8,11,4,3,38,355,5,20,17,7,40,19,11,1,2,8,9,12,11,13,27,21,13,7,8,9,6,706
2024-03-01 06:30:00,9,13,10,12,3,3,40,193,3,21,16,1,40,21,3,1,7,6,7,11,8,10,23,15,16,4,10,14,10,530
2024-03-01 06:40:00,11,15,11,11,3,3,64,206,9,20,15,9,63,30,13,6,10,12,15,19,14,12,23,32,24,14,7,19,17,707
2024-03-01 06:50:00,9,19,8,15,6,5,52,440,8,17,20,6,52,30,13,5,4,16,18,16,17,20,20,25,22,6,11,24,6,910
2024-03-01 07:00:00,10,16,11,14,3,5,56,500,13,20,13,11,60,25,12,3,4,22,25,12,13,21,30,31,27,7,12,19,8,1003
2024-03-01 07:10:00,19,38,13,23,9,3,50,394,16,15,20,14,53,39,11,5,7,25,28,13,13,87,13,19,25,14,14,20,11,1011
2024-03-01 07:20:00,14,28,14,18,12,6,75,171,27,17,22,16,72,47,14,13,14,24,31,6,11,30,24,50,58,16,16,33,9,888
2024-03-01 07:30:00,14,29,11,22,21,13,59,314,6,7,15,5,61,37,4,19,25,45,59,0,6,36,19,34,39,11,17,21,10,959
2024-03-01 07:40:00,22,40,16,27,17,10,77,371,17,8,22,12,68,45,11,17,22,27,35,7,11,36,59,51,64,17,18,22,7,1156
2024-03-01 07:50:00,19,37,13,20,17,15,64,293,16,21,22,11,65,41,18,13,23,30,35,12,10,132,24,29,52,13,15,49,4,1113
2024-03-01 08:00:00,23,39,18,25,8,4,65,651,20,18,18,12,61,38,19,12,14,29,33,9,13,35,28,34,37,16,19,27,4,1329
2024-03-01 08:10:00,17,29,11,14,8,9,53,363,24,18,19,19,52,43,18,16,27,26,31,12,12,29,21,31,33,20,13,18,14,1000
2024-03-01 08:20:00,16,28,12,20,9,7,53,386,12,23,10,13,54,27,11,13,16,26,29,16,14,28,20,26,31,17,19,19,11,966
2024-03-01 08:30:00,14,17,4,14,7,4,53,405,18,14,20,17,51,42,13,9,14,23,32,9,11,25,20,29,36,17,7,29,8,962
2024-03-01 08:40:00,17,43,11,30,8,13,67,789,21,9,16,8,66,34,10,6,15,38,39,15,11,34,16,26,43,19,15,23,7,1449
2024-03-01 08:50:00,10,31,9,24,12,11,62,261,19,20,22,18,56,37,13,10,20,25,26,11,10,25,20,23,29,18,16,27,18,883
2024-03-01 09:00:00,14,33,8,13,9,6,51,569,23,39,17,13,53,33,16,11,14,30,19,13,11,29,14,16,21,26,16,15,22,1154
2024-03-01 09:10:00,18,33,8,20,7,7,61,316,14,22,18,11,59,36,11,8,10,26,27,14,16,25,16,22,32,22,15,24,10,908
2024-03-01 09:20:00,20,35,16,26,8,8,35,210,8,19,17,8,38,28,6,4,12,28,33,14,9,29,20,23,26,20,13,24,17,754
2024-03-01 09:30:00,17,22,13,13,14,14,49,725,17,19,14,18,51,29,15,6,16,16,25,13,13,21,22,28,32,15,12,17,11,1277
2024-03-01 09:40:00,11,34,10,24,12,8,39,463,22,13,15,16,39,39,16,12,18,34,39,9,10,28,14,22,22,14,15,15,9,1022
2024-03-01 09:50:00,12,39,12,19,12,7,40,188,19,19,11,11,34,34,16,11,15,30,31,13,18,22,23,19,21,14,11,16,11,728
2024-03-01 10:00:00,16,31,9,19,6,7,46,340,26,18,20,16,43,36,11,2,3,38,30,13,16,27,20,28,22,15,11,18,12,899
2024-03-01 10:10:00,12,33,11,24,30,4,31,443,23,12,11,14,36,34,15,8,12,29,25,21,10,21,22,24,22,21,15,17,12,992
2024-03-01 10:20:00,8,33,7,19,11,11,42,421,17,21,14,19,37,30,13,7,13,36,25,12,14,21,16,25,17,27,12,15,22,965
2024-03-01 10:30:00,15,38,9,27,15,13,38,112,17,10,16,18,39,35,11,6,12,27,32,16,17,24,13,20,24,24,18,18,11,675
2024-03-01 10:40:00,13,36,12,15,12,14,42,204,24,14,12,17,43,40,19,4,7,31,33,12,14,29,17,24,31,21,17,21,17,795
2024-03-01 10:50:00,18,31,12,23,15,12,37,577,23,15,13,17,39,45,19,6,6,33,33,16,16,17,23,29,28,20,12,18,19,1172
2024-03-01 11:00:00,24,42,10,17,8,7,45,224,19,16,18,16,45,37,14,7,9,25,25,8,14,28,19,30,18,24,17,12,14,792
2024-03-01 11:10:00,16,47,14,26,14,13,41,395,17,10,18,12,44,32,13,6,10,29,27,10,15,29,16,19,23,19,17,12,16,960
