datetime,D21Z,D22Z,V23Z,V24Z,D50Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,V85Z,D110Z,D111Z,D112Z,V113Z,V114Z,V115Z,Total
2024-03-01 01:00:00,6,9,0,0,1,1,0,1,0,136,1,10,0,0,0,6,2,7,2,1,183
2024-03-01 01:10:00,9,4,2,0,0,2,5,2,0,57,1,9,1,2,0,5,6,7,0,1,113
2024-03-01 01:20:00,3,1,0,0,0,3,1,3,1,415,0,4,0,0,0,5,0,3,0,0,439
2024-03-01 01:30:00,5,4,0,0,0,1,0,2,0,458,4,6,2,5,0,3,2,4,1,1,498
2024-03-01 01:40:00,6,8,2,0,0,3,1,3,0,634,2,5,1,0,0,1,1,2,1,2,672
2024-03-01 01:50:00,1,6,0,0,0,1,0,1,0,1714,0,3,0,0,0,1,0,2,0,0,1729
2024-03-01 02:00:00,3,6,0,0,1,1,0,1,0,841,1,5,0,0,0,3,0,7,0,0,869
2024-03-01 02:10:00,3,3,0,0,0,1,0,1,0,822,0,4,0,0,0,2,0,2,0,0,838
2024-03-01 02:20:00,4,3,1,0,0,0,1,0,0,178,1,5,0,0,0,0,0,0,0,0,193
2024-03-01 02:30:00,1,2,0,0,0,0,1,0,1,749,1,1,0,0,0,3,0,5,0,0,764
2024-03-01 02:40:00,2,0,0,0,0,0,2,0,1,134,1,3,1,1,0,0,0,0,0,0,145
2024-03-01 02:50:00,5,4,1,0,0,1,0,1,0,152,1,3,1,1,0,1,2,3,2,3,181
2024-03-01 03:00:00,4,1,1,0,0,1,2,4,0,346,0,4,0,0,0,2,0,3,0,0,368
2024-03-01 03:10:00,0,2,0,0,0,1,1,1,0,68,1,0,1,1,0,1,0,1,0,0,78
2024-03-01 03:20:00,0,3,0,0,1,1,0,1,0,306,0,2,0,0,0,6,0,7,0,0,327
2024-03-01 03:30:00,4,0,0,0,0,4,1,4,1,53,1,3,0,1,0,1,0,1,0,0,74
2024-03-01 03:40:00,3,1,0,0,0,1,2,1,0,320,1,2,1,1,0,4,2,4,2,3,348
2024-03-01 03:50:00,4,3,0,0,0,1,0,1,0,45,1,6,0,1,0,2,1,4,0,0,69
2024-03-01 04:00:00,4,3,0,0,0,0,0,0,0,382,0,3,0,0,0,2,1,3,1,1,400
2024-03-01 04:10:00,10,4,1,0,1,2,1,2,0,194,2,9,1,2,0,5,0,4,0,0,238
2024-03-01 04:20:00,5,7,1,0,2,4,2,3,2,730,0,2,0,0,0,3,0,5,0,0,766
2024-03-01 04:30:00,2,8,0,0,0,4,0,4,0,725,0,2,0,0,0,2,0,1,0,0,748
2024-03-01 04:40:00,3,7,1,0,0,2,1,2,0,637,3,5,1,3,0,2,5,2,3,2,679
2024-03-01 04:50:00,7,7,0,0,1,4,0,4,0,866,3,8,4,2,0,3,1,4,1,2,917
2024-03-01 05:00:00,9,12,1,0,3,2,2,2,0,233,2,11,2,2,0,2,2,3,1,1,290
2024-03-01 05:10:00,9,7,1,0,0,0,3,0,0,489,2,11,0,0,0,8,3,6,4,3,546
2024-03-01 05:20:00,8,24,0,0,6,3,2,3,0,81,3,16,1,1,0,5,10,7,5,4,179
2024-03-01 05:30:00,16,20,0,1,4,10,5,10,4,1046,3,27,4,4,0,5,3,7,1,3,1173
2024-03-01 05:40:00,10,25,1,0,1,7,2,6,1,363,5,25,1,6,0,9,6,7,2,3,480
2024-03-01 05:50:00,15,29,2,1,2,11,6,11,2,152,4,24,2,3,0,7,3,11,1,1,287
2024-03-01 06:00:00,17,21,0,0,2,11,2,14,1,739,5,27,7,7,0,5,4,8,3,3,876
2024-03-01 06:10:00,24,24,2,0,4,18,3,11,2,399,6,31,4,8,0,9,5,8,3,2,563
2024-03-01 06:20:00,21,33,4,0,14,14,2,14,3,264,7,25,3,4,0,9,7,14,6,5,449
2024-03-01 06:30:00,15,27,3,2,16,14,5,12,6,151,6,31,7,7,0,16,6,19,4,2,349
2024-03-01 06:40:00,26,26,1,1,5,27,9,17,9,406,10,37,7,13,0,13,10,6,15,6,644
2024-03-01 06:50:00,23,23,3,0,11,30,12,17,12,256,6,35,5,9,0,18,9,15,13,7,504
2024-03-01 07:00:00,26,18,2,0,6,23,3,15,8,126,12,33,8,12,0,12,12,10,8,7,341
2024-03-01 07:10:00,20,14,3,0,8,37,4,11,3,223,11,29,7,10,0,25,7,13,5,8,438
2024-03-01 07:20:00,23,20,3,0,10,38,8,14,5,219,12,21,9,10,0,24,19,12,14,11,472
2024-03-01 07:30:00,33,12,4,4,20,47,12,17,10,144,9,11,4,8,0,37,16,21,19,9,437
2024-03-01 07:40:00,29,28,9,2,17,46,7,14,6,145,11,14,8,10,0,43,9,16,7,6,427
2024-03-01 07:50:00,31,20,8,2,18,31,14,17,8,126,12,14,9,11,0,32,18,13,12,10,406
2024-03-01 08:00:00,32,25,9,1,13,31,10,15,8,93,10,22,8,10,0,34,19,15,10,8,373
2024-03-01 08:10:00,25,21,3,3,15,44,8,15,7,99,12,18,11,12,0,41,19,16,15,14,398
2024-03-01 08:20:00,26,27,7,1,28,31,12,15,19,113,7,22,8,7,0,39,22,14,15,12,425
2024-03-01 08:30:00,20,18,6,3,12,38,9,15,10,93,12,20,4,10,0,44,14,18,50,6,402
2024-03-01 08:40:00,28,15,6,3,12,37,8,16,5,102,13,8,10,12,0,36,16,18,11,11,367
2024-03-01 08:50:00,19,11,4,4,14,36,8,13,7,107,11,10,11,11,0,35,17,20,10,13,361
2024-03-01 09:00:00,12,23,6,2,8,31,7,18,6,102,12,27,9,11,0,22,19,14,14,10,353
2024-03-01 09:10:00,30,17,3,1,6,28,12,12,12,95,12,29,10,11,0,45,18,14,7,11,373
2024-03-01 09:20:00,37,21,6,2,11,27,6,13,7,91,6,25,5,5,0,40,21,15,13,13,364
2024-03-01 09:30:00,22,25,10,1,11,18,11,15,4,104,5,25,6,7,0,35,14,12,10,12,347
2024-03-01 09:40:00,31,23,7,3,5,22,10,21,7,275,14,7,11,9,0,35,19,28,14,22,563
2024-03-01 09:50:00,29,26,9,3,7,31,16,24,15,113,15,6,12,16,0,32,12,24,13,17,420
