datetime,D21Z,D41Z,D42Z,Total
2024-03-01 01:00:00,2,0,1,3
2024-03-01 01:10:00,3,0,1,4
2024-03-01 01:20:00,1,0,0,1
2024-03-01 01:30:00,1,0,1,2
2024-03-01 01:40:00,1,1,0,2
2024-03-01 01:50:00,1,0,1,2
2024-03-01 02:00:00,0,1,1,2
2024-03-01 02:10:00,0,0,0,0
2024-03-01 02:20:00,1,0,0,1
2024-03-01 02:30:00,0,0,0,0
2024-03-01 02:40:00,1,1,1,3
2024-03-01 02:50:00,0,0,0,0
2024-03-01 03:00:00,0,0,0,0
2024-03-01 03:10:00,1,0,0,1
2024-03-01 03:20:00,1,0,0,1
2024-03-01 03:30:00,0,0,2,2
2024-03-01 03:40:00,2,0,0,2
2024-03-01 03:50:00,1,1,1,3
2024-03-01 04:00:00,1,0,0,1
2024-03-01 04:10:00,0,1,1,2
2024-03-01 04:20:00,0,0,0,0
2024-03-01 04:30:00,1,0,3,4
2024-03-01 04:40:00,1,1,2,4
2024-03-01 04:50:00,2,1,0,3
2024-03-01 05:00:00,1,2,0,3
2024-03-01 05:10:00,5,1,2,8
2024-03-01 05:20:00,0,1,3,4
2024-03-01 05:30:00,0,1,2,3
2024-03-01 05:40:00,2,2,2,6
2024-03-01 05:50:00,5,4,1,10
2024-03-01 06:00:00,5,3,7,15
2024-03-01 06:10:00,6,3,2,11
2024-03-01 06:20:00,4,5,5,14
2024-03-01 06:30:00,12,5,4,21
2024-03-01 06:40:00,11,15,6,32
2024-03-01 06:50:00,15,13,8,36
2024-03-01 07:00:00,16,16,7,39
2024-03-01 07:10:00,14,10,10,34
2024-03-01 07:20:00,18,14,12,44
2024-03-01 07:30:00,26,33,24,83
2024-03-01 07:40:00,31,27,9,67
2024-03-01 07:50:00,28,23,13,64
2024-03-01 08:00:00,35,20,13,68
2024-03-01 08:10:00,17,14,10,41
2024-03-01 08:20:00,22,19,9,50
2024-03-01 08:30:00,16,22,13,51
2024-03-01 08:40:00,22,23,10,55
2024-03-01 08:50:00,18,25,9,52
2024-03-01 09:00:00,25,18,12,55
2024-03-01 09:10:00,12,12,8,32
2024-03-01 09:20:00,23,21,11,55
2024-03-01 09:30:00,25,25,11,61
2024-03-01 09:40:00,22,13,9,44
2024-03-01 09:50:00,25,14,8,47
2024-03-01 10:00:00,22,15,11,48
2024-03-01 10:10:00,18,17,11,46
2024-03-01 10:20:00,18,8,10,36
2024-03-01 10:30:00,23,17,13,53
2024-03-01 10:40:00,24,17,10,51
2024-03-01 10:50:00,20,20,4,44
2024-03-01 11:00:00,21,9,5,35
2024-03-01 11:10:00,34,19,18,71
2024-03-01 11:20:00,23,14,16,53
2024-03-01 11:30:00,31,12,17,60
2024-03-01 11:40:00,20,18,10,48
2024-03-01 11:50:00,28,28,9,65
2024-03-01 12:00:00,24,17,1,42
2024-03-01 12:10:00,33,17,9,59
2024-03-01 12:20:00,22,21,8,51
2024-03-01 12:30:00,26,24,8,58
2024-03-01 12:40:00,25,27,11,63
2024-03-01 12:50:00,28,18,10,56
2024-03-01 13:00:00,22,20,9,51
2024-03-01 13:10:00,27,29,8,64
2024-03-01 13:20:00,38,16,8,62
2024-03-01 13:30:00,34,17,5,56
2024-03-01 13:40:00,24,18,5,47
2024-03-01 13:50:00,27,20,10,57
2024-03-01 14:00:00,21,14,8,43
2024-03-01 14:10:00,26,24,6,56
2024-03-01 14:20:00,32,23,6,61
2024-03-01 14:30:00,38,25,17,80
2024-03-01 14:40:00,29,32,13,74
2024-03-01 14:50:00,23,22,11,56
2024-03-01 15:00:00,34,14,8,56
2024-03-01 15:10:00,19,16,9,44
2024-03-01 15:20:00,32,27,6,65
2024-03-01 15:30:00,30,21,13,64
2024-03-01 15:40:00,28,18,13,59
2024-03-01 15:50:00,31,25,18,74
2024-03-01 16:00:00,28,24,9,61
2024-03-01 16:10:00,28,23,9,60
2024-03-01 16:20:00,17,14,15,46
