datetime,D11Z,D12Z,D13Z,D14Z,D15Z,D21Z,D22Z,D31Z,D32Z,D33Z,D34Z,D35Z,D36Z,D37Z,D41Z,D42Z,D43Z,Total
2024-03-01 01:00:00,4,5,3,2,2,9,2,3,4,4,4,1,2,0,3,1,4,53
2024-03-01 01:10:00,3,2,3,2,1,1,1,1,3,5,4,3,4,2,4,0,6,45
2024-03-01 01:20:00,4,3,3,1,0,3,0,0,4,5,4,1,3,1,6,0,10,48
2024-03-01 01:30:00,4,4,4,6,0,5,0,1,1,1,3,2,6,2,4,2,4,49
2024-03-01 01:40:00,2,0,3,0,1,0,1,0,3,3,3,3,8,3,0,3,0,33
2024-03-01 01:50:00,4,4,1,3,1,5,1,1,1,3,1,1,2,1,8,8,13,58
2024-03-01 02:00:00,1,5,0,4,1,10,1,0,2,4,2,1,3,1,4,1,8,48
2024-03-01 02:10:00,1,0,1,0,0,0,0,0,3,4,3,0,0,0,4,3,4,23
2024-03-01 02:20:00,1,1,1,1,0,0,0,0,3,7,3,0,0,0,2,0,4,23
2024-03-01 02:30:00,6,3,4,3,0,6,1,1,0,0,0,0,0,0,2,1,3,30
2024-03-01 02:40:00,2,4,0,3,1,7,2,1,3,4,3,1,2,1,1,1,2,38
2024-03-01 02:50:00,1,2,0,1,0,2,0,0,0,0,0,1,1,1,0,1,0,10
2024-03-01 03:00:00,2,3,2,2,0,3,2,2,0,0,0,1,1,1,1,0,1,21
2024-03-01 03:10:00,3,2,3,2,1,0,0,1,1,2,2,0,0,0,1,1,2,21
2024-03-01 03:20:00,10,8,5,4,1,6,1,1,1,1,1,1,4,1,4,2,4,55
2024-03-01 03:30:00,1,2,1,2,0,2,0,1,6,11,4,2,1,1,2,2,2,40
2024-03-01 03:40:00,2,1,2,1,0,2,0,0,4,11,5,0,0,1,2,3,4,38
2024-03-01 03:50:00,2,0,2,0,0,0,0,0,2,5,2,1,2,1,1,0,2,20
2024-03-01 04:00:00,0,0,0,0,0,0,0,0,1,2,1,1,1,1,3,0,4,14
2024-03-01 04:10:00,3,2,3,2,0,3,0,0,4,8,5,1,2,1,1,1,2,38
2024-03-01 04:20:00,5,3,2,3,2,5,2,1,6,7,9,7,8,7,6,5,9,87
2024-03-01 04:30:00,3,1,3,0,1,2,1,1,8,17,9,0,0,1,2,3,5,57
2024-03-01 04:40:00,0,1,0,1,0,0,0,0,1,2,1,0,0,0,4,4,5,19
2024-03-01 04:50:00,9,2,8,0,2,10,2,2,10,21,9,4,6,3,6,6,11,111
2024-03-01 05:00:00,3,3,3,0,3,4,3,3,13,17,12,6,6,4,11,8,14,113
2024-03-01 05:10:00,12,7,9,4,3,8,3,3,18,15,17,3,8,4,10,6,20,150
2024-03-01 05:20:00,1,3,2,1,2,4,2,4,22,23,23,10,11,5,20,19,26,178
2024-03-01 05:30:00,13,6,12,6,3,9,3,3,33,28,36,8,9,6,24,26,31,256
2024-03-01 05:40:00,17,15,16,12,2,13,1,2,32,35,33,6,13,6,36,43,44,326
2024-03-01 05:50:00,11,8,10,2,5,19,7,7,46,40,47,13,22,13,43,39,25,357
2024-03-01 06:00:00,13,12,16,11,8,25,7,8,29,30,35,10,17,11,35,33,46,346
2024-03-01 06:10:00,25,21,19,17,6,11,6,6,39,32,38,12,16,13,43,32,49,385
2024-03-01 06:20:00,18,21,21,18,2,7,2,4,57,23,54,18,14,18,158,41,45,521
2024-03-01 06:30:00,19,17,22,25,5,13,5,7,53,20,54,17,14,15,50,55,29,420
2024-03-01 06:40:00,17,23,22,23,9,17,9,13,75,32,75,21,14,22,72,56,35,535
2024-03-01 06:50:00,8,20,22,29,7,15,8,9,71,17,75,16,10,16,75,78,25,501
2024-03-01 07:00:00,12,14,25,32,11,13,13,16,74,23,77,26,31,22,55,59,16,519
2024-03-01 07:10:00,12,13,23,29,20,6,19,20,74,16,73,29,9,31,88,97,13,572
2024-03-01 07:20:00,15,17,30,36,10,6,8,12,88,12,80,30,11,30,95,95,1,576
2024-03-01 07:30:00,14,13,37,40,12,14,12,14,108,11,101,36,15,37,104,117,7,692
2024-03-01 07:40:00,16,13,31,36,21,11,21,25,99,4,100,36,7,37,103,106,6,672
2024-03-01 07:50:00,14,13,38,49,19,18,19,26,90,12,83,34,9,29,92,95,11,651
