datetime,D21Z,V22Z,D31Z,V32Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,D83Z,V84Z,V85Z,V86Z,Total
2024-03-01 01:00:00,3,4,0,0,0,0,0,0,0,2,1,0,0,2,12
2024-03-01 01:10:00,7,6,0,0,0,1,0,2,0,1,0,0,0,1,18
2024-03-01 01:20:00,5,5,0,1,1,2,4,3,0,5,0,0,0,5,31
2024-03-01 01:30:00,9,9,2,6,0,0,0,0,1,7,2,1,2,12,51
2024-03-01 01:40:00,7,6,1,0,0,1,0,1,0,6,0,0,0,6,28
2024-03-01 01:50:00,2,2,1,0,0,0,0,0,0,3,1,0,0,3,12
2024-03-01 02:00:00,1,1,0,1,0,0,0,0,0,3,0,0,0,3,9
2024-03-01 02:10:00,2,2,1,0,0,0,0,0,0,4,0,0,0,4,13
2024-03-01 02:20:00,5,5,0,3,1,1,1,0,1,4,0,1,0,4,26
2024-03-01 02:30:00,2,2,0,3,0,1,0,2,0,5,1,0,1,5,22
2024-03-01 02:40:00,2,2,0,0,0,0,0,0,0,1,0,0,0,1,6
2024-03-01 02:50:00,3,3,1,1,0,0,0,0,0,2,0,0,0,2,12
2024-03-01 03:00:00,5,5,2,3,0,0,0,0,0,5,0,0,0,6,26
2024-03-01 03:10:00,2,2,1,0,0,0,0,0,0,1,0,0,0,1,7
2024-03-01 03:20:00,4,4,1,4,0,0,0,0,0,3,1,0,1,3,21
2024-03-01 03:30:00,4,4,1,2,0,0,0,0,0,4,1,0,0,5,21
2024-03-01 03:40:00,2,2,1,1,0,0,0,0,0,2,0,0,0,2,10
2024-03-01 03:50:00,3,3,0,0,0,0,0,0,0,0,2,0,3,0,11
2024-03-01 04:00:00,5,5,1,0,0,0,0,0,0,5,0,0,0,6,22
2024-03-01 04:10:00,0,0,0,0,0,2,0,4,0,4,0,0,0,5,15
2024-03-01 04:20:00,2,2,1,2,1,0,1,0,0,3,1,0,1,3,17
2024-03-01 04:30:00,2,2,0,0,0,0,0,0,0,2,3,0,3,1,13
2024-03-01 04:40:00,2,2,0,0,1,2,1,3,0,4,0,1,1,5,22
2024-03-01 04:50:00,3,3,0,0,0,2,0,2,0,2,0,0,0,2,14
2024-03-01 05:00:00,5,5,0,2,0,1,0,0,0,3,0,0,0,2,18
2024-03-01 05:10:00,6,5,2,2,0,1,0,0,0,5,0,0,0,6,27
2024-03-01 05:20:00,8,8,1,0,0,1,0,0,0,14,5,0,5,17,59
