datetime,V21Z,V22Z,V51Z,V52Z,V61Z,V62Z,V81Z,V82Z,D53Z,D54Z,D55Z,D63Z,D64Z,Total
2024-03-01 01:00:00,2,18,5,11,16,0,2,2,4,1,4,10,3,78
2024-03-01 01:10:00,4,16,6,6,4,0,5,4,5,0,5,3,0,58
2024-03-01 01:20:00,4,12,5,5,7,0,1,2,4,0,4,4,1,49
2024-03-01 01:30:00,3,14,2,11,6,0,3,3,2,3,2,4,0,53
2024-03-01 01:40:00,8,16,2,5,4,0,2,8,2,1,2,3,0,53
2024-03-01 01:50:00,4,7,4,10,9,0,1,3,4,0,4,6,1,53
2024-03-01 02:00:00,9,10,2,6,9,0,2,2,1,1,1,5,0,48
2024-03-01 02:10:00,3,4,4,3,4,0,5,5,4,0,4,2,0,38
2024-03-01 02:20:00,2,4,1,4,3,1,3,1,1,2,1,2,1,26
2024-03-01 02:30:00,2,0,2,1,3,2,4,1,2,1,2,2,0,22
2024-03-01 02:40:00,0,0,3,5,7,2,1,1,3,4,3,5,0,34
2024-03-01 02:50:00,4,4,2,9,9,0,3,3,2,0,2,8,0,46
2024-03-01 03:00:00,2,9,0,4,7,0,2,0,0,0,0,5,0,29
2024-03-01 03:10:00,1,6,2,5,9,2,0,1,2,0,2,3,2,35
2024-03-01 03:20:00,6,1,1,10,11,1,1,3,2,0,2,7,2,47
2024-03-01 03:30:00,0,6,2,11,9,1,2,3,2,2,2,7,4,51
2024-03-01 03:40:00,2,11,2,4,4,0,0,0,1,0,1,5,1,31
2024-03-01 03:50:00,3,3,1,3,7,3,3,2,1,0,1,3,1,31
2024-03-01 04:00:00,5,9,1,5,3,0,0,2,1,3,1,2,0,32
2024-03-01 04:10:00,3,10,4,9,5,2,0,2,4,1,4,3,2,49
2024-03-01 04:20:00,2,8,6,4,7,2,2,2,4,0,5,5,0,47
2024-03-01 04:30:00,0,0,2,10,9,1,3,0,3,1,2,8,1,40
2024-03-01 04:40:00,1,4,5,12,18,3,0,3,4,4,3,8,3,68
2024-03-01 04:50:00,0,8,5,12,19,1,2,3,5,5,5,16,3,84
