datetime,D21Z,D22Z,V23Z,V24Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D115Z,Total
2024-03-01 01:00:00,2,3,2,5,5,5,5,6,1,2,1,2,0,39
2024-03-01 01:10:00,1,7,2,14,3,7,3,5,0,1,0,1,0,44
2024-03-01 01:20:00,2,4,1,6,2,2,2,1,0,0,0,0,0,20
2024-03-01 01:30:00,7,3,8,2,3,7,4,7,2,2,1,2,0,48
2024-03-01 01:40:00,6,4,8,9,3,7,4,5,2,3,3,5,0,59
2024-03-01 01:50:00,7,4,14,6,4,6,5,5,0,0,0,0,0,51
2024-03-01 02:00:00,4,4,3,7,2,2,3,2,3,0,3,2,0,35
2024-03-01 02:10:00,6,1,11,3,5,6,6,4,2,1,1,1,0,47
2024-03-01 02:20:00,3,2,5,3,0,2,0,2,0,0,0,0,0,17
2024-03-01 02:30:00,4,1,5,2,2,3,2,4,1,1,1,1,0,27
2024-03-01 02:40:00,2,0,3,0,2,3,2,4,0,0,0,0,0,16
2024-03-01 02:50:00,4,0,7,0,2,4,3,2,0,0,0,0,0,22
2024-03-01 03:00:00,6,2,8,4,2,1,2,1,0,1,0,1,0,28
2024-03-01 03:10:00,1,0,2,0,0,2,0,2,0,0,0,0,0,7
2024-03-01 03:20:00,4,0,5,0,2,3,3,3,1,0,1,0,0,22
2024-03-01 03:30:00,3,2,4,3,2,3,4,3,0,1,0,1,0,26
2024-03-01 03:40:00,3,1,3,2,0,1,0,1,0,0,0,0,0,11
2024-03-01 03:50:00,4,1,9,1,2,2,2,2,0,0,0,0,0,23
2024-03-01 04:00:00,5,3,7,6,1,3,2,3,1,1,1,2,0,35
2024-03-01 04:10:00,4,7,5,13,1,3,1,4,0,3,0,5,0,46
2024-03-01 04:20:00,3,0,3,1,3,4,3,5,0,1,0,1,0,24
2024-03-01 04:30:00,3,2,3,4,3,2,2,1,1,1,1,1,0,24
2024-03-01 04:40:00,4,4,11,3,0,3,0,2,1,3,1,3,0,35
2024-03-01 04:50:00,3,0,4,0,2,7,2,6,1,6,1,4,0,36
2024-03-01 05:00:00,4,2,7,4,3,6,5,6,1,11,2,9,0,60
2024-03-01 05:10:00,7,3,13,3,3,6,4,7,5,7,5,10,0,73
2024-03-01 05:20:00,17,9,23,13,4,13,3,10,5,3,7,5,0,112
2024-03-01 05:30:00,12,9,19,10,10,13,9,12,13,14,14,13,0,148
2024-03-01 05:40:00,17,10,17,20,4,12,7,10,9,22,10,19,0,157
2024-03-01 05:50:00,14,11,13,10,8,20,8,18,6,17,7,17,0,149
2024-03-01 06:00:00,11,12,17,11,7,18,8,16,18,15,14,16,0,163
2024-03-01 06:10:00,25,20,15,17,5,15,5,14,9,12,6,13,0,156
2024-03-01 06:20:00,35,25,23,27,16,32,10,17,15,15,8,10,0,233
2024-03-01 06:30:00,29,20,26,18,18,26,19,20,11,24,10,16,0,237
2024-03-01 06:40:00,33,26,24,27,12,72,10,31,14,18,12,11,0,290
2024-03-01 06:50:00,29,34,26,31,16,45,16,29,15,19,17,17,0,294
2024-03-01 07:00:00,38,36,17,26,9,30,9,19,19,19,13,21,0,256
2024-03-01 07:10:00,45,47,18,22,23,42,17,26,12,23,8,13,0,296
2024-03-01 07:20:00,52,54,25,19,22,36,14,22,41,32,15,23,0,355
2024-03-01 07:30:00,63,58,25,21,32,52,25,24,27,40,18,21,0,406
2024-03-01 07:40:00,68,54,21,18,38,57,22,36,27,148,11,14,1,515
2024-03-01 07:50:00,69,66,20,24,19,53,23,42,19,29,13,16,0,393
2024-03-01 08:00:00,64,63,23,23,18,46,16,31,16,19,12,18,5,354
2024-03-01 08:10:00,50,52,17,21,26,48,26,29,24,38,8,18,1,358
2024-03-01 08:20:00,49,47,19,14,21,51,20,34,18,29,6,16,0,324
2024-03-01 08:30:00,60,68,18,19,26,41,16,23,21,25,7,16,0,340
2024-03-01 08:40:00,49,61,22,31,20,42,16,24,11,53,8,11,1,349
2024-03-01 08:50:00,68,70,25,19,27,48,21,34,14,25,11,11,2,375
2024-03-01 09:00:00,46,58,24,28,28,36,27,26,15,21,10,11,0,330
2024-03-01 09:10:00,50,51,29,20,16,33,17,25,20,22,11,13,0,307
2024-03-01 09:20:00,61,63,28,21,23,47,24,40,17,19,12,19,1,375
2024-03-01 09:30:00,47,64,23,25,30,36,22,28,21,22,14,16,1,349
2024-03-01 09:40:00,57,63,23,24,20,42,19,23,23,27,13,17,2,353
