datetime,D21Z,V22Z,D31Z,D32Z,V33Z,D51Z,D52Z,D53Z,D54Z,V55Z,V56Z,V57Z,V58Z,V71Z,D81Z,V82Z,D91Z,D92Z,V93Z,D111Z,D112Z,D113Z,V114Z,V115Z,V116Z,Total
2024-03-01 01:00:00,4,3,6,4,1,1,1,3,0,3,5,2,1,0,2,2,1,0,0,4,6,1,7,9,1,67
2024-03-01 01:10:00,7,7,3,1,0,0,1,2,2,1,3,1,1,2,0,2,0,0,0,1,4,3,3,8,7,59
2024-03-01 01:20:00,3,3,1,1,1,0,0,4,0,2,8,0,0,1,2,2,1,1,1,2,3,0,5,3,0,44
2024-03-01 01:30:00,2,2,6,3,0,1,0,5,1,2,8,0,0,0,4,2,1,0,0,2,3,2,5,8,3,60
2024-03-01 01:40:00,5,6,0,0,0,0,2,4,0,3,7,4,0,1,2,3,0,0,0,1,2,1,1,2,0,44
2024-03-01 01:50:00,4,5,2,2,1,0,0,4,0,1,3,0,0,1,1,3,0,0,0,2,2,0,3,3,0,37
2024-03-01 02:00:00,0,0,1,1,3,0,1,2,0,2,5,4,0,0,0,0,0,0,0,1,1,0,2,2,0,25
2024-03-01 02:10:00,1,1,0,0,0,1,1,4,0,4,7,2,0,0,0,0,0,0,0,0,1,1,1,4,1,29
2024-03-01 02:20:00,3,2,1,1,1,0,0,2,0,4,2,1,0,0,0,0,0,0,0,1,2,0,5,3,0,28
2024-03-01 02:30:00,2,2,0,0,0,1,2,2,1,3,1,4,1,2,1,4,0,0,0,2,1,0,3,1,0,33
2024-03-01 02:40:00,1,1,3,3,2,0,0,0,0,0,0,0,0,0,3,5,2,1,2,1,0,0,1,0,0,25
2024-03-01 02:50:00,1,1,0,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,0,1,0,0,1,0,0,13
2024-03-01 03:00:00,2,3,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,13
2024-03-01 03:10:00,3,3,0,0,0,0,0,2,0,0,2,0,0,0,1,0,3,4,4,2,1,1,1,1,1,29
2024-03-01 03:20:00,0,0,0,0,0,0,1,0,1,0,0,2,2,1,1,3,3,9,0,1,0,0,1,0,0,25
2024-03-01 03:30:00,1,2,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,3,1,4,7,2,28
2024-03-01 03:40:00,3,3,0,0,0,2,1,0,0,2,1,3,0,0,1,0,2,4,1,0,2,0,1,3,0,29
2024-03-01 03:50:00,2,3,0,0,0,0,0,3,0,0,5,0,0,1,4,7,4,5,1,0,1,0,1,1,0,38
2024-03-01 04:00:00,2,2,0,0,0,0,2,3,3,2,5,7,4,0,1,2,4,6,0,0,1,1,1,2,2,50
2024-03-01 04:10:00,6,6,0,0,0,0,0,3,1,2,4,2,1,2,2,5,1,1,0,4,1,0,5,1,0,47
2024-03-01 04:20:00,5,5,3,1,0,0,0,2,1,1,4,2,1,4,7,6,9,4,1,5,2,0,6,2,0,71
2024-03-01 04:30:00,2,2,0,0,0,1,2,7,0,5,9,6,0,1,6,10,7,10,1,3,1,1,5,2,0,81
2024-03-01 04:40:00,2,2,0,0,0,0,0,5,2,2,9,5,3,6,5,6,9,2,1,2,5,1,4,5,1,77
2024-03-01 04:50:00,4,5,10,4,0,0,1,7,2,3,9,3,3,3,8,9,7,9,3,3,3,1,7,5,0,109
2024-03-01 05:00:00,5,4,0,0,0,0,4,9,2,4,15,9,4,4,11,16,18,9,5,3,6,9,10,7,7,161
2024-03-01 05:10:00,9,8,3,3,3,1,6,11,2,5,11,15,1,3,10,15,7,4,2,5,3,1,8,4,5,145
2024-03-01 05:20:00,8,8,6,3,1,2,7,22,1,7,27,14,2,1,15,18,8,3,5,8,2,4,10,5,3,190
2024-03-01 05:30:00,12,7,9,2,0,1,11,28,4,14,26,16,6,1,25,29,9,1,1,14,7,6,17,16,5,267
2024-03-01 05:40:00,13,9,2,3,2,2,15,32,8,19,28,34,11,2,34,18,19,14,2,9,5,6,15,10,4,316
2024-03-01 05:50:00,19,12,6,3,2,7,22,26,6,13,23,24,12,2,31,15,27,41,0,8,5,9,11,15,9,348
2024-03-01 06:00:00,10,7,6,3,0,2,12,30,7,14,24,29,10,1,43,35,20,14,0,9,6,6,10,13,3,314
2024-03-01 06:10:00,19,18,3,2,2,5,23,43,7,29,30,32,10,6,33,24,18,15,3,21,13,7,13,18,2,396
2024-03-01 06:20:00,18,12,6,7,5,5,34,40,10,23,21,38,15,9,41,21,19,10,6,29,16,37,22,20,4,468
2024-03-01 06:30:00,14,8,6,4,3,7,30,49,4,27,23,23,8,9,35,30,20,6,3,25,14,10,22,17,4,401
2024-03-01 06:40:00,33,13,8,10,7,13,43,46,8,16,29,36,11,9,39,23,14,11,5,27,23,15,23,34,13,509
2024-03-01 06:50:00,32,14,8,6,4,9,28,34,7,16,19,27,11,10,53,15,18,10,8,32,34,16,29,27,10,477
2024-03-01 07:00:00,23,12,10,11,3,19,50,66,16,17,13,19,13,8,47,17,15,11,5,33,22,15,20,28,14,507
2024-03-01 07:10:00,35,13,15,9,3,15,44,49,16,13,14,23,17,10,66,20,24,10,4,32,29,11,22,19,11,524
2024-03-01 07:20:00,50,11,12,12,9,12,58,61,10,11,11,13,20,6,55,16,12,12,4,36,30,14,25,19,13,532
2024-03-01 07:30:00,53,14,5,5,3,15,55,55,24,16,15,22,18,12,82,14,17,11,6,41,39,17,17,16,13,585
2024-03-01 07:40:00,64,16,23,18,10,15,56,71,8,15,14,18,10,19,72,11,26,18,10,43,47,22,16,28,13,663
2024-03-01 07:50:00,56,13,19,13,8,16,32,50,9,16,15,23,16,14,89,18,38,5,5,38,34,16,24,23,11,601
2024-03-01 08:00:00,45,16,14,15,5,10,54,62,16,5,6,30,13,13,55,23,23,18,7,51,46,15,33,19,10,604
2024-03-01 08:10:00,55,13,9,7,5,10,34,54,12,11,18,19,17,10,57,17,22,14,7,44,41,26,22,31,11,566
2024-03-01 08:20:00,57,17,11,16,10,12,32,40,10,12,16,15,11,12,68,14,24,16,7,39,35,20,22,32,8,556
2024-03-01 08:30:00,44,15,11,8,5,12,37,55,7,7,15,16,24,9,53,17,19,13,5,55,46,18,30,24,14,559
2024-03-01 08:40:00,62,10,18,10,6,10,30,56,17,12,28,26,24,19,51,20,20,20,7,38,55,17,23,23,16,618
2024-03-01 08:50:00,56,18,9,10,8,12,37,49,8,16,10,22,12,16,59,11,21,11,4,49,44,13,24,21,14,554
2024-03-01 09:00:00,37,16,5,7,2,22,28,50,7,15,21,20,12,12,52,20,26,13,5,40,30,12,26,23,11,512
2024-03-01 09:10:00,47,16,16,15,7,13,29,46,15,11,24,16,13,5,57,14,80,10,7,38,38,14,19,22,14,586
2024-03-01 09:20:00,59,15,12,22,7,11,47,52,12,11,15,21,12,5,43,20,14,10,11,50,38,23,14,22,18,564
2024-03-01 09:30:00,65,12,18,17,7,15,32,44,9,9,19,21,15,11,59,13,26,19,10,30,33,13,24,23,23,567
2024-03-01 09:40:00,62,5,22,29,7,8,27,38,12,10,18,9,15,13,64,29,23,24,9,42,31,14,20,19,16,566
2024-03-01 09:50:00,64,3,15,11,8,11,44,52,18,10,22,19,15,12,59,21,26,18,6,44,33,25,19,24,17,596
2024-03-01 10:00:00,68,6,14,11,6,7,24,40,15,6,20,14,14,10,51,27,20,15,9,35,30,24,24,24,24,538
2024-03-01 10:10:00,53,14,7,5,4,6,29,41,5,4,25,15,8,12,41,22,15,17,6,29,22,19,18,17,15,449
2024-03-01 10:20:00,70,11,45,13,7,6,29,40,2,8,20,26,13,9,44,18,23,24,9,32,35,13,21,24,10,552
2024-03-01 10:30:00,55,14,19,16,7,14,17,31,7,13,22,10,8,12,41,20,15,9,8,29,29,13,19,15,14,457
2024-03-01 10:40:00,56,13,9,10,7,10,30,41,7,11,37,16,9,15,53,19,23,22,11,40,38,13,25,17,14,546
2024-03-01 10:50:00,67,15,13,14,9,12,23,34,9,10,14,14,11,12,49,19,15,14,6,34,36,14,20,14,10,488
2024-03-01 11:00:00,69,15,23,18,9,14,27,37,7,20,28,22,13,7,54,16,22,17,6,30,29,15,17,21,27,563
