datetime,V12Z,V21Z,V22Z,V23Z,V24Z,D31Z,D32Z,Total
2024-03-01 01:00:00,1,0,8,5,1,0,0,15
2024-03-01 01:10:00,0,0,5,2,3,0,0,10
2024-03-01 01:20:00,2,0,9,1,2,0,0,14
2024-03-01 01:30:00,0,0,6,1,1,0,0,8
2024-03-01 01:40:00,4,0,4,1,1,0,0,10
2024-03-01 01:50:00,1,0,6,6,2,0,0,15
2024-03-01 02:00:00,0,0,6,3,0,0,0,9
2024-03-01 02:10:00,1,0,2,3,0,0,0,6
2024-03-01 02:20:00,2,0,3,4,0,0,0,9
2024-03-01 02:30:00,4,0,2,1,2,0,0,9
2024-03-01 02:40:00,1,0,8,2,1,0,0,12
2024-03-01 02:50:00,4,0,4,5,0,0,0,13
2024-03-01 03:00:00,0,0,2,4,0,0,0,6
2024-03-01 03:10:00,1,1,4,0,1,0,0,7
2024-03-01 03:20:00,2,1,7,6,0,0,0,16
2024-03-01 03:30:00,3,1,10,2,0,0,0,16
2024-03-01 03:40:00,2,1,4,3,0,0,0,10
2024-03-01 03:50:00,0,1,2,1,0,0,0,4
2024-03-01 04:00:00,0,0,4,4,0,0,0,8
2024-03-01 04:10:00,1,0,5,2,1,0,0,9
2024-03-01 04:20:00,0,1,10,5,0,0,0,16
2024-03-01 04:30:00,0,0,8,8,0,0,0,16
2024-03-01 04:40:00,2,1,14,5,1,0,0,23
2024-03-01 04:50:00,2,1,14,11,4,0,0,32
2024-03-01 05:00:00,3,0,11,6,0,0,0,20
2024-03-01 05:10:00,2,0,19,11,3,0,0,35
2024-03-01 05:20:00,7,0,17,12,2,0,0,38
2024-03-01 05:30:00,10,2,33,29,2,0,0,76
2024-03-01 05:40:00,21,1,35,27,3,0,0,87
2024-03-01 05:50:00,20,1,44,35,3,0,0,103
2024-03-01 06:00:00,21,1,47,35,9,0,0,113
2024-03-01 06:10:00,10,0,48,24,4,0,0,86
2024-03-01 06:20:00,14,2,72,43,7,0,0,138
2024-03-01 06:30:00,13,5,58,53,7,0,0,136
2024-03-01 06:40:00,19,1,65,40,11,0,0,136
2024-03-01 06:50:00,20,3,50,45,8,0,0,126
2024-03-01 07:00:00,22,16,48,49,18,0,0,153
2024-03-01 07:10:00,21,15,89,77,20,0,0,222
2024-03-01 07:20:00,22,12,73,50,10,0,0,167
2024-03-01 07:30:00,11,22,77,68,20,0,0,198
2024-03-01 07:40:00,23,12,68,73,21,0,0,197
2024-03-01 07:50:00,18,17,75,50,23,0,0,183
2024-03-01 08:00:00,15,16,68,53,16,0,0,168
2024-03-01 08:10:00,23,18,61,63,21,0,0,186
2024-03-01 08:20:00,13,12,55,64,26,0,0,170
2024-03-01 08:30:00,26,18,62,39,20,0,0,165
2024-03-01 08:40:00,17,16,60,57,30,0,0,180
2024-03-01 08:50:00,21,18,71,60,19,0,0,189
2024-03-01 09:00:00,20,21,54,49,26,0,0,170
2024-03-01 09:10:00,14,12,67,42,15,0,0,150
2024-03-01 09:20:00,26,19,59,50,25,0,0,179
2024-03-01 09:30:00,22,6,71,46,26,0,0,171
2024-03-01 09:40:00,27,10,54,56,16,0,0,163
2024-03-01 09:50:00,34,10,58,51,23,0,0,176
2024-03-01 10:00:00,28,7,49,42,21,0,0,147
2024-03-01 10:10:00,15,11,55,54,24,0,0,159
2024-03-01 10:20:00,24,9,59,55,23,0,0,170
2024-03-01 10:30:00,26,10,58,41,31,0,0,166
2024-03-01 10:40:00,21,16,50,40,28,0,0,155
2024-03-01 10:50:00,16,11,64,57,20,0,0,168
2024-03-01 11:00:00,19,10,76,53,28,0,0,186
2024-03-01 11:10:00,17,14,64,42,18,0,0,155
2024-03-01 11:20:00,20,17,69,55,22,0,0,183
2024-03-01 11:30:00,9,12,61,44,17,0,0,143
2024-03-01 11:40:00,21,11,81,52,25,0,0,190
2024-03-01 11:50:00,30,7,75,50,25,0,0,187
2024-03-01 12:00:00,20,6,62,48,27,0,0,163
2024-03-01 12:10:00,15,13,78,57,16,0,0,179
2024-03-01 12:20:00,26,5,58,48,21,0,0,158
2024-03-01 12:30:00,18,14,77,41,14,0,0,164
2024-03-01 12:40:00,10,10,72,31,1,0,0,124
2024-03-01 12:50:00,20,9,77,58,20,0,0,184
2024-03-01 13:00:00,13,12,75,49,20,0,0,169
2024-03-01 13:10:00,20,12,71,54,16,0,0,173
2024-03-01 13:20:00,10,11,63,50,17,0,0,151
2024-03-01 13:30:00,16,12,65,49,16,0,0,158
2024-03-01 13:40:00,18,7,73,46,26,0,0,170
2024-03-01 13:50:00,36,19,75,47,15,0,0,192
2024-03-01 14:00:00,27,8,69,56,22,0,0,182
2024-03-01 14:10:00,22,17,64,48,22,0,0,173
2024-03-01 14:20:00,20,7,55,48,27,0,0,157
2024-03-01 14:30:00,22,7,73,40,10,0,0,152
2024-03-01 14:40:00,29,12,72,35,16,0,0,164
2024-03-01 14:50:00,20,15,62,40,19,0,0,156
2024-03-01 15:00:00,25,10,59,53,14,0,0,161
2024-03-01 15:10:00,27,17,76,48,18,0,0,186
2024-03-01 15:20:00,23,6,65,46,10,0,0,150
2024-03-01 15:30:00,18,11,52,48,13,0,0,142
2024-03-01 15:40:00,22,15,66,53,11,0,0,167
2024-03-01 15:50:00,25,7,72,50,17,0,0,171
2024-03-01 16:00:00,24,7,66,60,18,0,0,175
2024-03-01 16:10:00,25,7,65,56,14,0,0,167
2024-03-01 16:20:00,17,8,71,47,12,0,0,155
2024-03-01 16:30:00,18,7,50,54,18,0,0,147
2024-03-01 16:40:00,23,9,77,47,18,0,0,174
2024-03-01 16:50:00,26,8,73,48,20,0,0,175
2024-03-01 17:00:00,19,12,59,53,14,0,0,157
2024-03-01 17:10:00,20,20,54,72,19,0,0,185
2024-03-01 17:20:00,27,10,58,49,19,0,0,163
2024-03-01 17:30:00,25,8,55,51,13,0,0,152
2024-03-01 17:40:00,25,14,66,63,18,0,0,186
2024-03-01 17:50:00,22,10,52,53,17,0,0,154
2024-03-01 18:00:00,18,10,59,43,18,0,0,148
2024-03-01 18:10:00,18,8,78,34,23,0,0,161
2024-03-01 18:20:00,21,6,90,51,15,0,0,183
2024-03-01 18:30:00,17,1,54,43,16,0,0,131
2024-03-01 18:40:00,18,1,54,43,14,0,0,130
2024-03-01 18:50:00,24,1,72,46,20,0,0,163
2024-03-01 19:00:00,14,0,58,41,18,0,0,131
2024-03-01 19:10:00,17,2,64,38,11,0,0,132
2024-03-01 19:20:00,20,6,46,29,12,0,0,113
2024-03-01 19:30:00,18,2,46,41,12,0,0,119
2024-03-01 19:40:00,19,1,49,41,20,0,0,130
2024-03-01 19:50:00,20,2,47,29,17,0,0,115
2024-03-01 20:00:00,23,2,44,24,14,0,0,107
2024-03-01 20:10:00,24,0,43,41,13,0,0,121
2024-03-01 20:20:00,23,0,45,25,12,0,0,105
2024-03-01 20:30:00,14,1,40,38,12,0,0,105
2024-03-01 20:40:00,15,0,44,27,10,0,0,96
2024-03-01 20:50:00,13,0,38,21,8,0,0,80
2024-03-01 21:00:00,20,2,44,27,4,0,0,97
2024-03-01 21:10:00,11,2,33,29,6,0,0,81
2024-03-01 21:20:00,8,0,41,27,8,0,0,84
2024-03-01 21:30:00,14,2,35,27,8,0,0,86
2024-03-01 21:40:00,10,0,37,19,13,0,0,79
2024-03-01 21:50:00,6,0,37,19,7,0,0,69
2024-03-01 22:00:00,9,2,34,31,10,0,0,86
2024-03-01 22:10:00,10,1,34,24,7,0,0,76
2024-03-01 22:20:00,10,3,32,20,7,0,0,72
2024-03-01 22:30:00,7,1,17,17,9,0,0,51
2024-03-01 22:40:00,6,0,38,26,5,0,0,75
2024-03-01 22:50:00,4,1,32,18,8,0,0,63
2024-03-01 23:00:00,9,0,42,27,5,0,0,83
2024-03-01 23:10:00,10,2,31,17,5,0,0,65
2024-03-01 23:20:00,16,0,37,16,2,0,0,71
2024-03-01 23:30:00,10,0,28,17,2,0,0,57
2024-03-01 23:40:00,9,1,26,15,4,0,0,55
2024-03-01 23:50:00,11,0,26,14,3,0,0,54
2024-03-02 00:00:00,8,0,18,11,2,0,0,39
2024-03-02 00:10:00,15,1,25,5,2,0,0,48
2024-03-02 00:20:00,10,3,24,13,2,0,0,52
2024-03-02 00:30:00,11,0,15,10,0,0,0,36
2024-03-02 00:40:00,3,0,20,10,4,0,0,37
2024-03-02 00:50:00,1,0,17,10,2,0,0,30
2024-03-02 01:00:00,5,0,19,5,1,0,0,30
2024-03-02 01:10:00,0,0,14,5,0,0,0,19
2024-03-02 01:20:00,2,3,14,14,2,0,0,35
2024-03-02 01:30:00,2,0,13,3,4,0,0,22
2024-03-02 01:40:00,4,0,13,7,2,0,0,26
2024-03-02 01:50:00,1,0,11,5,2,0,0,19
2024-03-02 02:00:00,6,0,10,5,2,0,0,23
2024-03-02 02:10:00,2,0,12,8,0,0,0,22
2024-03-02 02:20:00,1,0,16,4,1,0,0,22
2024-03-02 02:30:00,5,1,15,7,1,0,0,29
2024-03-02 02:40:00,3,0,10,6,1,0,0,20
2024-03-02 02:50:00,0,0,11,6,2,0,0,19
2024-03-02 03:00:00,2,0,6,3,1,0,0,12
2024-03-02 03:10:00,2,0,3,0,0,0,0,5
2024-03-02 03:20:00,2,0,10,2,2,0,0,16
2024-03-02 03:30:00,1,0,5,2,0,0,0,8
2024-03-02 03:40:00,3,1,7,3,0,0,0,14
2024-03-02 03:50:00,3,0,8,5,0,0,0,16
2024-03-02 04:00:00,5,0,4,2,0,0,0,11
2024-03-02 04:10:00,1,1,7,5,2,0,0,16
2024-03-02 04:20:00,0,3,8,2,1,0,0,14
2024-03-02 04:30:00,3,0,11,7,0,0,0,21
2024-03-02 04:40:00,2,0,6,7,1,0,0,16
2024-03-02 04:50:00,3,0,10,3,0,0,0,16
2024-03-02 05:00:00,2,1,10,5,0,0,0,18
2024-03-02 05:10:00,5,4,7,7,2,0,0,25
2024-03-02 05:20:00,8,0,13,11,1,0,0,33
2024-03-02 05:30:00,6,1,28,7,5,0,0,47
