datetime,D11Z,V111Z,D12Z,V121Z,D21Z,V211Z,D23Z,D22Z,V221Z,D31Z,V311Z,D32Z,V321Z,D41Z,V411Z,D43Z,D42Z,V421Z,D44Z,Total
2024-03-01 01:00:00,4,3,3,3,0,3,3,0,0,6,1,7,0,2,3,2,1,1,1,43
2024-03-01 01:10:00,2,3,5,1,0,0,2,0,2,3,0,3,0,2,2,2,0,0,0,27
2024-03-01 01:20:00,0,0,1,0,0,1,1,0,2,1,1,2,1,3,5,6,3,2,3,32
2024-03-01 01:30:00,2,2,2,2,1,1,1,0,1,5,0,4,0,5,5,5,0,0,0,36
2024-03-01 01:40:00,0,0,3,2,0,1,1,0,0,5,0,5,0,0,2,2,2,2,3,28
2024-03-01 01:50:00,1,2,2,1,0,0,0,0,0,3,0,6,3,3,3,3,0,0,0,27
2024-03-01 02:00:00,1,1,4,1,0,2,2,0,1,2,0,1,0,2,4,5,8,3,3,40
2024-03-01 02:10:00,1,2,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,11
2024-03-01 02:20:00,1,2,2,2,0,0,0,0,0,2,0,2,0,1,2,3,2,2,3,24
2024-03-01 02:30:00,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,2,2,2,2,14
2024-03-01 02:40:00,2,2,1,2,0,1,1,0,0,2,0,3,0,1,1,1,2,1,1,21
2024-03-01 02:50:00,0,0,2,2,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,11
2024-03-01 03:00:00,2,2,2,1,0,2,2,0,0,2,0,2,0,2,3,4,1,2,1,28
2024-03-01 03:10:00,1,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,8
2024-03-01 03:20:00,3,4,2,1,0,2,1,0,0,2,0,3,0,0,0,0,1,2,0,21
2024-03-01 03:30:00,0,0,0,0,0,1,1,0,0,3,0,2,0,2,2,2,0,0,0,13
2024-03-01 03:40:00,3,3,1,1,0,1,2,0,0,2,0,2,1,1,1,1,1,0,0,20
