datetime,D21Z,V22Z,D51Z,V52Z,D81Z,V82Z,D111Z,V112Z,Total
2024-03-01 01:00:00,1,1,0,6,1,1,5,4,19
2024-03-01 01:10:00,0,0,0,3,1,1,3,5,13
2024-03-01 01:20:00,0,0,1,6,1,1,4,7,20
2024-03-01 01:30:00,0,0,0,1,0,0,6,6,13
2024-03-01 01:40:00,4,1,0,2,1,0,1,1,10
2024-03-01 01:50:00,0,0,1,7,1,1,3,3,16
2024-03-01 02:00:00,0,0,0,2,0,0,5,6,13
2024-03-01 02:10:00,1,1,0,2,0,0,5,5,14
2024-03-01 02:20:00,1,0,1,3,0,0,5,6,16
2024-03-01 02:30:00,0,0,0,3,0,0,1,2,6
2024-03-01 02:40:00,0,0,0,8,1,1,1,2,13
2024-03-01 02:50:00,0,0,1,2,0,0,4,5,12
2024-03-01 03:00:00,0,0,0,5,0,0,2,2,9
2024-03-01 03:10:00,0,0,0,0,0,0,1,1,2
2024-03-01 03:20:00,0,0,0,4,0,0,3,3,10
2024-03-01 03:30:00,1,0,0,2,2,1,7,7,20
2024-03-01 03:40:00,0,0,1,8,1,1,3,4,18
2024-03-01 03:50:00,1,0,1,5,0,0,1,2,10
2024-03-01 04:00:00,1,1,0,2,0,0,1,1,6
2024-03-01 04:10:00,0,0,0,7,1,1,1,1,11
2024-03-01 04:20:00,0,0,1,10,2,2,1,2,18
2024-03-01 04:30:00,0,0,1,7,1,1,0,0,10
2024-03-01 04:40:00,0,0,3,12,0,0,5,6,26
2024-03-01 04:50:00,0,0,5,15,3,3,4,3,33
2024-03-01 05:00:00,0,0,5,23,2,2,4,9,45
2024-03-01 05:10:00,1,1,8,19,2,4,9,9,53
2024-03-01 05:20:00,0,0,8,33,5,3,10,11,70
2024-03-01 05:30:00,0,0,24,48,1,2,5,6,86
2024-03-01 05:40:00,2,1,19,60,7,6,7,8,110
2024-03-01 05:50:00,2,2,20,61,3,4,8,8,108
2024-03-01 06:00:00,2,2,9,49,5,6,9,12,94
2024-03-01 06:10:00,0,0,24,53,9,9,17,18,130
2024-03-01 06:20:00,8,8,18,70,5,5,26,28,168
2024-03-01 06:30:00,4,2,21,66,5,5,32,27,162
2024-03-01 06:40:00,5,3,15,83,11,9,26,23,175
2024-03-01 06:50:00,1,1,14,74,9,11,35,28,173
2024-03-01 07:00:00,7,6,19,90,14,12,43,23,214
2024-03-01 07:10:00,8,4,19,91,14,10,25,19,190
2024-03-01 07:20:00,7,2,24,91,17,9,45,28,223
2024-03-01 07:30:00,10,8,20,91,14,9,30,23,205
2024-03-01 07:40:00,5,4,34,83,20,15,45,20,226
2024-03-01 07:50:00,12,7,20,82,19,6,52,19,217
2024-03-01 08:00:00,15,10,11,66,23,4,36,26,191
2024-03-01 08:10:00,17,9,20,73,21,9,43,26,218
2024-03-01 08:20:00,19,11,16,87,18,8,47,15,221
2024-03-01 08:30:00,17,10,21,67,23,10,41,21,210
2024-03-01 08:40:00,19,12,25,72,20,14,31,24,217
2024-03-01 08:50:00,11,6,19,67,14,9,49,21,196
2024-03-01 09:00:00,12,7,6,72,25,10,39,21,192
2024-03-01 09:10:00,14,7,18,72,15,13,38,27,204
2024-03-01 09:20:00,12,5,14,71,9,8,42,35,196
2024-03-01 09:30:00,13,11,27,65,27,13,33,20,209
2024-03-01 09:40:00,22,11,43,53,14,12,52,38,245
2024-03-01 09:50:00,17,9,30,45,15,5,35,26,182
2024-03-01 10:00:00,17,9,36,52,16,10,58,34,232
2024-03-01 10:10:00,12,10,28,56,15,8,44,27,200
2024-03-01 10:20:00,11,8,30,56,10,8,56,42,221
2024-03-01 10:30:00,11,7,30,52,13,9,38,28,188
2024-03-01 10:40:00,15,8,31,64,19,15,39,28,219
2024-03-01 10:50:00,18,7,25,55,16,8,48,26,203
2024-03-01 11:00:00,15,8,24,43,15,6,63,31,205
2024-03-01 11:10:00,11,6,33,60,20,12,50,34,226
2024-03-01 11:20:00,13,7,29,49,13,9,63,33,216
2024-03-01 11:30:00,17,8,17,52,13,9,68,41,225
2024-03-01 11:40:00,14,5,29,46,8,6,60,33,201
2024-03-01 11:50:00,17,12,24,53,12,10,80,36,244
2024-03-01 12:00:00,12,9,33,53,16,6,58,34,221
2024-03-01 12:10:00,10,5,19,58,14,10,92,33,241
2024-03-01 12:20:00,19,9,33,54,19,11,67,23,235
2024-03-01 12:30:00,20,7,14,67,10,9,94,35,256
2024-03-01 12:40:00,19,12,22,62,21,12,61,31,240
2024-03-01 12:50:00,11,8,18,76,15,12,88,35,263
2024-03-01 13:00:00,19,10,10,51,12,9,93,25,229
