datetime,D11Z,D12Z,D13Z,D14Z,V15Z,V16Z,V17Z,D21Z,D22Z,D23Z,D24Z,V26Z,V27Z,V28Z,V29Z,D31Z,D32Z,D33Z,D34Z,V36Z,V37Z,V38Z,V39Z,V40Z,V41Z,V42Z,D43Z,V45Z,V46Z,V47Z,V48Z,Total
2024-03-01 01:00:00,0,4,1,0,5,1,0,0,3,2,2,0,4,3,4,1,1,1,1,1,1,2,2,0,3,0,1,0,5,0,1,49
2024-03-01 01:10:00,9,2,2,0,2,2,0,1,3,0,0,3,4,0,0,1,0,0,2,2,0,1,3,0,1,3,2,1,2,2,2,50
2024-03-01 01:20:00,0,2,1,1,3,2,2,1,6,1,0,1,6,1,0,1,0,0,1,1,2,0,2,0,2,1,1,1,5,2,1,47
2024-03-01 01:30:00,0,1,1,2,1,1,2,0,1,0,0,1,1,0,0,1,1,1,3,1,2,2,2,0,0,2,3,1,2,3,2,37
2024-03-01 01:40:00,1,1,1,0,2,3,0,0,1,1,1,0,2,1,1,0,1,0,1,0,1,0,2,0,2,1,1,2,4,0,1,31
2024-03-01 01:50:00,0,2,1,0,3,1,0,1,5,1,0,1,5,1,0,0,1,1,0,0,1,1,0,0,1,1,3,2,3,1,3,39
2024-03-01 02:00:00,0,1,0,2,1,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,19
2024-03-01 02:10:00,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,1,1,0,0,2,3,0,0,0,3,1,0,0,3,0,0,20
2024-03-01 02:20:00,0,3,1,1,5,2,1,1,2,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,3,1,0,1,7,2,0,35
2024-03-01 02:30:00,0,1,0,0,2,0,0,0,1,2,0,1,1,2,0,0,1,0,2,0,2,0,3,0,0,1,1,1,1,3,1,26
2024-03-01 02:40:00,0,1,0,0,1,0,0,0,6,0,1,2,6,2,1,0,1,0,2,0,2,1,3,0,1,1,0,2,2,1,0,36
2024-03-01 02:50:00,0,2,0,0,3,0,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,2,2,0,3,2,0,1,3,2,0,27
2024-03-01 03:00:00,0,1,0,0,2,0,0,0,3,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,2,21
2024-03-01 03:10:00,0,0,1,0,0,1,0,0,1,0,0,1,4,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,15
