datetime,D21Z,D23Z,D81Z,D111Z,D112Z,V24Z,V25Z,V51Z,V52Z,V83Z,V84Z,V113Z,V114Z,Total
2024-03-01 01:00:00,7,1,3,1,3,9,0,2,1,13,0,1,0,41
2024-03-01 01:10:00,8,0,4,0,1,8,2,3,3,4,0,0,0,33
2024-03-01 01:20:00,5,0,2,2,2,9,0,3,2,2,0,6,2,35
2024-03-01 01:30:00,6,0,4,2,1,9,0,0,1,7,0,4,1,35
2024-03-01 01:40:00,5,0,2,0,0,6,2,0,0,2,0,0,0,17
2024-03-01 01:50:00,8,0,4,2,1,17,0,0,0,5,0,3,0,40
2024-03-01 02:00:00,5,0,1,3,0,9,1,1,0,1,0,3,0,24
2024-03-01 02:10:00,2,0,3,1,1,1,0,2,0,4,0,0,0,14
2024-03-01 02:20:00,3,0,4,1,0,7,0,0,0,7,0,1,0,23
2024-03-01 02:30:00,4,0,2,0,0,5,0,0,0,4,0,0,0,15
2024-03-01 02:40:00,2,0,3,0,1,4,2,1,0,3,0,0,0,16
2024-03-01 02:50:00,2,0,2,2,2,3,0,4,1,2,0,3,1,22
2024-03-01 03:00:00,3,0,2,1,0,5,0,1,1,2,2,1,0,18
2024-03-01 03:10:00,4,0,3,1,0,8,2,1,1,2,0,1,0,23
2024-03-01 03:20:00,6,0,2,1,1,8,0,0,0,3,0,0,1,22
2024-03-01 03:30:00,1,0,6,0,1,2,0,2,0,6,0,0,1,19
2024-03-01 03:40:00,0,0,2,1,0,0,2,2,2,2,0,2,0,13
2024-03-01 03:50:00,2,0,4,0,0,4,1,2,2,6,2,0,0,23
2024-03-01 04:00:00,2,0,8,0,0,4,0,0,0,11,0,0,0,25
2024-03-01 04:10:00,5,0,6,2,2,8,4,0,0,5,1,2,1,36
2024-03-01 04:20:00,6,0,11,1,0,10,0,3,0,17,0,3,0,51
2024-03-01 04:30:00,3,0,7,1,3,8,0,0,0,9,0,1,2,34
2024-03-01 04:40:00,4,0,20,0,3,5,1,5,2,19,2,0,0,61
2024-03-01 04:50:00,9,0,27,2,3,13,3,4,0,29,1,2,1,94
2024-03-01 05:00:00,3,0,41,1,4,6,4,5,3,27,4,3,0,101
2024-03-01 05:10:00,13,0,51,5,2,23,5,5,3,33,1,8,0,149
