datetime,V11Z,V12Z,V13Z,D21Z,D22Z,D23Z,D24Z,D31Z,D32Z,D33Z,V41Z,V42Z,V43Z,V44Z,Total
2024-03-01 01:00:00,5,2,3,0,0,5,4,3,5,4,8,1,12,1,53
2024-03-01 01:10:00,4,3,3,0,0,4,5,2,4,5,5,2,5,5,47
2024-03-01 01:20:00,1,2,1,0,0,2,1,3,3,2,5,0,6,0,26
2024-03-01 01:30:00,0,8,6,0,0,4,5,1,0,0,2,0,2,0,28
2024-03-01 01:40:00,1,3,2,0,0,1,3,0,1,1,2,4,1,3,22
2024-03-01 01:50:00,2,3,2,0,0,2,2,0,0,2,2,3,0,2,20
2024-03-01 02:00:00,0,4,3,0,0,5,1,1,1,0,2,1,3,1,22
2024-03-01 02:10:00,2,1,0,0,0,3,1,1,2,0,2,0,4,0,16
2024-03-01 02:20:00,3,3,2,0,0,0,1,0,0,1,3,1,2,0,16
2024-03-01 02:30:00,0,5,2,0,0,3,2,1,2,1,1,4,0,2,23
2024-03-01 02:40:00,3,1,1,0,0,1,1,1,1,0,3,5,3,1,21
2024-03-01 02:50:00,2,3,1,0,0,2,1,1,1,0,2,2,0,3,18
2024-03-01 03:00:00,4,4,3,0,0,0,1,0,1,0,0,1,0,1,15
2024-03-01 03:10:00,2,1,0,0,0,1,0,0,0,0,1,1,0,3,9
2024-03-01 03:20:00,2,4,2,0,0,2,2,0,2,3,4,2,3,0,26
2024-03-01 03:30:00,2,1,1,0,0,1,0,1,1,3,3,2,2,4,21
2024-03-01 03:40:00,0,0,1,0,0,0,2,1,1,0,1,3,1,5,15
2024-03-01 03:50:00,1,0,1,0,0,3,2,1,1,1,8,6,6,5,35
2024-03-01 04:00:00,2,3,4,0,0,4,2,2,3,2,5,5,0,10,42
2024-03-01 04:10:00,5,3,5,0,0,3,3,2,1,0,5,2,7,2,38
2024-03-01 04:20:00,2,3,0,0,0,6,1,1,5,4,4,1,4,0,31
2024-03-01 04:30:00,2,2,1,0,0,5,0,8,5,2,4,2,3,2,36
2024-03-01 04:40:00,2,2,2,0,0,4,2,4,2,1,4,2,8,2,35
2024-03-01 04:50:00,3,0,1,0,0,3,3,5,5,5,16,7,9,7,64
2024-03-01 05:00:00,4,3,3,0,0,10,4,10,9,7,11,6,5,8,80
