datetime,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-01 01:00:00,7,0,7,0,0,0,4,0,1,3,2,1,0,1,0,0,26
2024-03-01 01:10:00,3,0,7,1,0,0,3,2,3,1,5,0,0,1,0,0,26
2024-03-01 01:20:00,4,1,5,1,0,0,2,0,1,3,3,2,0,0,0,0,22
2024-03-01 01:30:00,5,0,5,0,0,0,1,0,2,1,2,1,0,1,0,0,18
2024-03-01 01:40:00,2,0,2,0,0,0,1,0,5,0,8,0,0,0,0,0,18
2024-03-01 01:50:00,1,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,7
2024-03-01 02:00:00,2,0,2,0,0,0,2,0,0,1,1,1,0,1,0,0,10
2024-03-01 02:10:00,2,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,8
2024-03-01 02:20:00,2,0,3,0,0,0,3,1,1,0,1,0,0,1,0,0,12
2024-03-01 02:30:00,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,5
2024-03-01 02:40:00,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
2024-03-01 02:50:00,4,1,5,0,0,0,2,0,1,0,1,0,0,2,0,1,17
2024-03-01 03:00:00,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5
2024-03-01 03:10:00,0,0,0,0,0,0,0,1,2,3,3,2,0,0,0,0,11
2024-03-01 03:20:00,6,0,7,1,0,0,2,1,0,0,0,0,0,1,0,0,18
2024-03-01 03:30:00,1,0,1,0,0,0,1,0,3,1,4,0,0,0,0,0,11
2024-03-01 03:40:00,5,0,3,0,0,0,1,1,2,2,2,0,0,0,0,0,16
2024-03-01 03:50:00,2,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,8
2024-03-01 04:00:00,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6
2024-03-01 04:10:00,5,0,6,0,0,0,1,0,2,2,4,2,0,1,0,0,23
2024-03-01 04:20:00,2,1,2,1,0,0,3,1,2,3,3,1,0,0,0,0,19
2024-03-01 04:30:00,2,0,1,0,0,0,2,0,2,2,4,2,0,1,0,0,16
2024-03-01 04:40:00,4,1,6,2,0,0,4,0,3,1,3,1,0,0,0,0,25
2024-03-01 04:50:00,4,4,6,1,0,0,2,0,6,2,6,0,1,2,1,2,37
2024-03-01 05:00:00,4,3,4,2,0,0,8,1,4,1,5,0,0,1,0,0,33
2024-03-01 05:10:00,7,1,6,0,0,0,9,2,0,3,1,1,0,4,0,2,36
2024-03-01 05:20:00,5,0,7,1,0,0,8,1,3,2,4,0,1,0,1,0,33
2024-03-01 05:30:00,6,2,8,0,0,0,11,2,6,3,8,3,0,0,0,0,49
2024-03-01 05:40:00,10,6,10,2,0,0,17,2,10,5,8,2,0,2,0,0,74
2024-03-01 05:50:00,6,1,6,2,0,0,14,2,1,4,2,4,3,2,1,0,48
2024-03-01 06:00:00,7,2,8,0,0,0,21,3,10,9,16,8,1,4,0,0,89
2024-03-01 06:10:00,9,5,11,4,0,0,25,3,10,15,12,8,0,4,0,0,106
2024-03-01 06:20:00,10,7,8,5,0,0,15,4,11,7,14,6,2,0,2,0,91
2024-03-01 06:30:00,9,4,9,1,0,0,20,7,20,3,21,4,2,7,2,1,110
