datetime,D21Z,D22Z,V23Z,V24Z,D31Z,V32Z,D33Z,D51Z,D52Z,V53Z,D61Z,D62Z,V63Z,V64Z,D81Z,D82Z,V83Z,V84Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,D121Z,V122Z,Total
2024-03-01 01:00:00,1,11,1,11,7,1,5,1,0,0,0,0,1,0,0,5,6,6,2,1,0,2,0,0,5,0,66
2024-03-01 01:10:00,2,10,2,13,2,1,1,0,0,0,1,0,1,0,0,5,4,4,0,0,0,2,0,0,1,0,49
2024-03-01 01:20:00,1,6,4,5,1,0,0,0,1,1,1,0,1,0,0,9,1,9,5,1,0,1,0,0,1,0,48
2024-03-01 01:30:00,1,4,0,5,3,1,1,1,0,1,3,0,4,4,0,7,2,7,4,0,0,2,0,0,0,0,50
2024-03-01 01:40:00,3,11,2,9,1,1,1,0,0,0,1,0,3,0,0,8,3,7,3,0,0,0,0,0,0,0,53
2024-03-01 01:50:00,1,5,1,5,0,0,0,0,0,1,1,0,1,0,0,3,1,2,1,1,1,6,0,0,2,0,32
2024-03-01 02:00:00,0,3,1,5,0,0,0,1,1,1,0,0,1,0,0,4,0,5,1,1,1,0,0,0,0,0,25
2024-03-01 02:10:00,1,3,0,3,1,1,0,2,2,2,0,0,2,1,0,6,2,3,3,1,1,0,0,0,1,0,35
2024-03-01 02:20:00,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,4,2,0,3,0,3,0,1,0,24
2024-03-01 02:30:00,0,2,0,2,0,0,0,0,0,0,1,0,1,1,0,7,4,5,1,0,0,2,0,0,0,0,26
2024-03-01 02:40:00,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,9
2024-03-01 02:50:00,1,5,2,7,1,1,1,0,0,0,2,0,2,5,0,2,2,3,2,0,0,0,0,0,1,0,37
2024-03-01 03:00:00,0,3,0,5,0,0,0,0,0,0,3,0,2,1,0,6,1,6,2,1,0,0,0,0,0,0,30
2024-03-01 03:10:00,1,2,3,3,2,1,1,1,1,1,1,0,1,0,0,3,3,2,0,0,0,0,0,0,0,0,26
2024-03-01 03:20:00,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,4,4,0,1,2,0,0,0,0,21
2024-03-01 03:30:00,1,4,3,4,0,0,0,2,2,4,1,0,3,2,0,4,0,3,15,1,1,2,1,0,1,0,54
2024-03-01 03:40:00,0,2,0,3,1,2,1,1,1,1,1,0,3,0,0,2,1,1,1,1,0,0,0,0,0,0,22
2024-03-01 03:50:00,0,1,0,1,0,0,0,0,0,0,1,0,1,3,0,3,1,1,2,3,0,1,1,0,1,0,20
2024-03-01 04:00:00,0,2,0,6,0,0,1,0,0,0,0,0,0,1,0,8,3,7,4,1,0,1,0,0,1,0,35
2024-03-01 04:10:00,1,2,2,3,3,2,2,0,0,0,0,0,1,0,0,2,0,2,5,0,0,1,0,0,0,0,26
2024-03-01 04:20:00,0,4,1,4,0,0,0,1,0,0,0,0,0,0,0,5,3,6,2,1,0,0,0,0,0,0,27
2024-03-01 04:30:00,2,4,2,4,0,0,0,1,1,1,0,0,0,0,0,3,1,2,1,0,2,5,0,0,2,0,31
2024-03-01 04:40:00,0,2,0,3,2,1,2,0,0,0,0,0,0,0,0,5,3,3,5,0,0,2,1,0,0,0,29
