datetime,D11Z,D12Z,D23Z,V24Z,V25Z,V26Z,V27Z,D51Z,V52Z,D81Z,D82Z,V83Z,V84Z,V85Z,D111Z,V112Z,D121Z,D122Z,V531Z,V571Z,Total
2024-03-01 01:00:00,0,0,0,0,0,0,0,2,6,2,2,4,3,1,7,10,2,1,3,0,43
2024-03-01 01:10:00,1,0,0,1,0,0,0,7,12,4,1,5,0,1,4,6,2,0,0,1,45
2024-03-01 01:20:00,0,0,0,0,0,0,0,3,4,3,2,5,1,0,5,3,2,0,0,0,28
2024-03-01 01:30:00,0,1,0,0,3,0,0,5,4,2,2,4,3,0,5,8,5,4,0,0,46
2024-03-01 01:40:00,0,1,0,0,1,0,0,3,3,1,2,2,3,4,6,9,3,2,0,0,40
2024-03-01 01:50:00,0,0,1,0,0,2,1,2,3,1,3,2,5,2,3,5,2,2,1,0,35
2024-03-01 02:00:00,0,0,2,0,1,5,4,1,2,1,2,2,2,0,1,1,2,2,0,0,28
2024-03-01 02:10:00,0,0,1,0,0,2,2,2,2,1,1,2,1,0,0,0,0,0,0,2,16
2024-03-01 02:20:00,1,2,1,0,6,2,1,3,4,1,1,2,2,1,3,2,2,0,0,0,34
2024-03-01 02:30:00,0,1,0,0,2,0,0,2,2,1,1,2,1,1,1,2,1,1,1,0,19
2024-03-01 02:40:00,0,0,1,0,0,2,1,2,4,1,3,2,3,3,1,1,0,0,1,0,25
2024-03-01 02:50:00,0,0,0,0,0,0,0,2,2,1,0,1,0,0,2,2,1,0,0,0,11
2024-03-01 03:00:00,0,3,0,0,6,0,0,2,2,1,0,3,0,0,2,3,0,1,0,0,23
2024-03-01 03:10:00,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,2,0,0,0,0,9
2024-03-01 03:20:00,0,2,3,0,5,4,2,1,1,0,2,0,5,2,2,2,4,2,1,0,38
2024-03-01 03:30:00,0,1,0,0,2,0,0,2,2,2,1,2,2,1,3,3,1,0,0,0,22
2024-03-01 03:40:00,0,1,1,0,3,0,0,1,1,7,1,0,4,3,7,13,4,0,0,0,46
2024-03-01 03:50:00,0,0,0,0,0,0,0,3,3,0,2,0,3,3,1,2,0,0,0,0,17
2024-03-01 04:00:00,1,0,1,1,1,2,1,2,2,1,1,2,2,1,1,3,6,2,4,1,35
2024-03-01 04:10:00,0,2,2,0,4,2,2,12,3,3,6,5,7,2,2,3,4,0,2,1,62
2024-03-01 04:20:00,0,3,1,0,9,2,1,5,6,2,0,2,0,0,2,2,0,0,1,0,36
2024-03-01 04:30:00,0,2,1,0,3,2,1,3,3,1,2,1,2,1,2,5,1,1,0,0,31
2024-03-01 04:40:00,0,1,1,0,3,0,0,3,2,6,3,7,4,3,5,9,9,1,2,1,60
2024-03-01 04:50:00,0,2,1,0,2,0,0,4,5,6,6,7,8,3,3,4,3,0,2,1,57
2024-03-01 05:00:00,0,3,1,0,8,1,2,4,4,13,8,9,9,9,3,9,2,2,2,2,91
2024-03-01 05:10:00,0,4,2,0,9,2,1,6,8,9,13,14,16,14,4,5,4,3,2,4,120
2024-03-01 05:20:00,0,5,1,0,11,2,1,10,7,9,17,9,23,14,10,17,5,7,2,0,150
2024-03-01 05:30:00,0,2,8,0,4,13,12,6,7,23,24,13,15,23,30,18,6,6,2,2,214
2024-03-01 05:40:00,0,12,6,0,20,9,6,18,14,37,28,16,24,29,17,19,37,7,4,3,306
2024-03-01 05:50:00,1,7,4,0,14,6,3,13,11,27,36,13,23,35,25,32,8,5,3,2,268
2024-03-01 06:00:00,1,8,7,4,9,9,9,18,12,23,32,18,29,31,17,21,6,7,2,3,266
2024-03-01 06:10:00,1,7,7,2,10,10,6,29,25,24,27,15,17,29,18,18,14,5,5,3,272
2024-03-01 06:20:00,0,10,9,0,16,11,7,29,17,38,37,10,12,34,18,23,16,14,3,3,307
2024-03-01 06:30:00,0,10,11,0,13,18,8,24,17,38,51,20,31,43,20,22,11,6,1,1,345
