datetime,D20Z,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,D54Z,V55Z,V56Z,D80Z,D81Z,D82Z,V83Z,V84Z,V85Z,D110Z,D111Z,D112Z,V113Z,V114Z,V115Z,V116Z,V117Z,V118Z,Total
2024-03-01 01:00:00,0,0,5,0,0,979,0,30,4,0,1,7,0,9,4,7,0,7,3,8,6,0,0,3,6,1079
2024-03-01 01:10:00,0,2,4,0,0,355,0,2,3,0,1,2,0,3,1,6,0,12,4,16,9,1,0,16,5,442
2024-03-01 01:20:00,0,0,2,0,0,3,0,1,3,0,2,3,0,5,0,4,0,3,2,6,5,0,0,5,3,47
2024-03-01 01:30:00,0,2,7,2,1,277,0,3,4,0,0,1,0,1,0,6,0,5,3,12,7,0,1,9,11,352
2024-03-01 01:40:00,0,1,4,1,0,932,0,179,1,0,1,1,0,1,0,4,0,3,3,7,4,0,0,5,4,1151
2024-03-01 01:50:00,0,0,0,0,0,685,0,1,2,0,1,1,0,1,0,1,0,5,3,5,3,0,0,9,0,717
2024-03-01 02:00:00,0,0,0,0,0,3,0,3,3,0,0,1,0,1,0,4,0,3,1,3,2,0,0,6,0,30
2024-03-01 02:10:00,0,3,5,0,1,293,0,1,2,0,0,3,0,4,0,2,1,3,3,7,5,1,0,6,7,347
2024-03-01 02:20:00,0,0,0,0,0,1113,0,1,1,0,0,0,0,0,0,3,0,7,4,7,6,0,0,9,0,1151
2024-03-01 02:30:00,0,1,3,2,0,539,0,2,1,0,2,4,0,5,1,2,0,2,1,3,3,0,0,3,2,576
2024-03-01 02:40:00,0,1,1,0,0,0,0,0,0,0,0,2,0,2,3,2,0,4,1,5,2,1,0,6,1,31
2024-03-01 02:50:00,1,2,3,1,1,555,0,2,2,0,2,3,0,2,0,2,0,6,3,8,5,0,0,8,4,610
2024-03-01 03:00:00,1,2,0,1,0,984,0,0,0,0,0,2,0,3,1,8,0,9,3,10,5,0,1,8,2,1040
2024-03-01 03:10:00,1,1,3,0,0,71,0,3,3,0,0,1,0,1,0,2,0,1,2,3,2,1,0,3,2,100
2024-03-01 03:20:00,0,0,2,0,0,82,0,1,1,0,0,3,0,5,1,2,0,10,3,9,6,2,0,10,1,138
2024-03-01 03:30:00,0,1,5,0,0,886,0,1,1,0,1,4,0,7,0,6,0,5,6,9,7,0,0,7,7,953
2024-03-01 03:40:00,0,1,1,0,1,610,0,0,1,0,0,3,0,5,1,2,0,2,1,4,3,0,0,3,1,639
2024-03-01 03:50:00,0,0,1,0,0,0,0,0,0,0,2,6,0,6,0,1,0,3,0,3,4,0,0,4,2,32
2024-03-01 04:00:00,1,1,4,0,0,893,0,0,1,0,1,8,0,14,2,8,0,7,2,13,7,0,2,12,5,981
2024-03-01 04:10:00,0,1,3,2,0,545,0,1,2,0,0,4,0,5,0,12,0,11,10,12,11,0,0,13,3,635
2024-03-01 04:20:00,0,1,8,0,1,6,0,4,6,0,0,7,0,7,1,6,0,4,4,10,6,0,0,7,6,84
2024-03-01 04:30:00,0,1,6,0,0,584,0,5,4,0,2,10,0,13,0,11,0,7,4,8,6,2,0,9,7,679
2024-03-01 04:40:00,0,0,4,0,0,1219,0,3,3,0,6,9,0,12,0,4,0,5,3,7,6,0,0,9,5,1295
2024-03-01 04:50:00,0,1,2,0,0,3,0,2,3,0,5,12,0,13,0,13,0,7,5,8,6,0,0,7,4,91
2024-03-01 05:00:00,0,3,11,1,0,313,0,4,4,0,9,14,0,11,3,16,0,13,7,13,15,2,2,17,11,469
2024-03-01 05:10:00,1,1,10,1,2,1221,0,8,5,0,6,23,0,25,2,27,0,13,12,20,13,0,0,20,9,1419
2024-03-01 05:20:00,0,5,7,2,0,303,0,6,7,0,12,31,0,25,2,21,0,19,10,22,12,0,3,26,9,522
2024-03-01 05:30:00,0,7,22,1,5,19,0,11,14,0,10,38,1,27,2,33,0,27,21,34,32,2,2,35,25,368
2024-03-01 05:40:00,1,5,19,0,1,277,0,10,16,0,12,38,1,41,1,34,0,35,19,34,24,0,0,43,24,635
2024-03-01 05:50:00,0,7,28,0,0,920,0,9,13,0,27,74,2,38,1,54,0,35,23,42,30,1,4,39,32,1379
2024-03-01 06:00:00,1,7,31,0,4,418,0,23,19,0,9,42,0,24,1,37,0,36,29,39,36,8,1,50,30,845
2024-03-01 06:10:00,2,15,29,4,0,38,0,26,22,0,9,72,1,28,3,46,0,45,36,41,33,5,2,42,41,540
2024-03-01 06:20:00,6,18,45,2,0,29,0,16,23,0,9,60,1,28,2,40,1,42,43,54,46,5,5,49,55,579
2024-03-01 06:30:00,2,18,39,4,3,113,0,19,19,0,16,74,0,25,0,49,0,53,32,54,34,7,6,63,42,672
2024-03-01 06:40:00,6,18,48,0,5,179,0,56,16,0,17,108,0,24,10,67,1,75,40,54,46,6,1,89,53,919
2024-03-01 06:50:00,7,18,52,7,7,409,0,80,33,0,24,76,0,23,11,42,0,79,44,51,40,6,5,80,49,1143
2024-03-01 07:00:00,6,63,59,17,44,194,0,34,27,0,22,78,2,14,10,18,0,75,46,50,57,11,15,73,54,969
2024-03-01 07:10:00,10,26,61,19,46,73,0,49,25,0,35,118,0,9,10,10,2,104,72,40,71,12,10,85,69,956
2024-03-01 07:20:00,24,49,71,28,48,59,0,39,29,0,36,122,0,7,10,11,2,134,64,39,65,12,22,94,64,1029
2024-03-01 07:30:00,19,51,84,27,52,70,0,36,25,0,32,132,0,15,15,10,0,115,81,31,54,17,23,103,67,1059
2024-03-01 07:40:00,25,66,91,34,55,73,0,55,31,0,33,131,0,6,20,9,0,134,77,42,68,7,26,111,81,1175
2024-03-01 07:50:00,30,93,101,61,64,300,0,109,43,0,40,136,0,6,16,8,0,125,91,40,76,16,37,86,85,1563
2024-03-01 08:00:00,19,60,82,28,56,314,0,84,46,0,25,118,1,9,11,8,0,106,59,36,59,14,22,86,72,1315
2024-03-01 08:10:00,23,59,73,30,35,269,0,78,41,0,27,110,0,7,17,8,2,106,63,39,58,8,19,87,66,1225
2024-03-01 08:20:00,19,61,85,32,47,170,0,46,43,0,33,105,1,15,13,11,1,103,54,46,58,14,23,79,61,1120
2024-03-01 08:30:00,12,54,76,23,49,53,0,34,33,0,32,113,1,7,9,9,1,107,56,31,65,8,34,101,72,980
2024-03-01 08:40:00,16,56,70,24,47,194,1,53,35,0,30,105,0,13,9,6,1,103,56,36,54,13,26,69,53,1070
2024-03-01 08:50:00,11,43,74,28,47,56,1,24,22,0,27,112,0,20,10,11,0,85,52,33,58,19,27,78,62,900
2024-03-01 09:00:00,10,33,53,20,42,79,0,39,33,0,34,86,6,15,8,17,1,89,45,34,51,12,13,77,53,850
2024-03-01 09:10:00,22,53,78,33,45,154,0,30,31,0,30,98,0,12,12,9,3,97,53,51,74,13,23,83,72,1076
2024-03-01 09:20:00,18,48,57,27,39,86,0,28,18,0,19,71,0,25,6,6,3,99,33,31,48,6,32,87,60,847
2024-03-01 09:30:00,14,50,70,29,36,190,0,87,22,0,24,66,5,19,3,11,0,90,55,33,61,15,30,81,72,1063
2024-03-01 09:40:00,12,57,80,30,38,94,0,27,30,0,33,94,0,23,9,7,2,85,45,38,61,13,28,82,72,960
2024-03-01 09:50:00,14,50,76,29,52,180,0,41,28,0,19,56,0,22,10,10,1,91,45,38,54,11,24,71,72,994
2024-03-01 10:00:00,18,46,60,23,43,48,0,28,30,0,28,78,0,15,13,13,2,69,37,29,40,16,18,62,49,765
2024-03-01 10:10:00,18,50,58,24,38,58,0,33,35,0,31,80,0,12,6,9,2,83,34,29,42,28,24,80,56,830
2024-03-01 10:20:00,17,56,67,33,37,57,0,30,31,0,22,85,0,18,15,7,0,90,57,47,64,136,27,96,53,1045
2024-03-01 10:30:00,13,41,45,15,30,46,0,24,33,0,26,65,0,16,4,4,0,82,25,39,46,257,24,68,45,948
2024-03-01 10:40:00,12,52,55,20,45,284,0,27,29,0,20,66,0,18,8,6,1,92,40,37,46,164,21,81,56,1180
2024-03-01 10:50:00,12,35,45,16,40,157,0,70,20,0,19,61,1,18,7,9,0,70,25,30,43,152,16,73,46,965
2024-03-01 11:00:00,16,61,79,24,56,223,0,27,29,0,32,71,9,17,6,10,0,111,54,30,51,170,25,83,68,1252
