datetime,D21Z,D22Z,D41Z,D42Z,D11Z,D12Z,D31Z,D32Z,Total
2024-03-01 01:00:00,7,9,7,4,0,0,0,0,27
2024-03-01 01:10:00,4,3,4,2,0,0,0,0,13
2024-03-01 01:20:00,5,5,6,1,0,0,0,0,17
2024-03-01 01:30:00,4,4,3,1,0,0,0,0,12
2024-03-01 01:40:00,1,1,1,0,0,0,1,0,4
2024-03-01 01:50:00,3,2,4,0,0,0,0,0,9
2024-03-01 02:00:00,1,1,1,0,0,0,0,0,3
2024-03-01 02:10:00,3,3,3,1,0,0,0,0,10
2024-03-01 02:20:00,1,2,3,1,0,0,0,0,7
2024-03-01 02:30:00,0,0,0,0,0,0,0,0,0
2024-03-01 02:40:00,0,0,1,1,0,0,0,0,2
2024-03-01 02:50:00,1,1,0,0,0,0,0,0,2
2024-03-01 03:00:00,1,1,3,0,0,0,0,0,5
2024-03-01 03:10:00,2,2,1,0,0,0,0,0,5
2024-03-01 03:20:00,4,4,2,0,0,0,0,0,10
2024-03-01 03:30:00,1,1,4,0,0,0,0,0,6
2024-03-01 03:40:00,3,3,2,0,0,0,0,0,8
2024-03-01 03:50:00,3,3,3,1,0,0,0,0,10
2024-03-01 04:00:00,1,1,1,0,0,0,0,0,3
2024-03-01 04:10:00,2,2,2,0,0,0,0,0,6
2024-03-01 04:20:00,1,1,2,0,0,0,0,0,4
2024-03-01 04:30:00,1,1,0,0,0,0,0,0,2
2024-03-01 04:40:00,1,2,1,0,0,0,0,0,4
2024-03-01 04:50:00,1,1,1,0,0,0,0,0,3
2024-03-01 05:00:00,2,3,1,1,0,0,0,0,7
2024-03-01 05:10:00,6,5,9,0,0,0,1,0,21
2024-03-01 05:20:00,3,3,10,0,0,0,2,0,18
2024-03-01 05:30:00,6,8,3,0,0,0,0,0,17
2024-03-01 05:40:00,7,8,3,0,0,0,0,0,18
2024-03-01 05:50:00,6,6,4,3,0,0,0,0,19
2024-03-01 06:00:00,4,4,10,6,0,0,0,0,24
2024-03-01 06:10:00,10,9,15,7,0,0,1,0,42
2024-03-01 06:20:00,6,5,15,6,0,0,0,0,32
2024-03-01 06:30:00,11,10,19,12,0,0,3,0,55
2024-03-01 06:40:00,18,13,19,13,0,0,1,0,64
2024-03-01 06:50:00,20,17,13,13,0,0,5,0,68
2024-03-01 07:00:00,18,16,18,11,0,0,4,1,68
2024-03-01 07:10:00,28,22,47,7,0,0,5,0,109
2024-03-01 07:20:00,25,19,41,5,0,0,4,0,94
2024-03-01 07:30:00,28,14,25,13,0,0,4,4,88
2024-03-01 07:40:00,41,14,19,7,0,0,6,0,87
2024-03-01 07:50:00,44,34,22,7,0,0,1,0,108
2024-03-01 08:00:00,40,17,21,8,0,0,4,0,90
2024-03-01 08:10:00,39,22,30,6,0,0,2,0,99
2024-03-01 08:20:00,32,17,21,3,0,0,2,0,75
2024-03-01 08:30:00,46,23,23,3,0,0,5,0,100
2024-03-01 08:40:00,48,24,30,5,0,0,4,0,111
2024-03-01 08:50:00,38,28,27,9,0,0,2,0,104
2024-03-01 09:00:00,43,21,21,10,0,0,2,0,97
2024-03-01 09:10:00,46,19,14,2,0,0,4,0,85
2024-03-01 09:20:00,55,35,19,2,0,0,1,0,112
2024-03-01 09:30:00,40,31,26,1,0,0,3,0,101
2024-03-01 09:40:00,41,37,29,2,0,0,1,0,110
2024-03-01 09:50:00,61,39,20,3,0,0,2,0,125
2024-03-01 10:00:00,42,31,18,4,0,0,1,0,96
2024-03-01 10:10:00,46,38,28,4,0,0,2,0,118
2024-03-01 10:20:00,47,34,21,4,0,0,4,1,111
2024-03-01 10:30:00,50,37,22,5,0,0,3,0,117
2024-03-01 10:40:00,39,32,20,2,0,0,2,0,95
2024-03-01 10:50:00,42,33,20,8,0,0,0,0,103
