datetime,D21Z,D22Z,D23Z,V24Z,V25Z,V26Z,D81Z,V82Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-01 01:00:00,0,5,1,0,4,2,4,4,0,0,1,4,7,8,40
2024-03-01 01:10:00,0,5,0,0,6,0,3,3,1,1,2,4,3,4,32
2024-03-01 01:20:00,0,4,1,0,3,1,1,1,0,0,1,1,1,2,16
2024-03-01 01:30:00,0,3,0,0,3,0,5,4,1,2,1,9,4,7,39
2024-03-01 01:40:00,0,3,2,0,4,2,1,1,0,0,3,0,5,2,23
2024-03-01 01:50:00,0,6,0,0,5,0,1,1,0,0,0,2,1,2,18
2024-03-01 02:00:00,1,3,0,1,3,0,1,1,0,0,0,1,7,7,25
2024-03-01 02:10:00,0,1,0,0,1,0,1,2,1,2,0,0,5,5,18
2024-03-01 02:20:00,0,3,0,0,3,0,0,0,0,0,0,0,6,6,18
2024-03-01 02:30:00,0,2,0,0,2,0,2,2,0,0,0,1,6,6,21
2024-03-01 02:40:00,0,4,0,0,4,0,2,3,1,0,1,2,6,6,29
2024-03-01 02:50:00,0,1,0,0,1,0,1,2,0,0,0,1,5,5,16
2024-03-01 03:00:00,0,4,0,0,4,0,0,0,0,0,0,0,3,3,14
2024-03-01 03:10:00,0,1,0,0,1,0,1,1,0,0,1,2,6,5,18
2024-03-01 03:20:00,0,1,0,0,1,0,1,1,0,0,1,1,7,8,21
2024-03-01 03:30:00,0,2,0,0,2,0,1,1,0,0,0,0,4,4,14
2024-03-01 03:40:00,0,3,0,0,3,2,2,2,1,1,1,2,8,8,33
2024-03-01 03:50:00,0,3,0,0,3,0,4,5,2,1,0,2,5,6,31
2024-03-01 04:00:00,2,1,0,2,1,0,2,2,0,0,0,1,5,5,21
2024-03-01 04:10:00,0,4,0,0,4,0,2,2,1,0,2,1,6,6,28
2024-03-01 04:20:00,0,6,0,0,6,1,7,7,5,4,0,3,2,3,44
2024-03-01 04:30:00,0,2,0,0,2,0,8,6,3,2,0,1,4,4,32
2024-03-01 04:40:00,0,2,0,0,2,0,6,6,0,1,0,1,10,10,38
2024-03-01 04:50:00,0,4,0,0,4,0,8,7,2,1,1,3,3,3,36
2024-03-01 05:00:00,0,4,2,1,4,1,13,10,1,1,0,1,9,9,56
2024-03-01 05:10:00,1,9,1,1,9,4,11,10,2,2,3,1,9,7,70
2024-03-01 05:20:00,0,7,0,0,8,1,23,18,1,1,1,4,4,5,73
2024-03-01 05:30:00,1,11,2,1,10,2,25,17,1,1,1,11,6,8,97
2024-03-01 05:40:00,0,14,4,3,8,3,35,13,5,7,3,6,6,6,113
