datetime,D21Z,V22Z,D31Z,V32Z,V52Z,D81Z,V82Z,D91Z,V92Z,V112Z,V381Z,V521Z,D981Z,V982Z,Total
2024-03-01 01:00:00,5,4,4,1,1,2,2,1,0,0,0,0,0,0,20
2024-03-01 01:10:00,4,4,0,0,0,2,2,0,0,0,0,0,0,0,12
2024-03-01 01:20:00,2,2,0,0,0,3,3,0,0,0,0,0,0,0,10
2024-03-01 01:30:00,1,1,2,2,0,2,2,0,0,1,1,0,0,0,12
2024-03-01 01:40:00,2,2,1,1,2,1,1,0,0,0,0,0,0,0,10
2024-03-01 01:50:00,3,4,1,0,0,2,2,0,0,0,0,0,0,0,12
2024-03-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:10:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2024-03-01 02:20:00,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-03-01 02:30:00,4,2,2,1,0,3,3,0,0,1,0,0,1,1,18
2024-03-01 02:40:00,1,1,1,0,2,3,3,0,0,0,0,0,0,0,11
2024-03-01 02:50:00,1,1,0,0,0,1,1,0,0,0,1,0,0,0,5
2024-03-01 03:00:00,3,3,2,1,0,0,0,0,0,0,0,0,0,0,9
2024-03-01 03:10:00,3,3,2,0,0,3,4,1,1,0,0,0,0,0,17
2024-03-01 03:20:00,1,1,2,1,0,2,2,0,0,1,0,0,0,0,10
2024-03-01 03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 03:40:00,2,2,0,0,1,0,0,0,0,0,0,0,0,0,5
2024-03-01 03:50:00,3,3,1,0,0,3,3,1,0,0,0,0,0,0,14
2024-03-01 04:00:00,4,6,2,0,0,1,1,0,0,0,0,0,0,0,14
2024-03-01 04:10:00,7,7,4,1,0,5,5,2,0,0,0,0,0,0,31
2024-03-01 04:20:00,5,6,1,0,1,7,6,3,1,0,0,0,2,0,32
2024-03-01 04:30:00,1,1,0,0,0,5,4,0,0,1,0,0,1,0,13
2024-03-01 04:40:00,1,1,0,0,0,6,6,2,0,0,0,0,5,1,22
2024-03-01 04:50:00,5,6,0,0,2,7,7,0,0,0,0,0,4,0,31
2024-03-01 05:00:00,3,4,1,1,1,12,10,0,0,1,0,0,3,0,36
2024-03-01 05:10:00,9,7,1,2,3,11,0,5,6,0,0,0,0,0,44
2024-03-01 05:20:00,7,7,1,0,2,18,18,2,0,0,0,0,0,0,55
2024-03-01 05:30:00,15,14,4,1,3,22,16,2,1,1,0,0,3,2,84
2024-03-01 05:40:00,23,18,1,0,1,35,7,1,0,5,0,0,4,2,97
2024-03-01 05:50:00,21,22,6,0,2,32,13,2,0,2,0,0,6,2,108
2024-03-01 06:00:00,17,11,1,0,2,42,21,1,0,6,0,0,0,1,102
2024-03-01 06:10:00,21,20,3,0,6,34,18,1,1,5,1,0,4,2,116
2024-03-01 06:20:00,31,20,2,0,5,40,17,0,0,2,1,0,8,3,129
2024-03-01 06:30:00,15,16,1,1,5,39,18,1,1,8,5,0,4,3,117
2024-03-01 06:40:00,28,15,4,1,4,56,22,1,0,4,2,0,1,0,138
2024-03-01 06:50:00,33,23,2,0,10,52,21,2,0,2,1,0,3,3,152
2024-03-01 07:00:00,32,24,0,0,12,47,13,1,1,9,1,0,0,0,140
2024-03-01 07:10:00,48,29,5,3,5,74,25,2,1,7,1,0,3,2,205
2024-03-01 07:20:00,48,24,3,3,11,57,25,5,2,7,2,0,1,1,189
2024-03-01 07:30:00,70,39,9,1,8,87,12,3,3,11,5,0,4,4,256
2024-03-01 07:40:00,66,38,6,4,20,77,22,7,6,11,4,0,5,6,272
2024-03-01 07:50:00,38,24,3,1,10,88,21,8,5,9,3,0,4,4,218
2024-03-01 08:00:00,64,38,6,3,13,68,21,3,3,13,4,0,1,1,238
2024-03-01 08:10:00,56,32,17,2,15,67,19,4,3,8,2,0,1,1,227
2024-03-01 08:20:00,57,33,7,5,13,71,17,0,0,14,1,0,4,3,225
2024-03-01 08:30:00,38,22,19,6,7,63,21,3,4,10,3,0,3,4,203
2024-03-01 08:40:00,62,27,20,2,12,65,18,3,3,12,4,0,1,1,230
2024-03-01 08:50:00,53,41,4,4,10,63,15,1,1,5,5,0,4,3,209
2024-03-01 09:00:00,41,23,3,3,6,58,20,5,1,10,0,0,4,4,178
2024-03-01 09:10:00,40,34,9,5,11,63,20,1,0,15,1,0,0,2,201
2024-03-01 09:20:00,53,34,20,6,12,47,18,5,4,12,4,0,5,3,223
2024-03-01 09:30:00,63,17,18,2,8,75,12,3,1,8,1,2,6,4,220
2024-03-01 09:40:00,52,11,5,4,10,63,23,3,2,14,2,1,5,4,199
2024-03-01 09:50:00,58,34,3,3,11,71,13,1,1,15,2,0,5,4,221
2024-03-01 10:00:00,74,44,12,7,3,59,14,0,0,10,2,0,0,2,227
2024-03-01 10:10:00,56,33,10,8,12,51,17,1,1,15,3,0,2,1,210
2024-03-01 10:20:00,49,23,6,3,11,48,16,3,3,9,3,0,2,1,177
2024-03-01 10:30:00,48,35,17,11,12,60,17,3,2,6,2,0,1,1,215
2024-03-01 10:40:00,43,27,5,4,12,62,17,0,0,6,2,0,4,1,183
2024-03-01 10:50:00,114,35,11,10,13,60,21,4,4,6,4,0,1,3,286
2024-03-01 11:00:00,50,29,9,5,12,55,17,0,0,8,5,0,3,3,196
2024-03-01 11:10:00,63,32,12,5,7,62,14,5,3,11,4,1,3,4,226
2024-03-01 11:20:00,55,45,14,4,13,51,19,1,1,9,3,0,0,2,217
2024-03-01 11:30:00,77,56,30,11,5,72,20,2,1,7,1,0,3,2,287
2024-03-01 11:40:00,57,42,22,1,8,54,18,2,1,10,3,0,1,2,221
2024-03-01 11:50:00,67,57,20,6,15,44,9,3,2,10,2,1,2,2,240
2024-03-01 12:00:00,91,63,21,7,7,42,17,4,5,9,2,0,4,3,275
2024-03-01 12:10:00,62,33,11,7,12,78,16,2,2,11,4,0,2,3,243
2024-03-01 12:20:00,70,52,19,7,13,80,14,0,0,14,4,0,1,1,275
2024-03-01 12:30:00,72,46,6,1,7,75,20,4,2,11,5,0,3,0,252
2024-03-01 12:40:00,61,40,8,6,15,56,15,2,1,11,4,0,3,2,224
2024-03-01 12:50:00,80,40,10,4,11,53,19,3,2,11,5,0,2,2,242
2024-03-01 13:00:00,81,36,8,3,12,69,19,4,3,10,5,0,4,4,258
2024-03-01 13:10:00,80,36,6,3,5,59,24,5,5,15,6,0,4,3,251
2024-03-01 13:20:00,87,40,5,0,10,78,21,4,3,15,4,0,3,5,275
2024-03-01 13:30:00,88,43,20,5,13,48,21,2,2,11,3,0,3,3,262
2024-03-01 13:40:00,82,51,4,4,10,56,20,4,4,16,4,0,0,2,257
2024-03-01 13:50:00,83,48,7,1,9,58,24,3,2,14,3,1,4,3,260
2024-03-01 14:00:00,60,38,8,7,8,48,22,4,4,9,3,1,4,3,219
2024-03-01 14:10:00,81,38,14,4,10,59,15,1,2,8,4,0,3,2,241
2024-03-01 14:20:00,86,49,9,3,17,79,18,2,1,9,3,0,3,4,283
2024-03-01 14:30:00,121,30,2,2,12,63,16,2,1,7,3,1,1,2,263
2024-03-01 14:40:00,89,43,12,8,13,62,23,4,2,13,3,0,2,3,277
2024-03-01 14:50:00,80,30,6,1,9,70,24,3,2,12,4,1,1,1,244
2024-03-01 15:00:00,64,29,3,3,9,65,23,5,4,13,4,0,2,4,228
2024-03-01 15:10:00,84,29,29,4,11,84,17,3,3,9,3,0,7,4,287
2024-03-01 15:20:00,84,30,11,5,10,73,19,2,2,10,4,0,4,2,256
2024-03-01 15:30:00,73,38,14,9,9,68,17,0,0,14,2,0,4,4,252
2024-03-01 15:40:00,78,30,17,5,10,74,13,1,1,11,4,1,8,9,262
2024-03-01 15:50:00,77,38,5,1,7,63,17,3,2,10,4,1,7,6,241
2024-03-01 16:00:00,79,37,6,4,8,69,23,4,4,11,3,0,1,3,252
2024-03-01 16:10:00,72,34,5,2,11,60,14,1,0,13,4,0,5,7,228
2024-03-01 16:20:00,63,43,8,5,10,79,17,5,2,12,5,0,10,9,268
2024-03-01 16:30:00,66,30,12,4,13,68,17,2,3,10,6,0,0,1,232
2024-03-01 16:40:00,74,34,9,2,12,53,16,1,1,9,1,1,7,8,228
2024-03-01 16:50:00,75,16,7,2,10,84,11,4,5,6,5,0,3,3,231
2024-03-01 17:00:00,59,21,18,6,13,69,16,3,1,7,4,2,5,5,229
2024-03-01 17:10:00,67,29,13,1,10,75,13,1,1,13,6,0,5,4,238
2024-03-01 17:20:00,74,25,6,4,9,58,21,6,6,7,4,0,3,3,226
2024-03-01 17:30:00,78,31,10,4,10,63,16,3,4,14,7,0,8,8,256
2024-03-01 17:40:00,77,21,12,7,12,68,13,4,4,9,2,0,3,4,236
2024-03-01 17:50:00,87,35,16,9,8,60,22,1,1,9,3,0,7,6,264
2024-03-01 18:00:00,60,31,12,3,5,49,24,3,3,9,4,0,1,1,205
2024-03-01 18:10:00,93,25,11,5,8,92,13,5,3,13,3,0,5,4,280
2024-03-01 18:20:00,56,31,5,1,17,48,19,2,2,11,4,0,5,4,205
2024-03-01 18:30:00,90,27,12,3,15,51,17,0,0,19,7,0,0,1,242
2024-03-01 18:40:00,82,29,9,5,7,70,19,3,3,12,3,0,4,8,254
2024-03-01 18:50:00,81,17,7,4,12,57,17,0,0,14,5,0,4,2,220
2024-03-01 19:00:00,66,32,16,3,5,35,16,1,1,11,3,0,1,3,193
2024-03-01 19:10:00,66,32,17,4,12,32,21,1,1,12,4,0,1,3,206
2024-03-01 19:20:00,61,29,15,1,5,49,14,1,1,17,5,0,2,2,202
2024-03-01 19:30:00,50,25,5,5,3,36,18,1,1,7,1,0,2,1,155
2024-03-01 19:40:00,41,24,15,3,6,40,17,4,3,6,0,0,1,1,161
2024-03-01 19:50:00,50,34,12,4,9,41,24,4,1,7,0,0,4,4,194
2024-03-01 20:00:00,39,32,8,4,7,28,16,3,3,3,1,0,2,1,147
2024-03-01 20:10:00,38,30,13,3,3,28,15,2,1,5,2,0,3,5,148
2024-03-01 20:20:00,31,22,0,1,5,29,20,2,3,4,0,0,2,5,124
2024-03-01 20:30:00,43,26,12,3,3,23,14,0,1,4,1,0,2,1,133
2024-03-01 20:40:00,40,27,11,2,5,21,12,1,0,4,2,0,2,0,127
2024-03-01 20:50:00,42,37,17,4,5,29,18,4,2,3,2,0,2,2,167
2024-03-01 21:00:00,26,18,17,2,1,19,13,0,0,5,0,0,0,1,102
2024-03-01 21:10:00,34,16,17,0,3,27,16,1,2,4,2,0,2,1,125
2024-03-01 21:20:00,32,23,2,0,6,19,13,1,1,4,4,0,1,2,108
2024-03-01 21:30:00,30,25,9,2,3,19,13,0,0,6,1,0,1,2,111
2024-03-01 21:40:00,35,24,3,1,3,34,19,0,0,4,3,0,0,0,126
2024-03-01 21:50:00,27,23,5,2,0,29,19,0,0,7,2,0,2,2,118
2024-03-01 22:00:00,46,31,5,3,7,12,11,1,2,3,1,0,2,2,126
2024-03-01 22:10:00,30,20,2,0,2,16,12,1,0,2,0,0,1,0,86
2024-03-01 22:20:00,36,27,7,2,5,16,9,2,0,3,1,0,1,1,110
2024-03-01 22:30:00,41,26,3,1,6,37,22,3,1,1,0,0,5,6,152
2024-03-01 22:40:00,21,19,5,2,2,45,27,1,0,3,0,0,5,6,136
2024-03-01 22:50:00,28,23,2,1,3,19,15,2,1,7,2,0,0,0,103
2024-03-01 23:00:00,26,21,5,0,0,8,4,0,0,6,0,0,1,1,72
2024-03-01 23:10:00,26,16,2,2,4,13,9,0,0,0,1,0,3,2,78
2024-03-01 23:20:00,17,15,2,0,1,8,8,1,0,1,2,0,0,0,55
2024-03-01 23:30:00,23,11,1,0,3,15,11,3,1,3,1,0,1,0,73
2024-03-01 23:40:00,27,20,5,2,0,11,11,1,1,1,1,0,1,1,82
2024-03-01 23:50:00,19,12,6,0,6,12,9,2,2,3,0,0,0,0,71
2024-03-02 00:00:00,22,19,4,2,6,9,8,0,0,3,2,0,1,1,77
2024-03-02 00:10:00,18,17,4,1,1,11,9,0,0,1,1,0,0,0,63
2024-03-02 00:20:00,10,9,5,1,1,13,13,0,0,5,0,0,0,0,57
2024-03-02 00:30:00,27,18,5,1,1,9,8,0,0,1,2,0,0,0,72
2024-03-02 00:40:00,8,8,1,1,1,7,7,1,0,3,0,0,0,0,37
2024-03-02 00:50:00,18,12,3,0,2,2,2,0,0,2,0,0,1,2,44
2024-03-02 01:00:00,11,10,3,3,1,6,7,1,1,0,0,0,0,0,43
2024-03-02 01:10:00,7,7,1,1,2,9,9,1,0,1,0,0,0,0,38
2024-03-02 01:20:00,11,9,6,1,2,4,4,3,0,0,0,0,0,0,40
2024-03-02 01:30:00,5,5,2,0,0,7,7,0,0,1,0,0,0,0,27
2024-03-02 01:40:00,5,4,0,0,0,3,3,0,0,2,0,0,0,0,17
2024-03-02 01:50:00,11,8,2,0,2,5,8,3,2,1,0,0,0,0,42
2024-03-02 02:00:00,2,4,0,0,3,3,3,1,0,0,0,0,0,0,16
2024-03-02 02:10:00,4,2,1,0,0,7,8,2,1,0,0,0,0,1,26
2024-03-02 02:20:00,9,8,3,0,0,7,7,0,0,0,0,0,0,0,34
2024-03-02 02:30:00,4,5,1,1,0,2,3,0,0,2,0,0,0,0,18
2024-03-02 02:40:00,9,4,2,0,1,1,1,2,0,0,0,0,0,0,20
2024-03-02 02:50:00,6,6,9,1,0,2,2,0,0,0,0,0,0,0,26
2024-03-02 03:00:00,5,4,1,1,0,5,5,1,0,1,0,0,0,0,23
2024-03-02 03:10:00,3,2,4,2,1,3,3,0,0,0,0,0,0,0,18
2024-03-02 03:20:00,8,9,2,0,0,1,1,0,0,0,0,0,0,0,21
2024-03-02 03:30:00,1,1,1,1,0,2,2,0,0,0,0,0,0,0,8
2024-03-02 03:40:00,5,4,2,1,1,5,5,0,0,0,1,0,0,0,24
2024-03-02 03:50:00,1,1,0,0,0,1,2,1,2,1,0,0,0,0,9
2024-03-02 04:00:00,5,3,1,0,2,4,4,2,1,0,1,0,0,0,23
2024-03-02 04:10:00,3,2,1,1,0,3,3,1,0,0,0,0,0,0,14
2024-03-02 04:20:00,2,2,12,0,0,4,4,0,0,0,0,0,0,0,24
2024-03-02 04:30:00,3,2,1,0,1,5,4,0,0,0,0,0,0,0,16
2024-03-02 04:40:00,4,3,1,0,2,4,5,1,1,0,0,0,3,0,24
2024-03-02 04:50:00,3,3,4,1,2,6,7,3,1,0,0,0,2,0,32
2024-03-02 05:00:00,4,4,1,0,1,7,6,5,2,0,0,0,4,0,34
2024-03-02 05:10:00,2,2,2,0,0,6,7,2,1,0,0,0,2,0,24
2024-03-02 05:20:00,2,2,7,0,1,4,3,1,0,0,0,0,0,0,20
2024-03-02 05:30:00,3,3,1,0,1,9,9,0,0,0,0,0,0,0,26
2024-03-02 05:40:00,6,7,1,1,0,8,7,2,0,1,0,0,2,0,35
2024-03-02 05:50:00,6,6,2,0,1,5,5,1,1,1,0,0,1,1,30
2024-03-02 06:00:00,6,7,4,0,0,5,4,0,0,0,1,0,0,0,27
2024-03-02 06:10:00,10,9,1,0,0,14,10,0,0,0,0,0,2,0,46
2024-03-02 06:20:00,10,13,0,0,2,5,4,1,1,0,1,0,0,0,37
2024-03-02 06:30:00,7,3,1,0,1,4,5,0,0,0,0,0,0,0,21
2024-03-02 06:40:00,2,1,0,0,3,10,9,0,0,5,0,0,0,0,30
2024-03-02 06:50:00,9,10,2,0,0,11,9,0,0,0,0,0,0,0,41
2024-03-02 07:00:00,11,12,4,0,1,6,6,0,0,3,1,0,0,0,44
2024-03-02 07:10:00,8,7,0,0,0,11,7,1,0,0,0,0,0,0,34
2024-03-02 07:20:00,6,6,2,0,4,6,6,0,0,3,0,0,0,0,33
2024-03-02 07:30:00,9,7,5,0,2,8,8,3,1,2,0,0,0,0,45
2024-03-02 07:40:00,13,11,2,1,4,10,10,1,0,5,0,0,0,0,57
2024-03-02 07:50:00,16,9,9,1,5,14,10,1,0,3,2,0,2,1,73
2024-03-02 08:00:00,11,11,0,0,1,12,12,1,0,1,0,0,0,1,50
2024-03-02 08:10:00,15,12,5,1,1,14,9,2,1,1,0,0,1,1,63
2024-03-02 08:20:00,20,17,1,0,1,23,15,2,1,7,1,0,1,1,90
2024-03-02 08:30:00,20,16,5,3,7,23,16,0,0,4,0,0,1,1,96
2024-03-02 08:40:00,18,19,2,1,5,34,18,0,0,8,1,0,0,1,107
2024-03-02 08:50:00,33,24,5,0,6,40,16,2,1,6,2,0,1,2,138
2024-03-02 09:00:00,29,26,7,5,3,30,18,0,0,8,2,0,1,2,131
2024-03-02 09:10:00,33,25,4,1,5,34,17,2,2,5,1,0,1,1,131
2024-03-02 09:20:00,41,23,8,4,5,38,13,2,3,8,3,0,0,3,151
2024-03-02 09:30:00,24,18,0,0,8,35,13,0,0,7,3,0,2,3,113
2024-03-02 09:40:00,42,29,5,4,4,52,21,2,2,9,3,0,0,0,173
2024-03-02 09:50:00,38,20,11,2,6,54,14,3,1,12,4,0,2,2,169
2024-03-02 10:00:00,40,30,5,2,10,57,17,3,3,11,6,0,3,3,190
2024-03-02 10:10:00,46,27,4,3,11,57,13,3,2,9,3,0,2,1,181
2024-03-02 10:20:00,47,30,6,3,7,67,18,0,0,9,4,0,0,1,192
2024-03-02 10:30:00,46,26,3,3,6,73,14,1,1,6,2,0,1,0,182
2024-03-02 10:40:00,61,45,6,3,8,55,19,1,1,16,4,0,3,3,225
2024-03-02 10:50:00,54,24,7,4,11,59,12,1,1,8,3,1,3,1,189
2024-03-02 11:00:00,52,30,5,5,14,50,13,0,0,9,6,0,0,0,184
2024-03-02 11:10:00,65,34,10,9,7,53,19,2,2,10,3,0,1,2,217
2024-03-02 11:20:00,58,38,9,4,8,42,16,3,3,8,4,0,2,0,195
