datetime,D51Z,V21Z,V22Z,V52Z,V81Z,V82Z,V113Z,V114Z,Total
2024-03-01 01:00:00,1,5,3,0,0,0,0,0,9
2024-03-01 01:10:00,2,3,2,0,3,4,0,0,14
2024-03-01 01:20:00,0,6,5,0,0,5,0,0,16
2024-03-01 01:30:00,2,5,5,0,1,2,0,0,15
2024-03-01 01:40:00,1,1,2,2,0,2,0,0,8
2024-03-01 01:50:00,0,2,2,0,0,1,0,0,5
2024-03-01 02:00:00,0,1,0,0,0,1,0,0,2
2024-03-01 02:10:00,1,5,2,0,0,2,0,0,10
2024-03-01 02:20:00,0,1,2,0,0,1,0,0,4
2024-03-01 02:30:00,0,0,0,0,0,0,0,0,0
2024-03-01 02:40:00,0,0,0,0,2,0,0,0,2
2024-03-01 02:50:00,0,0,0,0,0,2,0,0,2
2024-03-01 03:00:00,1,2,0,2,1,1,0,0,7
2024-03-01 03:10:00,0,3,1,0,0,0,0,0,4
2024-03-01 03:20:00,0,4,5,0,0,3,0,0,12
2024-03-01 03:30:00,1,3,2,2,0,2,0,0,10
2024-03-01 03:40:00,0,2,1,0,1,0,0,0,4
2024-03-01 03:50:00,1,5,4,0,0,3,0,0,13
2024-03-01 04:00:00,0,2,1,0,2,0,0,0,5
2024-03-01 04:10:00,0,1,0,0,0,4,0,0,5
2024-03-01 04:20:00,1,1,3,0,1,2,0,0,8
2024-03-01 04:30:00,1,2,1,0,0,2,0,0,6
2024-03-01 04:40:00,1,1,0,1,0,2,0,0,5
2024-03-01 04:50:00,0,1,0,0,2,0,0,0,3
2024-03-01 05:00:00,0,5,2,0,0,3,0,0,10
2024-03-01 05:10:00,1,5,5,0,1,6,0,0,18
2024-03-01 05:20:00,0,5,5,0,0,8,0,0,18
2024-03-01 05:30:00,1,6,5,0,2,4,0,0,18
2024-03-01 05:40:00,1,9,2,0,2,7,0,0,21
2024-03-01 05:50:00,0,8,3,0,1,8,0,0,20
2024-03-01 06:00:00,1,6,2,0,4,9,0,0,22
2024-03-01 06:10:00,1,13,4,0,7,13,0,0,38
2024-03-01 06:20:00,4,17,6,8,5,16,0,0,56
2024-03-01 06:30:00,3,12,10,4,5,18,0,0,52
2024-03-01 06:40:00,6,17,3,10,6,21,0,0,63
2024-03-01 06:50:00,6,19,6,3,7,30,0,0,71
2024-03-01 07:00:00,11,15,11,10,14,39,0,0,100
2024-03-01 07:10:00,15,23,6,2,16,42,0,0,104
2024-03-01 07:20:00,23,21,15,8,24,45,0,0,136
2024-03-01 07:30:00,20,30,11,13,28,43,0,0,145
2024-03-01 07:40:00,16,35,18,13,22,37,0,0,141
2024-03-01 07:50:00,14,29,13,13,20,26,0,0,115
2024-03-01 08:00:00,22,39,10,13,21,46,0,0,151
2024-03-01 08:10:00,11,39,19,9,10,34,0,0,122
2024-03-01 08:20:00,17,22,12,15,11,37,0,0,114
2024-03-01 08:30:00,13,29,10,12,8,32,0,0,104
2024-03-01 08:40:00,12,32,18,9,6,29,0,0,106
2024-03-01 08:50:00,8,39,15,4,18,38,0,0,122
2024-03-01 09:00:00,14,34,10,11,10,40,0,0,119
2024-03-01 09:10:00,10,35,12,7,5,34,0,0,103
2024-03-01 09:20:00,9,37,13,5,7,40,0,0,111
2024-03-01 09:30:00,11,27,5,8,2,41,0,0,94
2024-03-01 09:40:00,16,29,17,13,16,40,0,0,131
2024-03-01 09:50:00,19,39,17,16,14,38,0,0,143
2024-03-01 10:00:00,8,28,8,5,9,28,0,0,86
2024-03-01 10:10:00,12,41,11,11,5,39,0,0,119
2024-03-01 10:20:00,14,31,6,9,11,41,0,0,112
2024-03-01 10:30:00,9,27,7,5,16,38,0,0,102
2024-03-01 10:40:00,9,35,16,5,33,50,0,0,148
2024-03-01 10:50:00,12,30,9,11,4,43,0,0,109
2024-03-01 11:00:00,6,34,10,6,2,46,0,0,104
2024-03-01 11:10:00,10,49,17,3,5,46,0,0,130
2024-03-01 11:20:00,15,38,16,3,7,52,0,0,131
2024-03-01 11:30:00,14,32,13,11,7,44,0,0,121
2024-03-01 11:40:00,11,44,17,8,11,44,0,0,135
2024-03-01 11:50:00,14,46,15,11,15,46,0,0,147
2024-03-01 12:00:00,20,37,14,8,9,41,0,0,129
2024-03-01 12:10:00,14,38,24,10,5,42,0,0,133
2024-03-01 12:20:00,17,42,16,9,16,43,0,0,143
2024-03-01 12:30:00,21,52,24,20,14,42,0,0,173
2024-03-01 12:40:00,18,40,14,12,9,46,0,0,139
2024-03-01 12:50:00,10,42,17,4,4,43,0,0,120
2024-03-01 13:00:00,12,45,19,8,5,31,0,0,120
2024-03-01 13:10:00,7,38,24,8,8,46,0,0,131
2024-03-01 13:20:00,16,62,28,12,8,42,0,0,168
2024-03-01 13:30:00,14,55,30,6,7,33,0,0,145
2024-03-01 13:40:00,16,38,21,13,4,42,0,0,134
