datetime,D21Z,D22Z,V23Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,Total
2024-03-01 01:00:00,2,0,3,0,0,0,0,0,0,0,5
2024-03-01 01:10:00,5,0,4,0,0,5,0,8,0,0,22
2024-03-01 01:20:00,4,0,6,0,0,4,0,4,0,0,18
2024-03-01 01:30:00,4,0,5,1,2,3,0,4,0,0,19
2024-03-01 01:40:00,2,0,3,0,0,2,0,3,0,0,10
2024-03-01 01:50:00,2,0,2,0,0,2,0,3,0,0,9
2024-03-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:10:00,4,0,5,1,2,1,0,2,0,0,15
2024-03-01 02:20:00,1,0,1,0,0,1,0,1,0,0,4
2024-03-01 02:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:40:00,0,0,0,0,0,1,0,0,0,0,1
2024-03-01 02:50:00,0,0,0,0,0,3,0,4,0,0,7
2024-03-01 03:00:00,3,0,4,1,1,1,0,1,0,0,11
2024-03-01 03:10:00,2,0,2,0,0,0,0,0,0,0,4
2024-03-01 03:20:00,4,0,4,2,4,2,0,3,0,0,19
2024-03-01 03:30:00,3,0,5,0,0,1,0,0,0,0,9
2024-03-01 03:40:00,1,0,1,0,0,1,0,2,0,0,5
2024-03-01 03:50:00,2,0,3,0,0,1,0,1,0,0,7
2024-03-01 04:00:00,2,0,4,2,1,0,0,0,0,0,9
2024-03-01 04:10:00,1,0,2,0,0,3,0,6,0,0,12
2024-03-01 04:20:00,1,0,1,0,0,2,0,3,0,0,7
2024-03-01 04:30:00,0,0,0,0,0,4,0,5,0,0,9
2024-03-01 04:40:00,3,0,2,0,2,3,0,4,0,0,14
2024-03-01 04:50:00,1,0,1,0,0,0,0,0,0,0,2
2024-03-01 05:00:00,3,0,4,0,0,4,0,6,0,0,17
2024-03-01 05:10:00,5,0,6,2,4,8,0,10,0,0,35
2024-03-01 05:20:00,5,0,6,2,2,7,0,9,0,0,31
2024-03-01 05:30:00,7,0,10,0,0,6,0,7,0,0,30
2024-03-01 05:40:00,7,0,8,3,6,7,0,11,0,0,42
2024-03-01 05:50:00,7,0,10,2,3,9,0,12,0,0,43
2024-03-01 06:00:00,5,0,6,5,6,9,0,10,0,0,41
2024-03-01 06:10:00,9,0,10,4,6,14,0,21,0,0,64
2024-03-01 06:20:00,12,0,20,8,10,10,0,18,0,0,78
2024-03-01 06:30:00,11,0,13,5,6,14,0,24,0,0,73
2024-03-01 06:40:00,23,0,23,6,9,20,0,30,0,0,111
2024-03-01 06:50:00,22,0,26,12,13,36,0,51,0,1,161
2024-03-01 07:00:00,21,0,21,12,9,43,0,43,1,3,153
2024-03-01 07:10:00,28,0,19,19,13,64,0,46,0,4,193
2024-03-01 07:20:00,37,0,21,20,17,66,0,41,1,0,203
2024-03-01 07:30:00,67,0,34,15,11,53,0,37,2,0,219
2024-03-01 07:40:00,39,0,30,22,12,57,0,36,0,9,205
2024-03-01 07:50:00,55,0,33,18,13,66,0,51,1,1,238
2024-03-01 08:00:00,61,0,39,21,11,55,0,35,0,3,225
2024-03-01 08:10:00,52,0,41,20,11,41,0,28,2,4,199
2024-03-01 08:20:00,40,0,30,22,11,45,0,26,0,0,174
2024-03-01 08:30:00,42,0,28,18,13,45,0,35,1,1,183
2024-03-01 08:40:00,49,0,33,20,9,44,0,38,0,3,196
2024-03-01 08:50:00,49,0,36,19,14,48,0,39,0,4,209
2024-03-01 09:00:00,46,0,34,18,11,42,0,34,0,1,186
2024-03-01 09:10:00,63,0,41,16,10,42,0,30,3,5,210
2024-03-01 09:20:00,43,0,35,15,12,42,0,34,2,0,183
2024-03-01 09:30:00,52,0,34,28,16,46,0,41,1,0,218
2024-03-01 09:40:00,33,0,33,19,7,60,0,41,0,0,193
2024-03-01 09:50:00,60,0,37,26,16,54,0,34,1,1,229
2024-03-01 10:00:00,42,0,33,18,14,42,0,27,1,0,177
2024-03-01 10:10:00,48,0,35,27,8,50,0,39,0,0,207
2024-03-01 10:20:00,55,0,38,24,16,55,0,30,1,1,220
2024-03-01 10:30:00,43,0,33,27,17,59,0,36,0,1,216
2024-03-01 10:40:00,52,0,29,43,12,48,0,36,0,0,220
2024-03-01 10:50:00,46,0,30,14,17,53,0,38,0,1,199
2024-03-01 11:00:00,57,0,36,23,15,50,0,35,0,1,217
2024-03-01 11:10:00,60,0,33,24,14,52,0,45,0,0,228
2024-03-01 11:20:00,52,0,36,9,8,59,0,51,1,0,216
2024-03-01 11:30:00,52,0,33,18,8,52,0,40,2,0,205
2024-03-01 11:40:00,74,0,43,23,18,49,0,40,3,1,251
2024-03-01 11:50:00,64,0,52,19,14,66,0,50,0,1,266
2024-03-01 12:00:00,70,0,49,23,15,50,0,36,0,2,245
2024-03-01 12:10:00,68,0,43,21,14,47,0,37,0,0,230
2024-03-01 12:20:00,62,0,37,21,14,75,0,46,1,1,257
2024-03-01 12:30:00,74,0,47,18,11,51,0,39,1,6,247
2024-03-01 12:40:00,51,0,36,21,16,67,0,60,5,0,256
2024-03-01 12:50:00,58,0,35,18,14,61,0,45,1,2,234
2024-03-01 13:00:00,72,0,54,17,13,50,0,39,0,2,247
2024-03-01 13:10:00,63,0,49,21,10,59,0,48,0,0,250
2024-03-01 13:20:00,90,0,56,30,16,63,0,35,2,0,292
2024-03-01 13:30:00,77,0,55,20,12,50,0,36,0,0,250
2024-03-01 13:40:00,77,0,41,25,17,66,0,49,8,2,285
2024-03-01 13:50:00,92,0,59,21,11,58,0,36,0,4,281
2024-03-01 14:00:00,58,0,43,23,16,46,0,33,3,1,223
2024-03-01 14:10:00,75,0,43,19,17,59,0,35,1,1,250
2024-03-01 14:20:00,61,0,43,15,13,74,0,40,3,1,250
2024-03-01 14:30:00,59,0,43,15,10,50,0,42,1,2,222
2024-03-01 14:40:00,69,0,39,20,14,57,0,39,1,2,241
2024-03-01 14:50:00,81,0,56,21,19,49,0,27,1,0,254
2024-03-01 15:00:00,64,0,37,19,11,60,0,42,3,0,236
2024-03-01 15:10:00,75,0,41,21,19,44,0,32,0,1,233
2024-03-01 15:20:00,77,0,56,21,13,46,0,29,2,5,249
2024-03-01 15:30:00,61,0,44,23,13,47,0,37,2,3,230
