datetime,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D211Z,D212Z,V213Z,V214Z,D811Z,D812Z,V813Z,V814Z,Total
2024-03-01 01:00:00,1,6,9,1,0,0,3,1,0,0,0,0,6,4,6,2,0,0,10,3,0,1,0,1,54
2024-03-01 01:10:00,4,6,7,8,0,0,3,3,0,3,0,4,3,3,4,3,0,0,5,4,0,2,0,2,64
2024-03-01 01:20:00,1,1,1,1,0,0,2,2,0,1,0,2,3,2,3,2,0,0,4,0,0,1,0,1,27
2024-03-01 01:30:00,3,3,4,3,0,0,1,2,0,2,0,1,1,1,1,1,0,0,1,0,0,0,0,0,24
2024-03-01 01:40:00,1,2,2,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,2,2,1,0,1,0,18
2024-03-01 01:50:00,3,2,2,5,0,0,1,1,0,0,0,1,0,2,0,2,0,0,0,2,0,0,0,0,21
2024-03-01 02:00:00,1,1,3,2,0,0,0,2,0,1,0,0,1,1,2,1,0,0,3,0,0,2,0,3,23
2024-03-01 02:10:00,1,1,1,2,0,0,1,1,0,0,0,0,2,3,2,0,0,0,2,0,1,0,1,0,18
2024-03-01 02:20:00,2,4,5,0,0,0,3,2,0,0,0,0,2,2,2,0,0,0,3,0,0,0,0,0,25
2024-03-01 02:30:00,1,2,1,1,0,0,1,1,0,0,0,0,2,1,2,1,0,0,3,0,0,0,0,0,16
2024-03-01 02:40:00,0,3,5,0,0,0,3,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,17
2024-03-01 02:50:00,2,3,2,2,0,0,1,0,0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,18
2024-03-01 03:00:00,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,9
2024-03-01 03:10:00,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5
2024-03-01 03:20:00,1,2,1,1,0,0,1,1,0,1,0,3,1,1,1,1,0,0,2,1,1,0,1,0,20
2024-03-01 03:30:00,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,2,0,1,0,2,16
2024-03-01 03:40:00,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,3,1,0,1,0,1,13
2024-03-01 03:50:00,0,3,8,0,0,0,7,0,0,3,0,2,2,1,1,1,0,0,4,0,0,2,0,2,36
2024-03-01 04:00:00,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,0,0,2,2,1,0,1,0,20
2024-03-01 04:10:00,3,3,3,3,0,0,2,5,0,1,0,1,3,0,2,0,0,0,3,1,0,1,0,1,32
2024-03-01 04:20:00,4,4,5,3,0,0,2,3,0,0,0,0,6,2,5,1,0,0,5,1,0,1,0,1,43
2024-03-01 04:30:00,3,3,5,3,0,0,4,2,0,1,0,1,5,6,5,5,0,0,9,7,1,2,1,2,65
2024-03-01 04:40:00,4,2,2,2,0,0,1,2,0,1,0,1,2,3,2,1,0,0,2,4,3,2,3,2,39
2024-03-01 04:50:00,3,7,8,0,0,0,4,1,0,2,0,2,2,5,2,5,0,0,5,9,0,4,0,3,62
2024-03-01 05:00:00,6,6,11,0,0,0,6,1,0,1,0,1,6,12,7,14,0,0,12,16,2,6,2,8,117
2024-03-01 05:10:00,5,10,18,3,0,0,9,3,0,1,0,2,9,10,9,11,0,0,10,13,4,4,3,5,129
2024-03-01 05:20:00,2,6,12,4,0,0,6,1,0,2,0,3,18,17,16,12,0,0,18,15,2,3,2,3,142
2024-03-01 05:30:00,4,7,15,8,0,0,6,4,0,5,0,9,21,27,23,24,0,0,26,27,6,12,7,12,243
2024-03-01 05:40:00,11,20,37,12,0,0,20,11,0,4,0,6,25,24,28,18,0,0,23,23,7,8,7,9,293
2024-03-01 05:50:00,8,20,25,12,0,0,16,11,1,6,2,11,31,29,21,31,0,0,33,44,7,10,6,14,338
2024-03-01 06:00:00,10,14,17,15,0,0,12,11,0,6,0,8,22,14,20,14,0,0,24,15,9,9,10,8,238
2024-03-01 06:10:00,17,26,31,26,0,0,20,14,1,13,1,14,27,25,26,18,0,0,26,21,5,15,5,17,348
2024-03-01 06:20:00,20,14,18,20,0,0,14,12,1,6,1,9,34,29,26,21,0,0,28,27,5,4,4,6,299
2024-03-01 06:30:00,20,30,26,21,0,0,20,20,2,7,3,7,34,34,24,22,0,0,26,27,5,8,4,9,349
2024-03-01 06:40:00,26,29,28,20,0,0,25,20,1,12,2,9,51,42,31,23,0,0,33,31,9,16,13,18,439
2024-03-01 06:50:00,23,34,49,31,0,0,36,20,0,15,0,9,40,36,31,24,0,0,36,23,12,13,12,12,456
2024-03-01 07:00:00,25,32,21,19,0,0,28,19,0,10,0,9,48,34,33,30,0,0,32,30,16,15,20,12,433
2024-03-01 07:10:00,34,53,27,12,0,0,40,25,2,18,2,8,66,38,31,22,0,0,45,38,20,25,11,20,537
2024-03-01 07:20:00,39,50,31,32,0,0,44,31,4,24,5,13,61,35,26,24,0,0,50,34,23,27,38,20,611
2024-03-01 07:30:00,35,58,32,22,0,0,42,22,1,20,2,10,78,49,44,36,0,0,66,53,16,36,11,21,654
2024-03-01 07:40:00,30,67,31,25,0,0,47,23,5,33,4,12,80,43,28,26,0,0,56,41,26,34,18,25,654
2024-03-01 07:50:00,40,51,37,27,0,0,36,29,3,28,2,13,87,57,44,35,0,0,69,36,18,24,8,18,662
2024-03-01 08:00:00,35,48,31,19,0,0,37,21,2,31,1,13,67,44,34,32,0,0,55,35,21,25,16,31,598
2024-03-01 08:10:00,29,57,20,20,0,0,43,20,3,24,2,12,72,37,49,26,0,0,61,29,22,26,16,17,585
2024-03-01 08:20:00,26,40,25,19,0,0,23,14,2,20,6,10,66,41,35,21,0,0,55,29,20,21,11,18,502
2024-03-01 08:30:00,25,52,39,14,0,0,30,17,0,16,0,8,65,51,36,27,0,0,54,35,11,26,9,17,532
2024-03-01 08:40:00,26,44,28,16,0,0,33,20,2,16,2,11,73,34,43,25,0,0,63,27,24,31,14,15,547
2024-03-01 08:50:00,24,40,25,12,0,0,29,13,1,19,2,13,62,32,31,22,0,0,46,31,29,31,17,19,498
2024-03-01 09:00:00,26,34,29,18,0,0,27,14,0,15,0,6,66,30,40,26,0,0,58,28,11,12,10,10,460
