datetime,V22Z,V51Z,V52Z,V83Z,V111Z,V112Z,Total
2024-03-01 01:00:00,2,0,0,3,0,0,5
2024-03-01 01:10:00,1,0,0,8,0,0,9
2024-03-01 01:20:00,2,0,1,3,0,0,6
2024-03-01 01:30:00,0,0,2,3,0,0,5
2024-03-01 01:40:00,0,1,2,7,0,0,10
2024-03-01 01:50:00,1,0,0,5,0,0,6
2024-03-01 02:00:00,0,0,0,2,0,0,2
2024-03-01 02:10:00,0,0,1,2,0,0,3
2024-03-01 02:20:00,0,1,0,5,0,0,6
2024-03-01 02:30:00,0,0,1,3,0,0,4
2024-03-01 02:40:00,0,0,0,1,0,0,1
2024-03-01 02:50:00,1,0,1,2,0,0,4
2024-03-01 03:00:00,0,0,0,4,0,0,4
2024-03-01 03:10:00,0,0,0,0,0,0,0
2024-03-01 03:20:00,0,0,0,3,0,0,3
2024-03-01 03:30:00,0,0,2,3,0,0,5
2024-03-01 03:40:00,0,0,0,6,0,0,6
2024-03-01 03:50:00,2,0,0,0,0,0,2
2024-03-01 04:00:00,0,2,0,4,0,0,6
2024-03-01 04:10:00,0,3,0,7,0,0,10
2024-03-01 04:20:00,1,0,1,1,0,0,3
2024-03-01 04:30:00,0,0,1,2,0,0,3
2024-03-01 04:40:00,2,1,3,6,0,0,12
2024-03-01 04:50:00,0,2,2,4,0,0,8
2024-03-01 05:00:00,0,3,0,8,0,0,11
2024-03-01 05:10:00,1,4,3,12,0,0,20
2024-03-01 05:20:00,2,2,3,18,0,1,26
2024-03-01 05:30:00,1,10,1,20,0,0,32
2024-03-01 05:40:00,7,9,3,21,0,1,41
2024-03-01 05:50:00,4,7,7,17,0,0,35
2024-03-01 06:00:00,6,0,7,18,0,0,31
2024-03-01 06:10:00,3,9,5,16,0,0,33
2024-03-01 06:20:00,7,9,3,20,0,0,39
2024-03-01 06:30:00,6,8,8,18,0,1,41
2024-03-01 06:40:00,7,9,5,17,0,0,38
2024-03-01 06:50:00,5,7,7,17,0,1,37
2024-03-01 07:00:00,10,6,5,13,0,3,37
2024-03-01 07:10:00,12,9,12,17,0,3,53
2024-03-01 07:20:00,10,13,9,14,0,3,49
2024-03-01 07:30:00,16,16,17,11,3,6,69
2024-03-01 07:40:00,18,23,13,13,0,4,71
2024-03-01 07:50:00,13,20,7,11,0,1,52
2024-03-01 08:00:00,11,15,13,12,0,1,52
2024-03-01 08:10:00,16,19,6,17,0,1,59
2024-03-01 08:20:00,17,19,16,15,0,3,70
2024-03-01 08:30:00,8,13,10,17,0,2,50
2024-03-01 08:40:00,10,16,6,22,1,2,57
2024-03-01 08:50:00,11,10,10,9,0,3,43
2024-03-01 09:00:00,11,13,9,12,0,3,48
2024-03-01 09:10:00,13,16,7,26,0,2,64
2024-03-01 09:20:00,14,19,10,19,1,2,65
2024-03-01 09:30:00,16,10,11,29,1,4,71
2024-03-01 09:40:00,7,20,13,10,0,1,51
2024-03-01 09:50:00,16,12,16,11,0,5,60
2024-03-01 10:00:00,15,11,9,18,0,0,53
2024-03-01 10:10:00,18,17,12,24,0,1,72
2024-03-01 10:20:00,15,9,16,5,0,7,52
2024-03-01 10:30:00,12,16,9,0,0,2,39
2024-03-01 10:40:00,6,16,9,14,3,1,49
2024-03-01 10:50:00,10,14,14,11,0,3,52
2024-03-01 11:00:00,14,13,16,18,4,2,67
2024-03-01 11:10:00,8,8,15,16,0,2,49
2024-03-01 11:20:00,14,11,12,21,1,1,60
2024-03-01 11:30:00,13,7,11,20,1,4,56
2024-03-01 11:40:00,5,20,17,8,0,2,52
2024-03-01 11:50:00,31,10,12,5,0,2,60
2024-03-01 12:00:00,13,16,12,7,1,3,52
2024-03-01 12:10:00,16,19,14,6,0,1,56
2024-03-01 12:20:00,8,17,13,8,0,3,49
2024-03-01 12:30:00,14,13,20,5,6,4,62
2024-03-01 12:40:00,16,18,15,5,0,5,59
2024-03-01 12:50:00,11,13,13,1,0,8,46
2024-03-01 13:00:00,10,13,14,12,1,3,53
2024-03-01 13:10:00,0,8,1,9,7,3,28
2024-03-01 13:20:00,10,19,11,15,1,8,64
2024-03-01 13:30:00,9,6,10,18,2,6,51
2024-03-01 13:40:00,16,11,9,12,0,5,53
2024-03-01 13:50:00,14,14,14,6,1,2,51
2024-03-01 14:00:00,12,11,16,19,0,3,61
2024-03-01 14:10:00,11,16,10,16,1,3,57
2024-03-01 14:20:00,15,11,11,18,1,4,60
2024-03-01 14:30:00,9,11,10,19,0,1,50
2024-03-01 14:40:00,14,15,12,8,2,2,53
2024-03-01 14:50:00,15,15,8,22,3,7,70
2024-03-01 15:00:00,19,15,11,22,0,3,70
2024-03-01 15:10:00,14,12,9,18,0,3,56
2024-03-01 15:20:00,9,13,7,16,1,3,49
2024-03-01 15:30:00,7,7,10,25,0,1,50
2024-03-01 15:40:00,12,10,11,24,2,2,61
2024-03-01 15:50:00,14,13,11,19,0,1,58
2024-03-01 16:00:00,7,7,4,11,1,2,32
2024-03-01 16:10:00,8,18,5,20,1,6,58
2024-03-01 16:20:00,10,14,11,30,0,2,67
2024-03-01 16:30:00,9,9,14,16,1,3,52
