datetime,D23Z,V24Z,D81Z,D82Z,D83Z,V84Z,Total
2024-03-01 01:00:00,3,2,14,2,2,2,25
2024-03-01 01:10:00,4,4,13,4,2,3,30
2024-03-01 01:20:00,0,0,17,1,1,1,20
2024-03-01 01:30:00,1,1,18,2,3,2,27
2024-03-01 01:40:00,2,1,9,3,4,6,25
2024-03-01 01:50:00,2,2,5,3,3,2,17
2024-03-01 02:00:00,1,1,7,3,3,3,18
2024-03-01 02:10:00,2,2,6,2,1,1,14
2024-03-01 02:20:00,1,1,1,1,2,1,7
2024-03-01 02:30:00,1,0,4,3,3,3,14
2024-03-01 02:40:00,2,2,4,1,0,1,10
2024-03-01 02:50:00,2,1,2,2,2,3,12
2024-03-01 03:00:00,1,1,3,2,2,2,11
2024-03-01 03:10:00,0,0,1,0,1,0,2
2024-03-01 03:20:00,2,2,5,2,1,2,14
2024-03-01 03:30:00,0,0,7,0,0,0,7
2024-03-01 03:40:00,4,4,2,1,1,1,13
2024-03-01 03:50:00,1,1,2,0,1,0,5
2024-03-01 04:00:00,0,0,0,1,1,1,3
2024-03-01 04:10:00,1,0,0,2,2,2,7
2024-03-01 04:20:00,3,4,0,4,3,2,16
2024-03-01 04:30:00,6,5,1,6,6,7,31
2024-03-01 04:40:00,3,2,0,4,4,4,17
2024-03-01 04:50:00,5,4,3,4,4,4,24
2024-03-01 05:00:00,7,3,1,9,9,6,35
2024-03-01 05:10:00,8,5,7,6,6,7,39
2024-03-01 05:20:00,7,6,5,5,5,7,35
2024-03-01 05:30:00,10,7,11,15,15,13,71
2024-03-01 05:40:00,11,11,10,20,20,14,86
2024-03-01 05:50:00,13,9,21,25,24,18,110
2024-03-01 06:00:00,10,5,9,16,16,17,73
2024-03-01 06:10:00,20,12,27,29,32,16,136
2024-03-01 06:20:00,18,11,30,25,23,24,131
2024-03-01 06:30:00,14,10,6,21,17,17,85
2024-03-01 06:40:00,21,17,11,26,26,21,122
2024-03-01 06:50:00,26,16,11,33,33,27,146
2024-03-01 07:00:00,15,12,9,32,32,19,119
2024-03-01 07:10:00,23,17,12,46,46,21,165
2024-03-01 07:20:00,36,17,33,47,45,29,207
2024-03-01 07:30:00,54,19,27,52,53,25,230
2024-03-01 07:40:00,38,22,110,58,66,26,320
2024-03-01 07:50:00,41,26,142,67,60,29,365
2024-03-01 08:00:00,47,17,83,43,42,22,254
2024-03-01 08:10:00,35,23,77,49,49,27,260
2024-03-01 08:20:00,26,20,43,47,45,29,210
2024-03-01 08:30:00,35,16,30,38,39,26,184
2024-03-01 08:40:00,58,25,35,57,56,30,261
2024-03-01 08:50:00,33,18,26,55,51,28,211
2024-03-01 09:00:00,36,25,16,42,41,32,192
2024-03-01 09:10:00,27,20,21,38,37,25,168
2024-03-01 09:20:00,28,15,13,41,39,30,166
2024-03-01 09:30:00,35,19,33,51,48,24,210
2024-03-01 09:40:00,39,24,46,55,56,27,247
2024-03-01 09:50:00,37,21,26,41,35,23,183
2024-03-01 10:00:00,39,29,44,45,42,23,222
2024-03-01 10:10:00,45,23,39,35,32,20,194
2024-03-01 10:20:00,36,20,40,46,30,28,200
2024-03-01 10:30:00,39,17,37,36,38,30,197
2024-03-01 10:40:00,44,23,34,42,44,35,222
2024-03-01 10:50:00,41,28,24,39,38,29,199
2024-03-01 11:00:00,36,21,20,41,38,31,187
2024-03-01 11:10:00,40,24,28,45,52,26,215
2024-03-01 11:20:00,34,23,18,34,30,24,163
2024-03-01 11:30:00,46,22,28,46,46,29,217
2024-03-01 11:40:00,48,27,25,42,38,30,210
2024-03-01 11:50:00,47,26,34,45,44,29,225
2024-03-01 12:00:00,38,30,23,34,34,24,183
2024-03-01 12:10:00,53,30,28,51,49,30,241
2024-03-01 12:20:00,27,17,30,49,53,39,215
2024-03-01 12:30:00,55,24,29,43,41,22,214
2024-03-01 12:40:00,50,28,25,42,40,28,213
2024-03-01 12:50:00,49,19,26,36,34,27,191
2024-03-01 13:00:00,56,33,31,46,41,32,239
2024-03-01 13:10:00,33,14,16,21,14,12,110
2024-03-01 13:20:00,60,26,19,44,41,22,212
2024-03-01 13:30:00,53,30,20,49,49,29,230
2024-03-01 13:40:00,36,24,7,27,24,17,135
2024-03-01 13:50:00,41,26,29,45,43,28,212
2024-03-01 14:00:00,48,25,28,35,35,21,192
2024-03-01 14:10:00,45,28,12,28,30,24,167
2024-03-01 14:20:00,45,20,42,49,44,27,227
2024-03-01 14:30:00,67,31,43,45,50,23,259
2024-03-01 14:40:00,45,24,41,55,50,33,248
2024-03-01 14:50:00,60,35,39,51,49,34,268
2024-03-01 15:00:00,73,23,48,51,50,30,275
2024-03-01 15:10:00,60,33,50,59,56,36,294
2024-03-01 15:20:00,45,31,30,55,53,29,243
2024-03-01 15:30:00,59,21,26,61,59,33,259
2024-03-01 15:40:00,57,27,27,54,55,34,254
2024-03-01 15:50:00,52,18,20,31,24,18,163
2024-03-01 16:00:00,41,19,26,46,48,27,207
2024-03-01 16:10:00,60,31,38,40,38,33,240
2024-03-01 16:20:00,56,21,24,37,37,29,204
2024-03-01 16:30:00,56,23,39,43,45,30,236
2024-03-01 16:40:00,57,31,26,38,35,25,212
2024-03-01 16:50:00,48,20,26,43,43,31,211
2024-03-01 17:00:00,48,23,46,46,47,33,243
2024-03-01 17:10:00,42,24,34,54,53,35,242
2024-03-01 17:20:00,44,19,22,37,36,25,183
2024-03-01 17:30:00,50,31,16,33,34,26,190
2024-03-01 17:40:00,50,30,24,45,47,28,224
2024-03-01 17:50:00,49,30,20,43,43,33,218
2024-03-01 18:00:00,52,29,18,41,38,30,208
2024-03-01 18:10:00,32,25,21,36,35,24,173
2024-03-01 18:20:00,54,25,25,52,52,25,233
