datetime,V51Z,V52Z,D53Z,D81Z,D82Z,V83Z,V84Z,D85Z,V111Z,V112Z,V113Z,V114Z,D115Z,D116Z,V921Z,V981Z,V54Z,Total
2024-03-01 01:00:00,3,2,3,4,0,2,1,1,1,0,2,4,7,5,4,8,0,47
2024-03-01 01:10:00,2,3,2,4,0,1,2,2,2,0,3,7,3,7,4,12,0,54
2024-03-01 01:20:00,1,1,1,3,0,0,1,0,1,0,0,3,0,4,0,3,0,18
2024-03-01 01:30:00,2,2,2,3,0,0,2,0,2,0,2,7,2,8,4,10,0,46
2024-03-01 01:40:00,2,2,3,5,0,1,3,0,3,0,1,4,2,5,1,11,0,43
2024-03-01 01:50:00,3,1,2,5,0,0,4,0,4,0,0,4,0,6,0,7,0,36
2024-03-01 02:00:00,2,2,2,3,0,1,2,0,2,0,2,5,2,6,2,7,0,38
2024-03-01 02:10:00,2,2,2,3,0,0,2,0,1,0,2,1,2,4,2,4,0,27
2024-03-01 02:20:00,4,2,3,4,0,0,1,0,1,0,0,2,0,5,0,6,0,28
2024-03-01 02:30:00,2,3,2,4,0,0,2,0,2,0,0,3,1,3,1,3,0,26
2024-03-01 02:40:00,1,1,1,1,0,1,1,0,1,0,1,2,0,2,0,4,0,16
2024-03-01 02:50:00,3,4,3,5,0,0,2,0,2,0,0,0,0,1,0,0,0,20
2024-03-01 03:00:00,2,2,2,4,0,0,2,0,2,0,1,3,1,3,1,6,0,29
2024-03-01 03:10:00,1,1,1,1,0,0,0,0,0,0,0,4,0,5,0,7,0,20
2024-03-01 03:20:00,4,5,4,4,0,0,0,0,0,0,0,7,0,17,0,10,0,51
2024-03-01 03:30:00,4,3,5,6,0,0,0,0,0,0,0,2,0,4,0,5,0,29
2024-03-01 03:40:00,5,3,4,4,0,0,0,0,0,0,2,1,2,1,2,6,0,30
2024-03-01 03:50:00,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,10
2024-03-01 04:00:00,10,6,7,8,0,0,0,0,0,0,0,3,0,5,0,5,0,44
2024-03-01 04:10:00,8,9,8,10,0,0,2,0,3,0,0,5,0,5,0,5,0,55
2024-03-01 04:20:00,9,8,12,10,0,1,1,0,1,0,2,6,2,6,3,12,0,73
2024-03-01 04:30:00,5,6,7,9,0,2,5,1,5,0,2,2,2,3,3,6,0,58
2024-03-01 04:40:00,18,12,20,24,0,0,4,0,4,0,1,4,1,12,1,9,0,110
2024-03-01 04:50:00,13,13,23,24,0,0,3,0,4,0,2,5,2,11,2,9,0,111
2024-03-01 05:00:00,19,17,42,48,0,0,8,0,7,0,2,3,2,10,6,10,0,174
2024-03-01 05:10:00,18,19,47,53,0,2,6,0,6,0,4,10,3,13,5,8,0,194
2024-03-01 05:20:00,25,18,66,71,0,0,7,0,10,0,4,9,5,19,7,17,0,258
2024-03-01 05:30:00,13,13,75,90,0,1,20,2,17,0,8,12,10,18,14,14,0,307
2024-03-01 05:40:00,12,12,99,110,0,0,18,0,14,0,10,15,10,25,15,23,0,363
2024-03-01 05:50:00,12,16,93,110,0,1,23,1,19,0,7,7,9,13,13,16,0,340
2024-03-01 06:00:00,11,9,101,108,0,3,13,2,5,0,7,10,9,22,8,14,0,322
2024-03-01 06:10:00,9,16,99,127,0,6,26,4,16,0,12,15,14,30,15,35,0,424
2024-03-01 06:20:00,8,4,76,89,0,8,24,6,22,0,13,21,16,39,22,14,0,362
2024-03-01 06:30:00,10,17,116,134,0,6,26,1,18,0,9,22,9,40,12,35,0,455
2024-03-01 06:40:00,7,23,101,112,0,5,23,7,25,0,13,22,16,40,12,27,0,433
2024-03-01 06:50:00,5,27,124,142,0,3,35,0,13,0,10,24,22,37,23,29,0,494
2024-03-01 07:00:00,4,26,99,122,1,16,22,6,15,0,8,22,8,29,8,18,0,404
2024-03-01 07:10:00,4,33,90,136,2,3,44,3,15,0,17,42,18,66,17,20,0,510
2024-03-01 07:20:00,5,31,98,125,0,12,36,7,13,0,22,43,24,53,18,15,0,502
2024-03-01 07:30:00,3,42,110,149,0,20,45,16,19,0,27,54,34,73,24,24,0,640
2024-03-01 07:40:00,2,45,110,149,1,19,42,16,10,0,23,48,19,63,15,20,0,582
2024-03-01 07:50:00,1,25,60,107,2,33,49,21,7,0,20,41,28,55,19,28,0,496
2024-03-01 08:00:00,1,39,102,145,0,8,41,7,16,0,34,41,38,56,36,28,0,592
2024-03-01 08:10:00,13,27,79,116,0,20,44,9,15,0,27,45,23,64,3,24,0,509
2024-03-01 08:20:00,1,29,76,116,4,7,46,7,12,0,25,54,27,77,0,17,0,498
