datetime,D11Z,D12Z,D13Z,D21Z,D22Z,D31Z,D32Z,D41Z,D42Z,Total
2024-03-01 01:00:00,0,4,5,4,6,0,5,0,2,26
2024-03-01 01:10:00,0,0,3,3,10,0,2,0,5,23
2024-03-01 01:20:00,0,1,3,7,6,0,2,0,4,23
2024-03-01 01:30:00,1,0,3,3,4,0,1,0,3,15
2024-03-01 01:40:00,0,2,4,3,4,0,2,0,4,19
2024-03-01 01:50:00,0,1,3,4,8,0,1,0,6,23
2024-03-01 02:00:00,0,1,2,1,3,0,1,0,6,14
2024-03-01 02:10:00,0,0,2,4,4,0,2,0,2,14
2024-03-01 02:20:00,0,2,3,5,4,0,3,0,3,20
2024-03-01 02:30:00,0,2,2,2,0,0,0,0,1,7
2024-03-01 02:40:00,0,2,1,1,1,0,3,0,2,10
2024-03-01 02:50:00,0,2,3,5,5,0,0,0,0,15
2024-03-01 03:00:00,0,2,0,3,2,0,0,0,1,8
2024-03-01 03:10:00,1,1,1,1,4,0,1,0,4,13
2024-03-01 03:20:00,0,1,2,5,5,0,0,0,5,18
2024-03-01 03:30:00,1,1,1,6,2,0,2,0,0,13
2024-03-01 03:40:00,0,0,0,3,3,0,0,0,2,8
2024-03-01 03:50:00,0,2,3,5,6,0,2,0,2,20
2024-03-01 04:00:00,2,3,3,7,6,0,1,0,1,23
2024-03-01 04:10:00,0,3,1,10,8,0,1,0,6,29
2024-03-01 04:20:00,0,8,4,12,8,0,2,0,4,38
2024-03-01 04:30:00,1,2,5,5,4,0,3,0,4,24
2024-03-01 04:40:00,0,3,4,22,10,0,3,0,1,43
2024-03-01 04:50:00,0,4,3,24,13,0,3,0,8,55
2024-03-01 05:00:00,2,1,2,42,18,0,2,0,3,70
2024-03-01 05:10:00,3,4,4,51,27,0,6,0,9,104
2024-03-01 05:20:00,2,9,13,74,31,0,8,0,5,142
2024-03-01 05:30:00,0,7,10,87,21,0,3,0,1,129
2024-03-01 05:40:00,4,8,9,110,25,0,8,0,8,172
