datetime,D21Z,V22Z,D51Z,V52Z,V53Z,D81Z,V82Z,D111Z,V112Z,V113Z,Total
2024-03-01 01:00:00,0,0,4,5,0,0,0,10,6,6,31
2024-03-01 01:10:00,2,1,4,7,0,1,0,8,8,5,36
2024-03-01 01:20:00,1,1,6,7,1,0,0,5,7,1,29
2024-03-01 01:30:00,1,0,5,7,0,1,2,5,5,3,29
2024-03-01 01:40:00,1,2,9,9,1,0,0,3,3,1,29
2024-03-01 01:50:00,0,0,4,4,1,0,0,4,5,2,20
2024-03-01 02:00:00,1,1,4,5,0,0,0,2,2,0,15
2024-03-01 02:10:00,0,0,6,6,0,1,1,3,3,0,20
2024-03-01 02:20:00,0,0,3,3,0,0,0,4,4,2,16
2024-03-01 02:30:00,1,1,2,2,0,2,2,3,2,0,15
2024-03-01 02:40:00,0,0,1,2,0,0,0,1,1,0,5
2024-03-01 02:50:00,0,0,3,3,1,0,0,1,1,0,9
2024-03-01 03:00:00,0,0,1,1,0,0,0,2,2,1,7
2024-03-01 03:10:00,1,1,3,4,0,0,0,3,3,0,15
2024-03-01 03:20:00,0,0,2,3,1,1,0,1,1,0,9
2024-03-01 03:30:00,0,0,2,3,1,0,0,4,2,5,17
2024-03-01 03:40:00,0,0,3,4,0,0,0,6,4,3,20
2024-03-01 03:50:00,0,0,3,3,0,0,0,2,3,4,15
2024-03-01 04:00:00,1,0,2,2,0,0,0,0,0,1,6
2024-03-01 04:10:00,0,0,5,5,1,0,0,5,5,4,25
2024-03-01 04:20:00,0,0,5,7,0,0,0,7,4,4,27
2024-03-01 04:30:00,2,2,6,7,0,1,1,2,2,2,25
2024-03-01 04:40:00,0,0,8,10,0,0,0,6,4,3,31
2024-03-01 04:50:00,0,0,6,9,3,0,1,5,6,4,34
2024-03-01 05:00:00,2,0,16,14,1,3,4,11,10,7,68
2024-03-01 05:10:00,0,0,19,16,1,0,0,8,10,4,58
2024-03-01 05:20:00,2,0,30,26,2,1,1,14,9,3,88
2024-03-01 05:30:00,1,1,39,21,0,1,1,16,14,4,98
2024-03-01 05:40:00,2,0,54,28,1,3,0,15,13,2,118
2024-03-01 05:50:00,1,0,43,27,5,1,1,15,11,3,107
2024-03-01 06:00:00,1,1,49,25,0,2,1,21,13,4,117
2024-03-01 06:10:00,2,0,65,21,1,4,3,33,21,0,150
2024-03-01 06:20:00,4,2,83,35,4,1,0,44,22,3,198
2024-03-01 06:30:00,8,5,87,36,3,0,0,37,36,7,219
2024-03-01 06:40:00,3,2,87,27,2,4,3,48,39,13,228
2024-03-01 06:50:00,7,4,92,31,2,5,4,70,41,3,259
2024-03-01 07:00:00,7,1,121,32,2,6,5,59,25,5,263
2024-03-01 07:10:00,7,7,98,32,5,12,7,55,16,3,242
2024-03-01 07:20:00,11,6,138,39,5,12,10,88,34,8,351
2024-03-01 07:30:00,19,12,127,54,4,22,16,90,26,7,377
2024-03-01 07:40:00,33,18,114,67,4,26,7,97,41,17,424
2024-03-01 07:50:00,26,10,113,34,6,20,13,94,28,9,353
2024-03-01 08:00:00,17,9,118,46,7,17,13,82,33,4,346
