datetime,V11Z,V12Z,D21Z,D22Z,V23Z,V24Z,V33Z,V31Z,V32Z,V41Z,D51Z,V52Z,V101Z,D111Z,V112Z,V122Z,Total
2024-03-01 01:00:00,5,9,6,5,9,4,0,4,2,3,5,4,9,12,9,2,88
2024-03-01 01:10:00,3,5,3,1,4,1,0,2,0,6,7,9,2,4,3,4,54
2024-03-01 01:20:00,1,0,0,1,0,1,0,2,0,4,2,5,5,8,4,4,37
2024-03-01 01:30:00,3,8,4,1,4,2,0,2,0,5,9,6,6,9,7,9,75
2024-03-01 01:40:00,2,2,1,1,2,1,0,1,3,1,3,2,6,15,9,13,62
2024-03-01 01:50:00,3,7,2,2,2,2,0,6,2,2,2,2,5,7,5,6,55
2024-03-01 02:00:00,3,5,2,2,2,0,0,0,0,2,2,2,2,3,2,2,29
2024-03-01 02:10:00,4,5,3,0,5,0,0,0,0,1,1,1,5,4,0,5,34
2024-03-01 02:20:00,6,11,7,1,7,0,0,0,7,4,7,5,2,3,2,1,63
2024-03-01 02:30:00,2,7,3,1,3,0,0,0,1,0,0,0,1,3,1,5,27
2024-03-01 02:40:00,4,2,1,1,1,1,0,1,3,4,6,8,0,1,1,1,35
2024-03-01 02:50:00,2,3,3,2,3,3,0,4,0,2,2,3,1,1,3,1,33
2024-03-01 03:00:00,5,10,6,1,5,1,0,2,3,2,2,3,0,1,1,1,43
2024-03-01 03:10:00,1,2,1,2,1,1,0,2,6,2,4,3,0,1,2,1,29
2024-03-01 03:20:00,4,8,4,4,4,5,0,4,2,0,0,0,2,3,5,1,46
2024-03-01 03:30:00,3,4,2,1,3,1,0,2,1,4,4,6,2,4,4,6,47
2024-03-01 03:40:00,5,7,3,5,3,2,0,5,6,2,3,2,3,7,6,2,61
2024-03-01 03:50:00,3,11,4,1,6,0,0,1,2,2,3,2,2,5,3,5,50
2024-03-01 04:00:00,7,11,7,1,7,0,0,0,4,4,4,5,4,6,4,4,68
2024-03-01 04:10:00,10,17,8,1,8,1,0,3,6,6,7,8,3,4,3,4,89
2024-03-01 04:20:00,11,18,10,0,8,0,0,1,4,7,10,9,1,4,2,4,89
2024-03-01 04:30:00,10,10,4,2,5,0,0,0,8,5,7,8,2,9,3,9,82
2024-03-01 04:40:00,2,4,3,2,3,2,0,3,1,7,5,8,4,9,8,4,65
2024-03-01 04:50:00,4,15,7,6,7,4,0,6,1,5,3,13,3,5,4,10,93
2024-03-01 05:00:00,10,9,7,6,12,2,0,3,22,8,9,12,6,16,5,15,142
2024-03-01 05:10:00,13,26,16,6,19,7,0,8,5,9,10,17,9,16,10,14,185
2024-03-01 05:20:00,6,10,7,3,10,3,0,5,2,15,10,15,29,12,12,14,153
2024-03-01 05:30:00,9,17,10,8,12,5,0,12,2,11,14,13,21,19,20,27,200
2024-03-01 05:40:00,15,22,12,12,13,6,0,12,3,20,14,29,21,24,16,24,243
2024-03-01 05:50:00,12,14,11,11,11,8,0,18,9,13,16,20,28,16,22,24,233
2024-03-01 06:00:00,17,27,15,10,22,11,0,16,3,19,14,25,47,19,20,16,281
2024-03-01 06:10:00,20,25,22,12,21,8,0,14,2,35,13,46,23,19,18,20,298
2024-03-01 06:20:00,14,29,16,6,19,6,0,7,5,36,22,39,29,24,20,24,296
2024-03-01 06:30:00,17,30,18,14,18,4,0,11,6,40,25,45,23,18,22,21,312
2024-03-01 06:40:00,26,31,25,13,25,8,0,17,1,28,28,48,30,11,20,14,325
2024-03-01 06:50:00,21,29,22,16,21,8,0,20,2,34,35,27,35,20,22,7,319
2024-03-01 07:00:00,19,25,25,7,15,8,0,3,5,34,21,30,45,19,23,20,299
2024-03-01 07:10:00,32,34,34,10,26,9,0,10,5,26,15,26,59,25,26,9,346
2024-03-01 07:20:00,28,33,40,22,23,15,0,18,7,36,5,26,55,21,34,5,368
2024-03-01 07:30:00,23,31,27,20,29,10,0,15,5,37,11,25,63,23,35,18,372
2024-03-01 07:40:00,40,38,52,22,27,13,0,17,7,32,7,32,68,24,43,4,426
2024-03-01 07:50:00,39,38,47,17,21,10,0,14,10,44,8,19,63,30,49,10,419
2024-03-01 08:00:00,39,49,54,21,14,10,0,11,6,46,12,29,57,25,35,21,429
2024-03-01 08:10:00,33,30,40,21,26,15,0,15,6,41,17,29,52,25,39,16,405
2024-03-01 08:20:00,21,18,37,14,20,10,0,9,6,49,9,42,59,30,42,19,385
2024-03-01 08:30:00,38,24,38,24,28,11,0,12,4,45,7,9,53,20,37,15,365
2024-03-01 08:40:00,34,22,43,44,21,23,0,15,4,41,18,31,55,37,40,21,449
2024-03-01 08:50:00,32,21,40,19,23,9,0,9,3,33,21,21,43,27,37,15,353
2024-03-01 09:00:00,30,32,39,24,28,18,0,19,6,28,15,22,150,33,41,18,503
2024-03-01 09:10:00,24,22,33,25,24,16,0,12,4,37,19,29,45,42,38,13,383
2024-03-01 09:20:00,35,23,37,9,25,2,0,5,7,36,7,23,138,26,36,10,419
2024-03-01 09:30:00,33,27,39,19,22,10,0,10,13,39,16,29,43,28,38,18,384
2024-03-01 09:40:00,28,16,32,16,20,13,0,12,6,43,20,33,87,27,43,13,409
2024-03-01 09:50:00,28,27,38,17,31,16,0,12,9,41,18,36,81,47,50,18,469
2024-03-01 10:00:00,35,24,39,20,24,11,0,14,12,39,14,29,88,22,42,17,430
2024-03-01 10:10:00,30,22,29,18,27,12,0,10,8,42,17,31,50,40,51,15,402
2024-03-01 10:20:00,30,24,37,17,46,13,0,10,5,38,16,27,60,44,57,16,440
2024-03-01 10:30:00,33,31,40,27,38,16,0,13,6,37,20,27,45,34,43,27,437
2024-03-01 10:40:00,37,27,45,20,20,15,0,14,3,32,12,26,55,41,53,24,424
2024-03-01 10:50:00,41,30,74,28,33,14,0,14,6,48,10,25,50,37,49,18,477
2024-03-01 11:00:00,41,27,42,25,31,12,0,12,5,50,11,26,56,33,35,15,421
2024-03-01 11:10:00,38,26,38,23,32,19,0,18,6,35,12,24,55,33,46,11,416
2024-03-01 11:20:00,30,23,36,30,23,16,0,16,10,47,19,37,51,33,48,20,439
2024-03-01 11:30:00,17,17,35,16,21,14,0,12,6,43,17,28,43,23,32,8,332
2024-03-01 11:40:00,29,22,38,21,30,16,0,13,3,56,11,14,71,36,49,18,427
2024-03-01 11:50:00,39,28,51,30,34,16,0,15,9,48,1,2,89,33,53,13,461
2024-03-01 12:00:00,38,28,61,21,17,11,0,11,9,61,0,0,48,37,45,12,399
2024-03-01 12:10:00,55,37,62,17,34,16,0,12,6,59,2,0,59,31,44,11,445
2024-03-01 12:20:00,40,35,51,25,32,17,0,14,9,53,8,1,68,46,52,13,464
2024-03-01 12:30:00,45,31,56,20,36,14,0,11,7,95,22,4,53,31,44,14,483
2024-03-01 12:40:00,33,29,49,34,29,12,0,11,4,65,10,16,52,30,52,17,443
2024-03-01 12:50:00,50,41,73,45,45,22,0,23,10,62,7,15,55,31,55,6,540
2024-03-01 13:00:00,46,44,65,25,39,16,0,12,4,68,11,5,98,27,44,11,515
2024-03-01 13:10:00,12,12,33,10,9,10,0,5,5,34,2,0,45,24,31,3,235
2024-03-01 13:20:00,53,26,59,27,33,13,0,11,11,55,11,17,59,41,61,4,481
2024-03-01 13:30:00,38,26,49,27,32,13,0,10,9,52,24,35,63,38,41,14,471
2024-03-01 13:40:00,42,26,58,23,36,13,0,18,9,62,9,10,58,29,43,11,447
2024-03-01 13:50:00,31,24,53,26,32,17,0,17,6,59,23,32,54,34,51,19,478
2024-03-01 14:00:00,55,27,62,26,35,22,0,20,13,65,26,37,50,29,42,14,523
2024-03-01 14:10:00,38,27,65,31,30,17,0,13,7,52,18,32,48,29,47,12,466
2024-03-01 14:20:00,54,31,72,26,38,21,0,22,11,45,14,36,75,28,52,14,539
2024-03-01 14:30:00,51,31,63,28,42,17,0,15,3,55,17,37,64,33,56,13,525
2024-03-01 14:40:00,47,34,70,22,41,15,0,18,7,52,17,39,57,31,57,24,531
2024-03-01 14:50:00,53,32,60,34,35,22,0,16,4,52,28,32,64,41,48,14,535
2024-03-01 15:00:00,47,25,55,30,37,19,0,18,9,50,23,26,99,31,49,12,530
