datetime,V21Z,V22Z,V81Z,V82Z,D11Z,D12Z,Total
2024-03-01 01:00:00,0,3,0,3,0,0,6
2024-03-01 01:10:00,0,5,0,11,0,0,16
2024-03-01 01:20:00,0,1,0,9,0,0,10
2024-03-01 01:30:00,0,2,0,5,1,0,8
2024-03-01 01:40:00,0,5,0,13,0,0,18
2024-03-01 01:50:00,0,4,0,1,0,0,5
2024-03-01 02:00:00,0,2,0,3,0,0,5
2024-03-01 02:10:00,0,5,0,8,0,0,13
2024-03-01 02:20:00,0,4,0,7,0,0,11
2024-03-01 02:30:00,0,4,0,5,0,0,9
2024-03-01 02:40:00,0,1,0,0,0,0,1
2024-03-01 02:50:00,0,0,0,2,0,0,2
2024-03-01 03:00:00,0,3,0,8,0,0,11
2024-03-01 03:10:00,0,0,0,3,0,0,3
2024-03-01 03:20:00,0,6,0,6,0,0,12
2024-03-01 03:30:00,0,2,0,11,1,0,14
2024-03-01 03:40:00,0,1,0,15,0,0,16
2024-03-01 03:50:00,0,5,0,5,0,0,10
2024-03-01 04:00:00,0,3,0,7,0,0,10
2024-03-01 04:10:00,0,4,0,16,0,0,20
2024-03-01 04:20:00,0,6,0,11,0,0,17
2024-03-01 04:30:00,0,3,0,20,1,0,24
2024-03-01 04:40:00,0,5,0,28,1,0,34
2024-03-01 04:50:00,0,4,0,32,0,0,36
2024-03-01 05:00:00,0,11,0,37,1,0,49
2024-03-01 05:10:00,0,14,0,48,0,0,62
2024-03-01 05:20:00,0,20,0,56,0,0,76
2024-03-01 05:30:00,0,28,0,66,0,0,94
2024-03-01 05:40:00,0,19,0,72,3,0,94
2024-03-01 05:50:00,0,23,0,64,4,0,91
2024-03-01 06:00:00,0,33,0,81,0,0,114
2024-03-01 06:10:00,0,39,0,61,3,0,103
2024-03-01 06:20:00,0,41,0,65,9,0,115
2024-03-01 06:30:00,0,30,0,93,10,0,133
2024-03-01 06:40:00,0,41,0,71,6,0,118
2024-03-01 06:50:00,0,43,0,78,13,0,134
2024-03-01 07:00:00,0,28,0,41,12,0,81
2024-03-01 07:10:00,0,27,0,44,7,0,78
2024-03-01 07:20:00,0,26,0,27,15,0,68
2024-03-01 07:30:00,0,33,0,29,7,0,69
2024-03-01 07:40:00,0,24,0,26,16,0,66
2024-03-01 07:50:00,0,28,0,25,8,0,61
2024-03-01 08:00:00,0,36,0,43,6,0,85
2024-03-01 08:10:00,0,35,0,26,4,0,65
2024-03-01 08:20:00,0,23,0,34,6,0,63
