datetime,D41Z,V42Z,D71Z,D81Z,D82Z,V83Z,V84Z,D811Z,D812Z,V813Z,V814Z,D111Z,D112Z,V113Z,V114Z,D115Z,D121Z,D122Z,V123Z,V124Z,D125Z,D126Z,V521Z,Total
2024-03-01 01:00:00,1,1,0,0,0,0,0,1,0,0,2,0,1,0,1,1,4,2,4,2,6,1,2,29
2024-03-01 01:10:00,1,1,0,0,0,0,0,1,0,0,1,3,3,2,4,4,6,1,5,2,8,5,2,49
2024-03-01 01:20:00,0,0,0,1,1,1,1,0,0,0,0,1,2,1,6,3,7,1,4,0,7,0,1,37
2024-03-01 01:30:00,0,0,2,1,1,4,2,2,2,2,2,0,1,0,2,1,3,1,4,1,4,0,2,37
2024-03-01 01:40:00,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,1,4,1,3,1,4,0,0,20
2024-03-01 01:50:00,0,0,1,0,0,1,0,0,0,0,0,1,2,0,4,3,6,2,7,2,6,2,0,37
2024-03-01 02:00:00,2,2,1,0,1,1,1,1,2,2,1,1,1,1,2,2,4,0,4,0,5,0,0,34
2024-03-01 02:10:00,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,2,4,0,4,0,6,2,1,26
2024-03-01 02:20:00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,1,4,1,4,1,0,19
2024-03-01 02:30:00,0,2,0,0,2,1,3,2,2,1,4,3,1,2,2,4,5,0,5,0,5,1,0,45
2024-03-01 02:40:00,0,0,0,0,1,0,1,1,0,0,1,2,1,1,1,1,1,0,1,0,1,1,0,14
2024-03-01 02:50:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,3,5,6,6,1,0,30
2024-03-01 03:00:00,0,0,0,0,1,0,1,1,0,0,2,1,0,1,3,1,4,0,2,0,4,0,0,21
2024-03-01 03:10:00,2,2,0,0,0,0,0,1,1,2,1,0,3,0,4,2,1,0,1,0,3,0,1,24
2024-03-01 03:20:00,0,2,0,0,1,0,1,0,0,0,0,2,1,0,3,1,3,0,4,0,3,0,0,21
2024-03-01 03:30:00,0,0,0,1,0,1,0,1,1,1,1,0,0,0,3,0,3,0,2,1,3,0,1,19
2024-03-01 03:40:00,0,1,1,0,0,1,0,0,0,2,0,1,1,0,1,1,4,0,1,0,5,0,1,20
2024-03-01 03:50:00,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,2,0,2,0,0,14
2024-03-01 04:00:00,0,1,0,1,1,1,1,0,1,2,0,0,0,0,1,0,3,1,3,1,3,1,1,22
2024-03-01 04:10:00,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,5,3,2,3,4,3,1,0,31
2024-03-01 04:20:00,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,4,0,4,0,4,0,2,21
2024-03-01 04:30:00,2,5,0,1,2,1,1,0,3,4,0,1,0,1,0,1,1,0,1,0,1,0,0,25
2024-03-01 04:40:00,0,2,0,2,2,2,1,0,4,3,0,0,1,0,2,1,7,0,5,0,8,0,0,40
2024-03-01 04:50:00,0,0,0,1,2,1,1,1,1,1,1,0,1,0,2,1,1,0,1,0,2,0,2,19
2024-03-01 05:00:00,1,1,1,1,1,3,2,0,2,3,0,0,0,0,3,1,3,1,3,2,4,1,1,34
2024-03-01 05:10:00,2,3,2,4,2,9,3,2,4,7,2,0,2,0,3,1,8,2,7,2,9,2,1,77
2024-03-01 05:20:00,3,2,2,5,2,11,3,0,9,9,0,2,2,0,7,2,14,9,11,10,21,2,2,128
2024-03-01 05:30:00,3,3,1,2,2,5,3,1,6,8,1,2,3,1,5,4,15,1,14,1,17,1,2,101
2024-03-01 05:40:00,6,9,1,5,1,6,2,2,10,13,1,0,5,1,15,4,19,4,13,5,22,2,2,148
2024-03-01 05:50:00,3,5,2,3,2,6,4,2,6,8,3,4,5,2,13,7,24,3,15,2,26,2,2,149
