datetime,D21Z,D22Z,V23Z,V24Z,D51Z,V52Z,D81Z,D82Z,V83Z,V84Z,D111Z,V112Z,D95Z,D911Z,Total
2024-03-01 01:00:00,6,2,6,1,0,0,4,0,5,0,0,0,1,0,25
2024-03-01 01:10:00,5,2,5,2,3,1,4,0,4,0,0,1,1,3,31
2024-03-01 01:20:00,4,0,4,0,0,0,1,0,1,0,0,0,0,0,10
2024-03-01 01:30:00,4,0,4,0,0,0,5,0,4,0,0,0,1,0,18
2024-03-01 01:40:00,5,0,4,0,0,0,1,0,2,0,1,1,2,0,16
2024-03-01 01:50:00,6,0,8,0,0,0,1,0,2,0,1,1,3,0,22
2024-03-01 02:00:00,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4
2024-03-01 02:10:00,1,0,1,0,0,0,2,0,2,0,0,0,0,0,6
2024-03-01 02:20:00,5,0,5,0,0,0,0,0,0,0,1,0,1,0,12
2024-03-01 02:30:00,2,0,2,0,0,0,2,0,2,0,0,0,1,0,9
2024-03-01 02:40:00,4,0,5,0,0,0,3,0,3,0,0,0,0,0,15
2024-03-01 02:50:00,1,0,1,0,0,0,1,0,1,0,0,0,0,0,4
2024-03-01 03:00:00,4,0,5,0,0,0,0,0,0,0,1,2,4,0,16
2024-03-01 03:10:00,1,0,1,0,0,0,1,0,1,0,0,0,1,0,5
2024-03-01 03:20:00,1,0,1,0,0,0,3,0,3,0,0,0,1,0,9
2024-03-01 03:30:00,2,1,3,0,2,1,1,0,1,0,1,1,2,1,16
2024-03-01 03:40:00,3,0,3,0,0,0,3,0,3,0,0,0,0,0,12
2024-03-01 03:50:00,3,0,3,0,1,2,4,0,4,0,0,0,0,1,18
2024-03-01 04:00:00,1,0,3,0,0,0,2,0,2,0,0,0,1,0,9
2024-03-01 04:10:00,4,0,3,0,0,0,2,0,3,0,0,0,0,0,12
2024-03-01 04:20:00,6,5,6,0,0,0,6,0,6,0,1,1,2,0,33
2024-03-01 04:30:00,2,0,2,0,1,1,7,0,6,0,0,0,6,1,26
2024-03-01 04:40:00,2,2,2,0,1,1,7,0,6,0,0,0,3,1,25
2024-03-01 04:50:00,4,0,5,0,1,1,7,0,5,0,0,0,10,1,34
2024-03-01 05:00:00,4,3,5,0,0,0,16,4,13,0,0,0,0,0,45
2024-03-01 05:10:00,10,2,10,2,0,0,11,3,11,1,1,2,2,0,55
2024-03-01 05:20:00,8,1,7,1,0,0,23,0,18,0,1,2,2,1,64
2024-03-01 05:30:00,15,0,13,1,0,0,25,2,17,0,4,3,2,0,82
2024-03-01 05:40:00,17,0,16,1,0,0,36,2,16,0,1,2,0,0,91
2024-03-01 05:50:00,29,0,18,2,2,2,39,4,16,5,3,3,6,1,130
2024-03-01 06:00:00,12,0,13,1,1,3,32,4,24,5,6,6,5,1,113
2024-03-01 06:10:00,20,0,16,0,1,1,38,1,18,2,4,2,3,0,106
2024-03-01 06:20:00,19,2,10,0,4,2,41,2,20,2,6,7,9,1,125
2024-03-01 06:30:00,21,1,18,0,4,2,43,1,24,1,4,5,5,4,133
2024-03-01 06:40:00,32,1,19,2,7,7,53,3,25,2,4,5,7,5,172
2024-03-01 06:50:00,31,4,19,3,2,1,63,3,29,4,6,3,14,3,185
2024-03-01 07:00:00,30,5,17,3,6,7,66,2,20,2,3,4,13,5,183
2024-03-01 07:10:00,46,3,23,1,8,7,75,3,29,0,6,7,7,8,223
2024-03-01 07:20:00,53,1,27,2,10,11,70,4,28,2,11,12,14,9,254
2024-03-01 07:30:00,62,2,27,2,13,12,76,4,30,1,15,15,18,11,288
2024-03-01 07:40:00,76,6,20,13,33,8,110,2,29,0,26,16,24,14,377
2024-03-01 07:50:00,118,8,25,11,15,12,108,1,35,0,8,8,12,9,370
2024-03-01 08:00:00,48,9,26,3,12,7,73,2,34,1,9,11,15,14,264
2024-03-01 08:10:00,57,2,30,5,5,5,82,2,42,1,16,14,20,5,286
2024-03-01 08:20:00,56,5,38,7,8,6,80,2,29,2,11,12,16,3,275
2024-03-01 08:30:00,56,3,38,9,10,8,84,2,47,1,15,10,18,10,311
2024-03-01 08:40:00,61,3,29,5,10,11,79,1,42,1,8,3,13,9,275
2024-03-01 08:50:00,65,4,29,7,7,8,83,2,43,1,10,10,19,7,295
2024-03-01 09:00:00,48,4,31,7,1,2,54,0,30,1,6,6,12,3,205
2024-03-01 09:10:00,59,3,28,6,7,10,75,0,41,0,9,8,11,7,264
2024-03-01 09:20:00,70,2,30,2,13,5,60,3,39,1,8,7,18,9,267
2024-03-01 09:30:00,60,2,18,4,8,8,69,0,21,0,4,4,22,7,227
2024-03-01 09:40:00,65,2,15,2,9,6,75,1,40,2,9,11,24,5,266
2024-03-01 09:50:00,72,3,22,8,9,10,77,2,31,2,10,11,19,13,289
2024-03-01 10:00:00,60,5,17,6,7,6,60,0,26,0,18,14,66,5,290
2024-03-01 10:10:00,51,2,23,3,5,10,52,0,34,0,9,8,27,4,228
2024-03-01 10:20:00,59,5,18,3,11,5,63,1,34,1,14,11,72,7,304
2024-03-01 10:30:00,66,5,16,6,13,9,59,0,25,0,13,6,98,11,327
2024-03-01 10:40:00,57,1,20,2,6,6,60,2,26,2,17,13,85,6,303
2024-03-01 10:50:00,90,6,17,6,5,9,62,3,26,5,12,13,80,5,339
2024-03-01 11:00:00,64,3,13,3,9,0,67,1,29,2,8,8,38,8,253
2024-03-01 11:10:00,64,3,17,4,11,0,87,2,28,4,14,13,46,10,303
2024-03-01 11:20:00,58,3,18,6,6,1,58,0,30,0,15,12,38,6,251
2024-03-01 11:30:00,82,4,17,9,10,5,64,1,31,0,9,6,28,10,276
2024-03-01 11:40:00,53,3,20,3,10,3,69,1,28,1,16,14,38,11,270
2024-03-01 11:50:00,87,5,17,6,12,0,50,0,19,0,18,16,39,11,280
2024-03-01 12:00:00,76,5,16,5,4,0,45,8,25,3,23,18,45,2,275
2024-03-01 12:10:00,79,6,16,13,5,0,62,3,23,3,18,12,37,7,284
2024-03-01 12:20:00,81,2,17,10,9,5,71,4,26,4,25,11,35,7,307
2024-03-01 12:30:00,84,2,27,5,9,7,74,1,30,0,26,17,49,7,338
