datetime,D21Z,V22Z,V32Z,D51Z,V52Z,D61Z,V62Z,D81Z,V82Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-01 01:00:00,0,0,2,2,3,0,0,1,4,2,1,9,16,4,0,44
2024-03-01 01:10:00,0,0,0,2,6,0,0,0,0,0,0,5,5,9,0,27
2024-03-01 01:20:00,0,0,0,3,6,0,0,0,0,0,0,7,2,4,0,22
2024-03-01 01:30:00,0,0,0,3,8,0,0,1,3,0,0,9,7,4,0,35
2024-03-01 01:40:00,0,0,0,5,14,1,0,0,0,0,0,6,1,0,0,27
2024-03-01 01:50:00,0,2,3,3,4,0,0,0,0,0,0,10,6,2,0,30
2024-03-01 02:00:00,0,0,1,2,4,0,0,0,0,0,0,5,2,2,0,16
2024-03-01 02:10:00,0,0,2,2,3,0,0,1,2,0,0,5,0,2,0,17
2024-03-01 02:20:00,0,0,0,4,7,0,0,0,0,0,0,3,3,2,0,19
2024-03-01 02:30:00,0,0,1,0,0,0,0,0,0,0,0,5,3,2,0,11
2024-03-01 02:40:00,0,0,1,1,2,0,0,0,0,0,0,13,4,0,0,21
2024-03-01 02:50:00,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,4
2024-03-01 03:00:00,0,0,0,1,2,1,2,0,0,0,0,6,0,0,0,12
2024-03-01 03:10:00,0,0,0,1,3,0,0,0,0,0,0,3,4,0,0,11
2024-03-01 03:20:00,0,0,0,2,3,0,0,0,0,0,0,4,2,0,0,11
2024-03-01 03:30:00,0,0,0,0,0,0,0,1,3,0,0,3,2,0,0,9
2024-03-01 03:40:00,0,0,0,1,3,0,0,0,0,0,0,8,4,4,0,20
2024-03-01 03:50:00,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,10
2024-03-01 04:00:00,0,0,0,4,7,0,0,0,0,0,0,8,1,0,0,20
2024-03-01 04:10:00,0,0,3,5,10,0,0,0,0,0,0,10,4,2,0,34
2024-03-01 04:20:00,0,0,0,5,8,1,1,1,3,0,0,22,9,0,0,50
2024-03-01 04:30:00,0,0,0,3,5,0,0,0,0,0,0,39,3,3,0,53
2024-03-01 04:40:00,0,2,0,4,11,1,2,0,0,0,0,51,6,2,0,79
2024-03-01 04:50:00,0,0,0,10,21,1,1,1,2,0,0,48,12,4,0,100
2024-03-01 05:00:00,0,0,0,11,19,0,0,2,8,1,1,11,4,2,0,59
2024-03-01 05:10:00,0,0,2,23,31,1,2,1,4,1,1,14,16,10,0,106
2024-03-01 05:20:00,0,2,4,27,31,2,3,2,6,0,0,15,10,4,0,106
2024-03-01 05:30:00,0,3,2,42,43,6,9,2,4,1,1,8,25,5,0,151
2024-03-01 05:40:00,0,0,2,50,59,9,17,1,6,2,2,10,15,2,0,175
2024-03-01 05:50:00,0,2,13,43,45,17,24,0,0,0,0,9,13,8,0,174
2024-03-01 06:00:00,0,1,5,53,47,5,10,3,10,1,1,7,24,3,0,170
2024-03-01 06:10:00,0,1,3,66,43,4,6,6,8,2,4,18,20,10,0,191
2024-03-01 06:20:00,0,1,10,86,48,13,23,2,8,1,1,16,19,6,1,235
2024-03-01 06:30:00,0,2,5,78,45,20,26,4,10,1,1,22,50,19,1,284
2024-03-01 06:40:00,0,4,14,90,43,19,35,4,16,1,1,32,37,32,2,330
2024-03-01 06:50:00,0,1,11,95,41,26,16,10,24,3,5,54,0,2,0,288
2024-03-01 07:00:00,0,0,0,126,28,17,13,3,10,1,1,49,0,0,2,250
2024-03-01 07:10:00,0,0,0,117,17,22,15,4,3,1,5,28,0,0,3,215
2024-03-01 07:20:00,0,0,0,143,12,18,15,5,6,3,4,30,0,0,2,238
2024-03-01 07:30:00,0,0,0,135,18,10,10,9,10,3,5,35,0,0,8,243
2024-03-01 07:40:00,0,0,0,93,25,19,14,5,7,4,4,46,0,0,8,225
2024-03-01 07:50:00,0,0,0,111,29,16,13,10,8,6,5,26,0,0,3,227
2024-03-01 08:00:00,0,0,0,100,30,9,8,7,10,2,2,34,0,0,10,212
2024-03-01 08:10:00,0,0,0,103,24,13,13,3,4,5,4,29,0,0,11,209
2024-03-01 08:20:00,0,0,0,90,24,16,17,9,11,4,7,31,0,0,6,215
2024-03-01 08:30:00,0,0,0,83,20,20,14,11,15,4,5,38,0,0,8,218
2024-03-01 08:40:00,0,0,0,77,24,12,11,12,8,6,5,34,0,0,11,200
2024-03-01 08:50:00,0,0,0,81,28,11,10,9,5,6,8,38,0,0,12,208
2024-03-01 09:00:00,0,0,0,61,20,15,15,11,13,9,7,33,0,0,8,192
2024-03-01 09:10:00,0,0,0,82,32,11,10,10,7,7,7,22,0,0,7,195
2024-03-01 09:20:00,0,0,0,105,22,14,12,12,20,3,3,24,0,0,2,217
2024-03-01 09:30:00,0,0,0,73,26,12,75,10,9,3,2,25,0,0,3,238
2024-03-01 09:40:00,0,0,0,68,23,7,25,9,14,3,6,39,0,0,4,198
2024-03-01 09:50:00,0,0,0,84,24,10,10,4,3,3,4,39,0,0,5,186
2024-03-01 10:00:00,0,0,0,65,21,5,7,8,12,4,6,54,0,0,2,184
2024-03-01 10:10:00,0,0,0,53,15,9,10,10,13,3,3,108,0,0,6,230
2024-03-01 10:20:00,0,0,0,55,18,6,7,6,12,4,3,177,0,0,3,291
2024-03-01 10:30:00,0,0,0,55,28,18,9,7,10,4,2,276,0,0,1,410
2024-03-01 10:40:00,0,0,0,67,17,12,10,2,6,6,10,303,0,0,2,435
2024-03-01 10:50:00,0,0,0,51,22,13,12,7,10,7,8,153,0,0,6,289
2024-03-01 11:00:00,0,0,0,63,26,14,8,10,17,7,6,153,0,0,4,308
2024-03-01 11:10:00,0,0,0,75,25,6,6,4,15,6,10,239,0,0,4,390
2024-03-01 11:20:00,0,0,0,72,15,9,9,8,9,4,5,106,0,0,0,237
2024-03-01 11:30:00,0,0,0,65,24,7,6,4,5,3,5,98,0,0,4,221
2024-03-01 11:40:00,0,0,0,66,21,9,10,8,14,3,4,115,0,0,2,252
2024-03-01 11:50:00,0,0,0,64,25,9,13,9,14,5,22,122,0,0,7,290
2024-03-01 12:00:00,0,0,0,65,14,7,10,12,19,4,4,80,0,0,3,218
2024-03-01 12:10:00,0,0,0,60,27,6,6,10,9,5,6,108,0,0,7,244
2024-03-01 12:20:00,0,0,0,62,19,4,3,8,12,6,5,88,0,0,1,208
2024-03-01 12:30:00,0,0,0,68,20,8,8,19,15,8,11,84,0,0,5,246
2024-03-01 12:40:00,0,0,0,73,22,10,9,15,10,7,9,102,0,0,1,258
2024-03-01 12:50:00,0,0,0,77,19,6,6,15,17,5,5,84,0,0,1,235
2024-03-01 13:00:00,0,0,0,68,24,13,9,12,11,7,10,92,0,0,0,246
2024-03-01 13:10:00,0,0,0,80,25,8,10,11,7,7,10,105,0,0,1,264
2024-03-01 13:20:00,0,0,0,69,24,12,11,15,14,5,6,80,0,0,5,241
2024-03-01 13:30:00,0,0,0,69,27,8,8,23,30,4,1,108,0,0,1,279
2024-03-01 13:40:00,0,0,0,70,22,7,7,15,14,5,10,145,0,0,7,302
2024-03-01 13:50:00,0,0,0,67,19,9,10,12,13,3,6,103,0,0,1,243
2024-03-01 14:00:00,0,0,0,87,22,9,10,19,16,4,3,99,0,0,2,271
2024-03-01 14:10:00,0,0,0,77,22,7,7,13,13,6,8,122,0,0,8,283
2024-03-01 14:20:00,0,0,0,75,18,9,9,20,27,8,10,104,0,0,4,284
2024-03-01 14:30:00,0,0,0,73,23,8,7,11,8,8,7,111,0,0,4,260
2024-03-01 14:40:00,0,0,0,91,22,8,13,15,17,7,7,142,0,0,3,325
2024-03-01 14:50:00,0,0,0,84,17,5,5,17,17,6,9,94,0,0,4,258
2024-03-01 15:00:00,0,0,0,73,21,5,4,12,8,3,2,91,0,0,2,221
2024-03-01 15:10:00,0,0,0,74,25,8,10,4,6,7,7,100,0,0,2,243
2024-03-01 15:20:00,0,0,0,83,21,2,4,16,24,4,6,186,0,0,1,347
2024-03-01 15:30:00,0,0,0,81,25,5,4,10,9,3,3,115,0,0,3,258
2024-03-01 15:40:00,0,0,0,76,22,8,6,12,7,7,10,112,0,0,5,265
2024-03-01 15:50:00,0,0,0,100,16,8,9,19,20,4,4,111,0,0,3,294
2024-03-01 16:00:00,0,0,0,75,18,7,10,14,23,10,11,99,0,0,5,272
2024-03-01 16:10:00,0,0,0,88,19,13,8,13,23,7,9,113,0,0,2,295
2024-03-01 16:20:00,0,0,0,94,20,7,47,12,14,5,7,194,0,0,5,405
2024-03-01 16:30:00,0,0,0,73,19,5,4,13,12,5,5,252,0,0,3,391
2024-03-01 16:40:00,0,0,0,93,28,6,5,20,18,4,6,230,0,0,5,415
2024-03-01 16:50:00,0,0,0,75,17,14,9,10,7,9,8,245,0,0,6,400
2024-03-01 17:00:00,0,0,0,87,18,4,4,14,10,4,4,157,0,0,3,305
2024-03-01 17:10:00,0,0,0,85,23,7,6,17,14,7,7,95,0,0,2,263
2024-03-01 17:20:00,0,0,0,101,26,3,3,19,12,6,6,101,0,0,4,281
2024-03-01 17:30:00,0,0,0,95,16,11,9,13,16,5,6,101,0,0,6,278
2024-03-01 17:40:00,0,0,0,86,24,11,7,11,11,6,5,101,0,0,3,265
2024-03-01 17:50:00,0,0,0,82,24,11,10,11,13,4,3,107,0,0,2,267
2024-03-01 18:00:00,0,0,0,93,22,6,6,17,13,6,5,172,0,0,3,343
2024-03-01 18:10:00,0,0,0,78,30,8,7,7,10,2,2,102,0,0,0,246
2024-03-01 18:20:00,0,0,0,78,23,6,9,10,24,4,3,248,0,0,2,407
2024-03-01 18:30:00,0,2,7,68,17,14,17,11,29,3,1,239,25,34,2,469
2024-03-01 18:40:00,0,3,13,100,43,5,6,11,17,5,7,77,0,0,3,290
2024-03-01 18:50:00,0,12,23,75,35,7,14,9,13,3,4,57,11,14,3,280
2024-03-01 19:00:00,0,5,21,65,39,3,3,3,10,10,3,45,28,19,0,254
2024-03-01 19:10:00,0,2,17,62,46,5,10,2,3,0,0,52,56,50,0,305
2024-03-01 19:20:00,0,4,20,56,35,5,9,7,15,2,5,45,39,35,0,277
2024-03-01 19:30:00,0,1,17,56,34,4,8,4,5,1,2,43,20,20,2,217
2024-03-01 19:40:00,0,5,9,34,47,2,3,9,15,0,0,30,18,9,1,182
2024-03-01 19:50:00,0,3,1,48,39,0,0,3,9,1,3,21,41,24,1,194
2024-03-01 20:00:00,0,0,8,36,35,1,2,2,4,1,4,24,44,31,1,193
2024-03-01 20:10:00,0,9,15,23,28,4,4,1,6,3,3,33,38,19,0,186
2024-03-01 20:20:00,0,3,13,39,36,1,0,2,9,1,2,23,36,19,1,185
2024-03-01 20:30:00,0,1,7,23,36,1,0,1,4,4,6,20,37,26,0,166
2024-03-01 20:40:00,0,2,11,43,39,3,6,4,10,1,1,24,31,23,0,198
2024-03-01 20:50:00,0,1,4,40,38,1,0,2,7,1,1,18,31,29,3,176
2024-03-01 21:00:00,0,0,4,31,35,1,2,2,6,4,9,24,34,15,2,169
2024-03-01 21:10:00,0,1,8,33,44,0,0,0,0,1,1,30,35,26,4,183
2024-03-01 21:20:00,0,1,11,19,23,0,0,0,1,2,8,13,28,25,0,131
2024-03-01 21:30:00,0,2,10,32,39,3,2,3,10,3,7,20,31,25,1,188
2024-03-01 21:40:00,0,2,9,27,38,2,5,1,3,0,0,34,50,41,2,214
2024-03-01 21:50:00,0,0,16,38,32,0,0,4,17,3,6,21,38,22,0,197
2024-03-01 22:00:00,0,2,8,22,24,1,2,3,8,2,6,20,45,25,1,169
2024-03-01 22:10:00,0,5,3,34,27,1,2,6,10,1,4,26,33,22,0,174
2024-03-01 22:20:00,0,2,10,29,38,0,0,3,2,1,4,44,41,23,2,199
2024-03-01 22:30:00,0,0,12,23,35,3,3,4,8,2,5,86,38,25,0,244
2024-03-01 22:40:00,0,4,5,17,23,0,1,8,14,3,3,55,30,26,0,189
2024-03-01 22:50:00,0,6,6,18,33,2,4,1,1,0,0,38,36,17,0,162
2024-03-01 23:00:00,0,1,3,17,26,3,4,1,3,2,3,69,32,17,1,182
