datetime,D11Z,D12Z,D21Z,D22Z,D23Z,D41Z,D42Z,D43Z,D51Z,D55Z,D13Z,Total
2024-03-01 01:00:00,1,1,9,0,9,1,2,2,0,0,0,25
2024-03-01 01:10:00,1,1,9,0,9,3,0,0,0,0,0,23
2024-03-01 01:20:00,2,2,7,0,7,1,0,0,0,0,0,19
2024-03-01 01:30:00,5,5,14,1,13,2,2,1,0,0,2,45
2024-03-01 01:40:00,4,4,10,0,10,1,1,1,0,0,0,31
2024-03-01 01:50:00,2,2,5,1,5,1,0,0,0,0,0,16
2024-03-01 02:00:00,1,1,5,0,5,0,1,1,0,0,0,14
2024-03-01 02:10:00,3,3,5,0,5,1,0,0,0,0,0,17
2024-03-01 02:20:00,3,3,3,0,3,1,0,0,0,0,0,13
2024-03-01 02:30:00,2,2,2,0,2,0,2,2,0,0,0,12
2024-03-01 02:40:00,0,0,4,0,4,0,0,0,0,0,0,8
2024-03-01 02:50:00,1,1,5,0,5,0,0,0,0,0,0,12
2024-03-01 03:00:00,3,3,6,0,6,2,1,1,0,0,0,22
2024-03-01 03:10:00,1,1,4,0,5,0,0,0,0,0,0,11
2024-03-01 03:20:00,3,3,4,0,4,1,0,0,0,0,0,15
2024-03-01 03:30:00,0,0,5,0,5,0,0,0,0,0,0,10
2024-03-01 03:40:00,1,1,3,0,3,2,1,1,0,0,0,12
2024-03-01 03:50:00,1,1,1,0,1,0,0,0,0,0,2,6
2024-03-01 04:00:00,6,6,9,1,9,0,1,1,0,0,1,34
2024-03-01 04:10:00,4,4,6,1,6,3,1,0,0,0,1,26
2024-03-01 04:20:00,2,2,7,0,7,1,1,0,0,0,0,20
2024-03-01 04:30:00,4,5,8,0,8,2,1,0,0,0,1,29
2024-03-01 04:40:00,3,2,20,1,21,9,1,1,0,0,0,58
2024-03-01 04:50:00,11,11,24,0,25,6,0,0,0,0,0,77
2024-03-01 05:00:00,14,15,27,0,30,7,0,0,0,0,2,95
2024-03-01 05:10:00,15,15,38,1,39,10,1,0,0,0,1,120
2024-03-01 05:20:00,12,13,42,0,44,18,0,0,0,0,0,129
2024-03-01 05:30:00,24,26,69,0,68,21,1,1,0,0,1,211
2024-03-01 05:40:00,29,29,68,1,71,18,1,0,0,0,3,220
2024-03-01 05:50:00,16,15,76,3,77,18,2,2,0,0,2,211
2024-03-01 06:00:00,35,38,69,2,71,23,2,2,0,0,7,249
2024-03-01 06:10:00,21,21,86,7,89,26,3,2,0,0,4,259
2024-03-01 06:20:00,36,33,96,3,99,29,0,1,0,0,9,306
2024-03-01 06:30:00,22,24,90,1,94,36,5,5,0,0,5,282
2024-03-01 06:40:00,35,35,106,4,110,30,7,8,0,0,6,341
2024-03-01 06:50:00,34,34,110,8,115,41,2,2,0,0,6,352
2024-03-01 07:00:00,48,50,103,8,105,38,2,2,0,0,9,365
2024-03-01 07:10:00,49,48,122,8,126,50,7,6,0,0,18,434
2024-03-01 07:20:00,49,50,136,7,139,52,11,12,0,0,11,467
2024-03-01 07:30:00,53,52,129,2,131,50,7,6,0,0,18,448
2024-03-01 07:40:00,44,44,146,9,150,56,9,9,0,0,12,479
2024-03-01 07:50:00,47,48,129,12,135,56,9,9,0,0,16,461
