datetime,D11Z,D12Z,D13Z,D14Z,D15Z,D21Z,D22Z,D23Z,D24Z,D25Z,D26Z,D31Z,D32Z,D33Z,D34Z,D35Z,D36Z,D37Z,D41Z,D42Z,D43Z,D44Z,D45Z,D46Z,D47Z,D48Z,V10Z,V20Z,V30Z,V40Z,Total
2024-03-01 01:00:00,1,4,0,1,1,1,0,0,4,3,1,2,3,8,2,3,3,4,3,3,3,3,1,1,1,2,0,0,0,0,58
2024-03-01 01:10:00,2,5,0,0,0,0,3,0,1,1,0,2,2,3,3,3,1,3,2,2,2,2,4,0,1,1,0,0,0,0,43
2024-03-01 01:20:00,3,3,0,0,0,0,0,0,0,0,0,1,2,1,2,5,2,5,2,2,2,2,0,0,0,1,0,0,0,0,33
2024-03-01 01:30:00,1,4,2,1,1,1,0,0,1,1,0,1,1,1,0,2,0,2,0,1,1,1,4,1,2,0,0,2,0,0,31
2024-03-01 01:40:00,3,3,0,1,1,1,1,0,0,0,0,3,2,2,4,3,1,3,0,3,3,3,3,0,0,1,0,0,0,0,41
2024-03-01 01:50:00,4,2,0,1,1,1,1,0,2,2,0,1,1,4,2,11,0,11,0,4,4,4,0,0,0,2,0,0,0,0,58
2024-03-01 02:00:00,2,2,1,1,1,1,0,0,1,1,0,2,2,4,1,3,0,3,0,4,4,4,0,0,1,1,0,0,0,0,39
2024-03-01 02:10:00,0,2,0,0,0,0,3,1,1,1,0,2,2,1,0,0,0,0,0,1,1,1,2,1,2,0,0,0,0,0,21
2024-03-01 02:20:00,1,0,0,0,0,0,0,0,2,2,0,1,1,5,1,3,0,3,0,5,5,5,2,0,2,1,0,0,0,0,39
2024-03-01 02:30:00,1,7,2,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,3,5,5,4,2,1,1,0,0,0,0,0,37
2024-03-01 02:40:00,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,0,2,0,0,0,0,2,0,2,2,0,0,0,0,16
2024-03-01 02:50:00,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,5,4,5,2,0,0,1,0,0,0,0,26
2024-03-01 03:00:00,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,2,2,6,0,1,0,0,0,0,0,19
2024-03-01 03:10:00,2,3,1,0,0,0,1,0,1,1,0,0,0,2,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,18
2024-03-01 03:20:00,2,4,1,0,0,0,0,0,0,0,0,2,2,0,1,3,0,3,0,1,1,1,2,0,1,1,0,0,0,0,25
2024-03-01 03:30:00,1,6,2,0,0,0,0,0,2,2,0,1,2,2,1,5,1,6,1,2,2,2,3,0,2,1,0,0,0,0,44
2024-03-01 03:40:00,1,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,0,4,4,4,5,0,1,0,0,0,0,0,29
2024-03-01 03:50:00,1,3,0,1,1,1,1,0,1,1,0,0,0,3,1,2,2,2,0,5,5,5,2,0,3,0,0,0,0,0,40
2024-03-01 04:00:00,2,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,2,2,2,4,4,4,4,1,4,1,0,0,0,0,46
2024-03-01 04:10:00,2,1,0,0,0,0,0,0,0,0,0,6,4,2,2,2,0,1,0,1,1,1,3,0,1,3,0,0,0,0,30
2024-03-01 04:20:00,1,3,1,1,1,1,0,0,0,0,0,6,6,2,0,4,0,4,0,5,5,5,2,1,1,2,0,0,0,0,51
2024-03-01 04:30:00,3,5,1,1,1,1,1,2,1,1,1,3,3,7,3,8,0,9,0,4,4,4,2,1,5,3,0,0,0,0,74
2024-03-01 04:40:00,3,0,0,0,0,0,1,2,1,2,1,6,5,8,4,4,1,5,1,6,5,6,9,0,1,2,0,0,0,5,78
2024-03-01 04:50:00,0,9,0,0,0,0,2,0,2,2,1,3,3,9,0,11,0,11,0,10,9,10,14,1,4,6,0,0,0,0,107
2024-03-01 05:00:00,5,4,0,0,0,0,1,1,1,2,1,8,7,5,2,13,2,13,2,7,7,7,11,2,1,4,0,0,0,0,106
2024-03-01 05:10:00,2,8,1,1,1,1,0,0,5,6,1,6,9,9,3,16,1,18,2,10,9,10,10,1,2,6,0,0,0,0,138
2024-03-01 05:20:00,4,10,1,1,1,1,4,0,5,5,1,13,14,17,6,31,12,31,12,20,20,23,16,2,8,12,0,0,0,1,271
2024-03-01 05:30:00,4,8,4,1,1,1,10,5,3,6,1,16,15,17,4,26,15,27,14,25,16,27,17,1,11,18,1,2,0,0,296
2024-03-01 05:40:00,8,22,5,1,2,2,14,2,3,4,1,10,11,20,5,38,22,38,22,34,20,30,22,3,8,10,0,1,0,0,358
2024-03-01 05:50:00,6,14,8,2,2,2,7,1,9,9,0,11,11,23,5,43,17,43,17,31,24,33,24,3,5,15,0,1,0,0,366
2024-03-01 06:00:00,5,24,5,2,2,2,5,1,4,4,1,12,11,24,16,43,19,43,19,33,25,33,38,3,10,17,3,1,0,0,405
2024-03-01 06:10:00,9,30,9,4,4,4,12,8,8,9,1,23,24,24,9,40,25,42,26,34,20,32,20,8,9,23,0,3,0,0,460
2024-03-01 06:20:00,19,24,11,4,4,4,24,1,22,21,0,22,21,23,17,40,28,43,30,33,20,35,39,5,14,25,0,2,0,0,531
2024-03-01 06:30:00,24,30,12,8,8,7,17,2,10,11,1,34,34,32,24,49,36,51,35,44,25,44,37,4,13,21,2,1,0,0,616
2024-03-01 06:40:00,18,32,14,9,9,10,19,2,22,21,5,26,28,38,26,57,50,56,50,51,22,49,42,5,18,22,1,2,0,2,706
2024-03-01 06:50:00,21,33,18,7,7,7,22,3,21,24,0,36,33,44,37,53,50,55,49,58,19,57,39,4,15,23,2,3,0,0,740
2024-03-01 07:00:00,18,39,19,3,4,4,16,2,19,19,2,45,46,43,32,67,49,74,53,49,20,54,54,6,19,20,2,9,0,3,790
2024-03-01 07:10:00,25,43,19,7,6,6,26,2,24,26,5,60,75,35,46,73,79,70,77,58,23,54,69,5,20,34,0,6,0,1,974
2024-03-01 07:20:00,25,63,25,12,12,11,23,2,30,29,0,54,58,35,52,59,76,62,75,57,20,63,51,7,23,22,4,3,0,8,961
2024-03-01 07:30:00,29,46,25,12,15,14,21,4,31,31,1,59,58,56,46,86,93,89,94,65,17,66,68,10,50,33,0,6,0,1,1126
2024-03-01 07:40:00,27,47,41,26,26,21,45,2,38,40,3,45,60,51,67,68,80,66,78,67,17,60,63,17,48,30,0,8,0,6,1147
2024-03-01 07:50:00,37,105,28,27,25,18,32,0,52,54,5,63,78,51,70,65,77,69,74,55,19,58,52,12,38,24,2,0,0,7,1197
2024-03-01 08:00:00,21,35,37,22,20,16,25,4,34,35,3,75,73,67,40,56,58,56,57,64,19,61,42,9,25,18,2,8,0,3,985
2024-03-01 08:10:00,23,52,36,20,21,19,21,3,23,25,2,48,51,36,54,63,68,66,71,52,26,51,47,8,31,23,3,9,0,1,953
2024-03-01 08:20:00,20,41,23,15,16,15,22,1,20,20,0,45,44,47,58,68,52,68,51,60,23,58,51,11,27,27,0,0,0,14,897
2024-03-01 08:30:00,24,44,20,11,12,12,22,6,34,32,3,39,35,43,37,57,50,61,55,40,16,44,52,11,36,24,1,6,0,0,827
2024-03-01 08:40:00,27,32,25,17,15,14,18,1,36,35,3,38,41,44,49,71,66,71,60,48,27,45,39,5,40,15,0,0,0,6,888
2024-03-01 08:50:00,38,38,20,18,18,18,19,1,34,37,1,50,48,34,53,53,58,51,61,50,19,52,50,8,43,14,4,7,0,1,898
2024-03-01 09:00:00,27,33,19,14,12,12,13,2,40,37,4,42,39,43,38,47,37,50,37,58,19,56,49,8,25,15,0,0,0,0,776
2024-03-01 09:10:00,28,29,32,11,11,12,13,2,24,25,3,35,37,40,30,48,35,48,38,47,27,46,50,12,32,17,0,2,0,0,734
2024-03-01 09:20:00,21,40,26,15,14,13,20,3,36,47,4,36,33,40,38,56,46,56,46,46,22,48,55,7,37,29,0,1,0,0,835
2024-03-01 09:30:00,31,38,27,9,9,9,11,2,38,36,3,35,38,51,44,45,37,45,36,48,13,49,47,13,29,21,0,0,0,9,773
2024-03-01 09:40:00,32,45,19,15,16,16,16,0,32,35,3,46,45,37,54,49,44,50,43,42,21,43,34,8,39,21,0,0,0,6,811
2024-03-01 09:50:00,23,42,24,15,15,15,8,1,41,39,0,24,24,41,56,35,34,40,32,36,16,37,63,14,40,19,0,1,0,0,735
