datetime,D21Z,D22Z,V23Z,V24Z,V51Z,D81Z,V82Z,V111Z,V112Z,Total
2024-03-01 01:00:00,1,0,1,1,4,3,0,0,0,10
2024-03-01 01:10:00,0,0,0,0,3,0,1,0,0,4
2024-03-01 01:20:00,0,1,0,1,3,0,0,0,0,5
2024-03-01 01:30:00,0,0,0,0,3,0,0,0,0,3
2024-03-01 01:40:00,0,1,0,1,5,2,2,0,0,11
2024-03-01 01:50:00,0,0,0,0,6,1,0,0,0,7
2024-03-01 02:00:00,0,0,0,0,4,0,0,0,1,5
2024-03-01 02:10:00,0,0,0,0,3,0,0,0,0,3
2024-03-01 02:20:00,0,0,0,0,5,0,0,0,0,5
2024-03-01 02:30:00,0,0,0,0,4,0,0,0,0,4
2024-03-01 02:40:00,0,0,0,0,1,0,0,0,0,1
2024-03-01 02:50:00,0,1,0,0,6,0,0,0,0,7
2024-03-01 03:00:00,1,1,1,3,4,0,0,0,0,10
2024-03-01 03:10:00,0,0,0,1,2,0,0,0,0,3
2024-03-01 03:20:00,0,0,0,0,4,0,0,0,0,4
2024-03-01 03:30:00,0,1,1,1,5,0,0,0,0,8
2024-03-01 03:40:00,0,0,0,0,5,1,0,0,1,7
2024-03-01 03:50:00,0,0,0,0,1,0,0,0,1,2
2024-03-01 04:00:00,0,0,0,0,6,0,0,0,3,9
2024-03-01 04:10:00,0,0,0,0,8,1,2,0,1,12
2024-03-01 04:20:00,0,0,0,0,6,0,0,0,0,6
2024-03-01 04:30:00,0,0,0,0,9,0,0,0,0,9
2024-03-01 04:40:00,0,1,0,0,18,0,0,0,0,19
2024-03-01 04:50:00,0,1,0,1,19,1,1,0,4,27
2024-03-01 05:00:00,1,0,1,1,30,0,0,0,4,37
2024-03-01 05:10:00,1,0,1,1,23,0,0,0,10,36
2024-03-01 05:20:00,1,1,1,1,34,0,0,0,5,43
2024-03-01 05:30:00,1,2,3,5,29,2,1,0,1,44
2024-03-01 05:40:00,0,1,0,1,26,0,0,0,1,29
2024-03-01 05:50:00,1,1,2,2,30,2,1,0,2,41
2024-03-01 06:00:00,0,2,0,3,17,1,1,0,2,26
2024-03-01 06:10:00,0,3,0,4,35,6,7,0,3,58
2024-03-01 06:20:00,3,4,5,5,25,2,2,0,8,54
2024-03-01 06:30:00,1,8,1,10,25,7,5,0,9,66
2024-03-01 06:40:00,3,6,4,10,35,3,3,0,5,69
2024-03-01 06:50:00,3,3,6,10,35,9,10,0,7,83
2024-03-01 07:00:00,2,5,2,10,21,5,4,0,8,57
2024-03-01 07:10:00,8,11,6,20,20,8,8,7,6,94
2024-03-01 07:20:00,6,9,5,13,19,14,11,5,8,90
2024-03-01 07:30:00,10,13,7,8,20,6,10,14,16,104
2024-03-01 07:40:00,17,7,13,23,11,35,17,8,30,161
2024-03-01 07:50:00,11,19,10,11,19,19,8,8,18,123
2024-03-01 08:00:00,16,16,6,13,20,14,14,19,8,126
2024-03-01 08:10:00,11,17,7,12,29,12,12,9,17,126
2024-03-01 08:20:00,9,13,10,12,11,11,18,13,29,126
2024-03-01 08:30:00,10,16,8,15,23,10,11,11,8,112
2024-03-01 08:40:00,5,8,5,14,30,8,6,23,13,112
2024-03-01 08:50:00,9,12,8,13,33,6,8,8,12,109
2024-03-01 09:00:00,4,6,3,9,37,8,11,7,14,99
2024-03-01 09:10:00,4,13,4,9,27,3,4,0,6,70
2024-03-01 09:20:00,12,15,8,16,28,8,9,17,19,132
