datetime,V33Z,V34Z,V51Z,V52Z,D71Z,V111Z,V112Z,D121Z,V10Z,V20Z,D11Z,D12Z,D31Z,D32Z,V122Z,Total
2024-03-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 01:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 01:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 01:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 01:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 03:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 03:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 03:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 03:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 04:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 04:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 04:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 04:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 04:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 05:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 05:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 05:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 05:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 05:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 06:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 06:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 06:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 06:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 06:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 07:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 07:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 07:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 07:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 07:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
