datetime,D11Z,D12Z,V13Z,V14Z,V15Z,D21Z,D22Z,V23Z,V24Z,D31Z,D32Z,V33Z,V34Z,V37Z,D41Z,D42Z,V43Z,V44Z,D35Z,D36Z,Total
2024-03-01 01:00:00,1,2,1,2,2,1,3,1,3,2,3,4,3,2,3,2,2,2,0.0,0.0,39.0
2024-03-01 01:10:00,0,3,0,3,3,1,1,2,1,2,4,2,4,2,3,2,1,0,0.0,0.0,34.0
2024-03-01 01:20:00,1,1,1,2,1,0,1,0,4,2,4,4,3,2,3,3,0,0,0.0,0.0,32.0
2024-03-01 01:30:00,1,7,7,9,7,1,3,3,3,2,2,3,2,2,2,1,0,0,0.0,0.0,55.0
2024-03-01 01:40:00,1,1,2,3,1,0,0,0,0,0,2,0,3,0,2,2,0,0,0.0,0.0,17.0
2024-03-01 01:50:00,1,1,1,1,1,0,4,0,3,5,6,7,7,5,4,3,1,2,0.0,0.0,52.0
2024-03-01 02:00:00,2,2,2,2,2,0,1,0,1,1,2,2,3,1,2,3,0,1,0.0,0.0,27.0
2024-03-01 02:10:00,1,2,2,2,2,1,0,2,0,0,4,3,7,0,4,3,1,2,0.0,0.0,36.0
2024-03-01 02:20:00,1,4,3,5,5,0,1,0,2,0,0,0,0,0,0,0,1,1,0.0,0.0,23.0
2024-03-01 02:30:00,2,4,7,4,4,0,0,0,0,1,0,1,0,1,1,0,1,1,0.0,0.0,27.0
2024-03-01 02:40:00,0,3,3,3,3,0,1,0,1,0,2,1,2,0,1,1,0,0,0.0,0.0,21.0
2024-03-01 02:50:00,0,0,0,0,0,1,2,0,0,1,2,2,4,1,2,1,0,0,0.0,0.0,16.0
2024-03-01 03:00:00,0,3,2,4,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,15.0
2024-03-01 03:10:00,1,3,2,3,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0,0.0,15.0
2024-03-01 03:20:00,1,6,3,8,5,0,0,0,0,1,4,4,9,1,4,3,0,0,0.0,0.0,49.0
2024-03-01 03:30:00,1,3,2,4,3,0,1,0,0,3,4,2,4,3,5,5,0,0,0.0,0.0,40.0
2024-03-01 03:40:00,0,5,6,6,4,0,1,0,3,0,1,0,1,0,1,1,0,0,0.0,0.0,29.0
2024-03-01 03:50:00,0,1,0,1,1,0,1,0,1,2,1,3,0,2,0,0,0,0,0.0,0.0,13.0
2024-03-01 04:00:00,0,1,1,1,1,0,0,0,0,1,2,1,1,1,2,1,2,1,0.0,0.0,16.0
2024-03-01 04:10:00,0,3,1,4,3,0,1,0,2,3,3,2,4,3,3,2,0,1,0.0,0.0,35.0
2024-03-01 04:20:00,1,1,1,1,1,0,1,0,3,2,2,3,2,2,2,1,0,1,0.0,0.0,24.0
2024-03-01 04:30:00,4,1,4,2,1,0,2,0,1,2,9,3,13,2,8,8,1,1,0.0,0.0,62.0
2024-03-01 04:40:00,4,1,4,2,2,0,4,0,4,3,5,4,11,3,5,3,0,2,0.0,0.0,57.0
2024-03-01 04:50:00,3,3,4,4,3,0,1,0,2,4,8,5,9,4,8,6,0,3,0.0,0.0,67.0
2024-03-01 05:00:00,1,2,2,5,1,2,3,4,3,7,17,7,19,8,16,18,0,0,0.0,0.0,115.0
2024-03-01 05:10:00,2,9,5,11,8,1,2,0,0,7,14,7,17,7,16,14,3,3,0.0,0.0,126.0
2024-03-01 05:20:00,1,4,5,6,6,2,1,2,0,14,22,17,27,18,23,21,0,2,0.0,0.0,171.0
2024-03-01 05:30:00,1,17,7,22,16,1,3,1,2,24,34,19,39,24,32,31,1,2,0.0,0.0,276.0
2024-03-01 05:40:00,6,14,12,24,13,0,2,0,4,30,51,34,52,30,49,44,2,1,0.0,0.0,368.0
2024-03-01 05:50:00,3,16,10,22,16,7,1,4,3,34,36,28,31,35,37,35,1,2,0.0,0.0,321.0
2024-03-01 06:00:00,3,20,13,19,19,2,2,2,2,30,38,25,40,29,35,34,4,4,0.0,0.0,321.0
