datetime,V21Z,V22Z,V81Z,V82Z,V321Z,Total
2024-03-01 01:00:00,1,4,0,2,0,7
2024-03-01 01:10:00,0,5,2,2,0,9
2024-03-01 01:20:00,0,1,2,3,0,6
2024-03-01 01:30:00,1,8,1,3,0,13
2024-03-01 01:40:00,2,2,0,2,0,6
2024-03-01 01:50:00,0,3,2,3,0,8
2024-03-01 02:00:00,2,1,2,1,0,6
2024-03-01 02:10:00,1,2,0,3,0,6
2024-03-01 02:20:00,1,5,0,0,0,6
2024-03-01 02:30:00,1,4,0,0,0,5
2024-03-01 02:40:00,1,2,0,1,0,4
2024-03-01 02:50:00,0,0,0,1,0,1
2024-03-01 03:00:00,1,4,0,0,0,5
2024-03-01 03:10:00,0,3,0,0,0,3
2024-03-01 03:20:00,1,8,0,3,0,12
2024-03-01 03:30:00,0,4,1,4,0,9
2024-03-01 03:40:00,1,6,1,2,0,10
2024-03-01 03:50:00,0,1,0,0,0,1
2024-03-01 04:00:00,0,1,1,2,0,4
2024-03-01 04:10:00,1,4,4,4,0,13
2024-03-01 04:20:00,1,1,3,1,0,6
2024-03-01 04:30:00,2,2,2,7,0,13
2024-03-01 04:40:00,3,1,1,3,0,8
2024-03-01 04:50:00,1,5,7,6,0,19
2024-03-01 05:00:00,1,0,7,16,0,24
2024-03-01 05:10:00,1,9,5,13,0,28
2024-03-01 05:20:00,0,6,15,20,0,41
2024-03-01 05:30:00,1,17,29,20,0,67
2024-03-01 05:40:00,5,19,28,32,0,84
2024-03-01 05:50:00,2,20,31,23,0,76
2024-03-01 06:00:00,2,21,31,31,0,85
2024-03-01 06:10:00,7,25,31,21,1,85
2024-03-01 06:20:00,4,25,39,28,0,96
2024-03-01 06:30:00,1,20,40,25,0,86
2024-03-01 06:40:00,3,20,44,35,0,102
2024-03-01 06:50:00,6,26,43,35,0,110
2024-03-01 07:00:00,3,21,55,31,4,114
2024-03-01 07:10:00,1,23,54,37,3,118
2024-03-01 07:20:00,3,24,60,48,3,138
2024-03-01 07:30:00,7,29,69,56,3,164
2024-03-01 07:40:00,3,35,56,47,3,144
2024-03-01 07:50:00,7,21,68,49,5,150
2024-03-01 08:00:00,15,22,64,44,9,154
2024-03-01 08:10:00,9,30,55,40,5,139
2024-03-01 08:20:00,4,20,64,56,5,149
2024-03-01 08:30:00,2,33,45,43,5,128
2024-03-01 08:40:00,5,25,56,47,5,138
2024-03-01 08:50:00,0,25,58,44,6,133
2024-03-01 09:00:00,1,27,51,50,4,133
2024-03-01 09:10:00,3,35,51,44,4,137
2024-03-01 09:20:00,1,24,37,48,5,115
2024-03-01 09:30:00,3,30,51,49,8,141
2024-03-01 09:40:00,8,31,40,34,10,123
2024-03-01 09:50:00,8,40,39,48,8,143
2024-03-01 10:00:00,8,42,32,41,5,128
2024-03-01 10:10:00,7,44,36,45,5,137
2024-03-01 10:20:00,2,35,40,37,6,120
2024-03-01 10:30:00,0,40,36,43,4,123
2024-03-01 10:40:00,0,36,30,45,6,117
2024-03-01 10:50:00,6,44,32,51,2,135
2024-03-01 11:00:00,4,32,33,41,6,116
2024-03-01 11:10:00,4,39,35,48,4,130
2024-03-01 11:20:00,7,44,38,43,4,136
2024-03-01 11:30:00,3,34,44,56,7,144
2024-03-01 11:40:00,0,40,32,42,5,119
2024-03-01 11:50:00,8,40,27,40,6,121
2024-03-01 12:00:00,4,36,34,54,6,134
2024-03-01 12:10:00,2,47,35,49,6,139
2024-03-01 12:20:00,11,34,32,37,6,120
2024-03-01 12:30:00,13,43,36,49,4,145
2024-03-01 12:40:00,2,36,29,47,7,121
2024-03-01 12:50:00,9,25,29,48,7,118
2024-03-01 13:00:00,12,41,36,46,7,142
2024-03-01 13:10:00,5,38,33,51,9,136
2024-03-01 13:20:00,15,30,38,51,7,141
2024-03-01 13:30:00,20,35,36,38,6,135
2024-03-01 13:40:00,5,30,34,41,9,119
2024-03-01 13:50:00,30,37,37,50,8,162
2024-03-01 14:00:00,10,40,27,51,6,134
2024-03-01 14:10:00,9,44,33,45,8,139
2024-03-01 14:20:00,11,51,36,47,5,150
2024-03-01 14:30:00,16,39,24,44,4,127
2024-03-01 14:40:00,11,41,34,50,5,141
2024-03-01 14:50:00,30,41,31,40,5,147
2024-03-01 15:00:00,36,42,20,51,5,154
2024-03-01 15:10:00,35,43,38,34,6,156
2024-03-01 15:20:00,41,32,26,33,5,137
2024-03-01 15:30:00,27,32,36,43,6,144
2024-03-01 15:40:00,32,35,26,47,9,149
2024-03-01 15:50:00,32,37,25,46,4,144
2024-03-01 16:00:00,36,38,27,45,7,153
2024-03-01 16:10:00,31,23,23,45,5,127
2024-03-01 16:20:00,29,35,19,49,6,138
2024-03-01 16:30:00,30,32,26,48,8,144
2024-03-01 16:40:00,23,34,19,39,9,124
2024-03-01 16:50:00,30,33,33,44,5,145
2024-03-01 17:00:00,41,48,31,41,7,168
2024-03-01 17:10:00,25,26,34,42,9,136
2024-03-01 17:20:00,31,35,30,35,7,138
2024-03-01 17:30:00,32,34,25,39,6,136
2024-03-01 17:40:00,29,33,19,37,4,122
2024-03-01 17:50:00,26,21,26,39,7,119
2024-03-01 18:00:00,29,30,14,37,7,117
2024-03-01 18:10:00,23,27,31,41,7,129
2024-03-01 18:20:00,32,30,22,35,2,121
2024-03-01 18:30:00,30,29,20,34,3,116
2024-03-01 18:40:00,25,29,17,23,3,97
2024-03-01 18:50:00,21,41,9,27,3,101
2024-03-01 19:00:00,20,28,19,29,6,102
2024-03-01 19:10:00,4,26,14,24,7,75
2024-03-01 19:20:00,3,30,6,27,2,68
2024-03-01 19:30:00,4,42,14,32,2,94
2024-03-01 19:40:00,2,17,13,22,3,57
2024-03-01 19:50:00,2,28,11,33,1,75
2024-03-01 20:00:00,2,34,13,25,5,79
2024-03-01 20:10:00,1,45,6,24,0,76
2024-03-01 20:20:00,1,28,13,23,1,66
2024-03-01 20:30:00,0,39,6,23,2,70
2024-03-01 20:40:00,8,33,3,20,4,68
2024-03-01 20:50:00,7,31,6,22,1,67
2024-03-01 21:00:00,4,38,8,16,2,68
2024-03-01 21:10:00,0,40,7,26,3,76
2024-03-01 21:20:00,0,40,7,23,1,71
2024-03-01 21:30:00,0,31,11,19,2,63
2024-03-01 21:40:00,3,34,6,24,2,69
2024-03-01 21:50:00,1,32,8,18,0,59
2024-03-01 22:00:00,0,29,5,23,0,57
2024-03-01 22:10:00,0,31,5,18,0,54
2024-03-01 22:20:00,0,37,3,17,0,57
2024-03-01 22:30:00,0,22,3,19,0,44
2024-03-01 22:40:00,0,30,5,15,0,50
2024-03-01 22:50:00,2,22,7,25,1,57
2024-03-01 23:00:00,0,18,4,18,0,40
2024-03-01 23:10:00,1,30,5,17,0,53
2024-03-01 23:20:00,1,25,1,22,0,49
2024-03-01 23:30:00,0,23,7,15,0,45
2024-03-01 23:40:00,0,33,2,14,0,49
2024-03-01 23:50:00,0,22,5,11,0,38
2024-03-02 00:00:00,0,17,3,16,0,36
2024-03-02 00:10:00,0,16,12,16,0,44
2024-03-02 00:20:00,0,17,11,13,0,41
2024-03-02 00:30:00,0,23,5,12,0,40
2024-03-02 00:40:00,0,14,4,5,0,23
2024-03-02 00:50:00,0,9,6,7,0,22
2024-03-02 01:00:00,1,5,3,6,0,15
2024-03-02 01:10:00,0,8,2,4,0,14
2024-03-02 01:20:00,0,12,4,4,0,20
2024-03-02 01:30:00,0,5,2,7,0,14
2024-03-02 01:40:00,0,9,4,10,0,23
2024-03-02 01:50:00,0,8,1,2,0,11
2024-03-02 02:00:00,0,6,2,4,0,12
2024-03-02 02:10:00,1,9,2,4,0,16
2024-03-02 02:20:00,0,15,1,0,0,16
2024-03-02 02:30:00,0,8,0,4,0,12
2024-03-02 02:40:00,0,10,0,1,0,11
2024-03-02 02:50:00,0,2,0,5,0,7
2024-03-02 03:00:00,0,0,0,1,0,1
2024-03-02 03:10:00,0,6,3,7,0,16
2024-03-02 03:20:00,0,8,1,2,0,11
2024-03-02 03:30:00,0,6,1,2,0,9
2024-03-02 03:40:00,0,6,2,1,0,9
2024-03-02 03:50:00,0,4,0,5,0,9
2024-03-02 04:00:00,3,3,0,4,0,10
2024-03-02 04:10:00,0,3,3,5,0,11
2024-03-02 04:20:00,1,4,1,1,0,7
