datetime,V32Z,V2Z,V8Z,Total
2024-03-01 01:00:00,0,0,0,0
2024-03-01 01:10:00,0,0,3,3
2024-03-01 01:20:00,0,3,0,3
2024-03-01 01:30:00,0,0,1,1
2024-03-01 01:40:00,0,2,2,4
2024-03-01 01:50:00,0,0,2,2
2024-03-01 02:00:00,0,0,2,2
2024-03-01 02:10:00,0,0,1,1
2024-03-01 02:20:00,0,1,0,1
2024-03-01 02:30:00,0,0,0,0
2024-03-01 02:40:00,0,0,0,0
2024-03-01 02:50:00,0,0,0,0
2024-03-01 03:00:00,0,0,0,0
2024-03-01 03:10:00,0,1,2,3
2024-03-01 03:20:00,0,0,0,0
2024-03-01 03:30:00,1,1,0,2
2024-03-01 03:40:00,0,2,1,3
2024-03-01 03:50:00,0,0,1,1
2024-03-01 04:00:00,0,2,4,6
2024-03-01 04:10:00,0,1,1,2
2024-03-01 04:20:00,0,2,3,5
2024-03-01 04:30:00,0,0,8,8
2024-03-01 04:40:00,0,1,0,1
2024-03-01 04:50:00,0,4,1,5
2024-03-01 05:00:00,1,0,3,4
2024-03-01 05:10:00,0,3,4,7
2024-03-01 05:20:00,0,2,2,4
2024-03-01 05:30:00,0,0,6,6
2024-03-01 05:40:00,0,6,8,14
2024-03-01 05:50:00,0,5,5,10
2024-03-01 06:00:00,1,4,7,12
2024-03-01 06:10:00,1,2,12,15
2024-03-01 06:20:00,2,4,12,18
2024-03-01 06:30:00,0,9,7,16
2024-03-01 06:40:00,1,11,12,24
2024-03-01 06:50:00,0,12,23,35
2024-03-01 07:00:00,3,23,22,48
2024-03-01 07:10:00,3,12,20,35
2024-03-01 07:20:00,8,20,33,61
2024-03-01 07:30:00,13,24,40,77
2024-03-01 07:40:00,12,26,30,68
2024-03-01 07:50:00,8,40,40,88
2024-03-01 08:00:00,6,23,32,61
2024-03-01 08:10:00,10,20,30,60
2024-03-01 08:20:00,5,21,23,49
2024-03-01 08:30:00,6,27,32,65
2024-03-01 08:40:00,6,23,32,61
2024-03-01 08:50:00,6,15,32,53
2024-03-01 09:00:00,5,21,27,53
2024-03-01 09:10:00,6,14,20,40
2024-03-01 09:20:00,14,25,22,61
2024-03-01 09:30:00,12,16,20,48
2024-03-01 09:40:00,9,22,33,64
2024-03-01 09:50:00,4,25,32,61
2024-03-01 10:00:00,3,23,26,52
2024-03-01 10:10:00,3,25,20,48
2024-03-01 10:20:00,5,20,26,51
2024-03-01 10:30:00,7,21,23,51
2024-03-01 10:40:00,5,29,31,65
2024-03-01 10:50:00,3,23,27,53
2024-03-01 11:00:00,6,23,28,57
2024-03-01 11:10:00,4,18,25,47
2024-03-01 11:20:00,6,26,27,59
2024-03-01 11:30:00,6,17,34,57
2024-03-01 11:40:00,5,25,30,60
2024-03-01 11:50:00,8,21,27,56
2024-03-01 12:00:00,6,31,28,65
2024-03-01 12:10:00,8,23,21,52
2024-03-01 12:20:00,19,22,47,88
2024-03-01 12:30:00,7,30,23,60
2024-03-01 12:40:00,6,20,30,56
2024-03-01 12:50:00,2,34,31,67
2024-03-01 13:00:00,8,18,35,61
2024-03-01 13:10:00,22,24,32,78
2024-03-01 13:20:00,11,26,30,67
2024-03-01 13:30:00,8,28,25,61
2024-03-01 13:40:00,10,23,24,57
2024-03-01 13:50:00,4,26,32,62
2024-03-01 14:00:00,12,25,29,66
2024-03-01 14:10:00,11,24,23,58
2024-03-01 14:20:00,6,26,36,68
2024-03-01 14:30:00,8,32,36,76
2024-03-01 14:40:00,11,21,32,64
2024-03-01 14:50:00,7,27,33,67
2024-03-01 15:00:00,7,24,32,63
2024-03-01 15:10:00,7,24,26,57
2024-03-01 15:20:00,10,21,30,61
2024-03-01 15:30:00,6,22,30,58
2024-03-01 15:40:00,11,38,21,70
2024-03-01 15:50:00,8,24,41,73
2024-03-01 16:00:00,10,29,32,71
2024-03-01 16:10:00,9,19,23,51
2024-03-01 16:20:00,6,20,19,45
2024-03-01 16:30:00,9,20,43,72
2024-03-01 16:40:00,10,31,28,69
