datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,V21Z,V22Z,V51Z,V52Z,V81Z,V82Z,V211Z,V212Z,V811Z,V812Z,V1111Z,V1112Z,Total
2024-03-01 01:00:00,1,2,2,2,0,0,0,1,0,1,2,1,0,1,3,10,0,0,26
2024-03-01 01:10:00,1,1,1,1,0,0,6,2,4,2,3,0,3,1,2,1,2,0,30
2024-03-01 01:20:00,1,1,2,1,0,2,1,0,1,0,0,0,1,0,2,7,0,0,19
2024-03-01 01:30:00,1,2,1,2,0,7,0,1,0,1,4,2,0,1,0,0,0,0,22
2024-03-01 01:40:00,1,0,1,1,0,0,0,3,0,1,5,0,0,1,1,7,0,0,21
2024-03-01 01:50:00,1,1,1,1,0,0,2,2,2,2,1,3,2,2,0,0,0,0,20
2024-03-01 02:00:00,0,3,1,3,0,2,2,0,1,0,0,1,2,1,1,0,0,0,17
2024-03-01 02:10:00,1,1,1,1,0,1,0,2,0,1,0,1,2,1,2,1,0,0,15
2024-03-01 02:20:00,1,1,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,8
2024-03-01 02:30:00,2,1,2,2,0,2,1,0,1,0,3,1,1,0,2,1,0,0,19
2024-03-01 02:40:00,0,2,0,2,0,2,0,1,0,1,1,4,0,1,0,3,0,0,17
2024-03-01 02:50:00,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,3,0,0,9
2024-03-01 03:00:00,3,1,3,2,0,0,0,1,0,1,3,2,1,1,1,0,0,0,19
2024-03-01 03:10:00,1,0,1,0,0,3,0,1,0,1,2,0,0,0,0,0,0,0,9
2024-03-01 03:20:00,2,3,4,3,1,0,0,2,0,2,2,2,0,3,1,2,0,0,27
2024-03-01 03:30:00,1,1,1,1,0,0,1,1,1,1,5,1,1,1,0,0,0,0,16
2024-03-01 03:40:00,2,0,2,1,0,1,0,4,1,2,6,0,0,2,0,0,0,0,21
2024-03-01 03:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4
2024-03-01 04:00:00,1,0,1,0,0,1,2,0,1,1,2,0,1,0,2,3,0,0,15
2024-03-01 04:10:00,4,0,4,1,0,1,2,3,2,3,4,0,2,3,4,1,0,0,34
2024-03-01 04:20:00,1,1,1,1,1,0,1,2,1,1,4,2,2,1,0,0,0,0,19
2024-03-01 04:30:00,3,2,2,3,0,2,2,4,3,2,4,1,2,1,1,1,0,0,33
2024-03-01 04:40:00,1,3,2,2,1,0,3,1,3,1,6,1,3,1,3,3,0,0,34
2024-03-01 04:50:00,0,3,1,3,0,0,6,3,6,4,3,3,5,1,1,4,0,0,43
2024-03-01 05:00:00,1,2,2,2,0,0,9,9,9,8,4,1,7,6,3,8,0,0,71
2024-03-01 05:10:00,7,3,5,2,0,0,8,9,9,11,8,2,6,11,5,7,0,0,93
2024-03-01 05:20:00,3,2,3,2,0,4,11,15,11,17,9,4,7,16,0,0,0,0,104
2024-03-01 05:30:00,4,5,3,7,0,4,28,11,21,22,7,10,16,18,1,7,0,0,164
2024-03-01 05:40:00,6,8,7,7,0,7,13,13,34,29,16,14,20,20,6,4,1,0,205
2024-03-01 05:50:00,4,5,5,7,0,4,12,14,24,27,11,5,15,23,1,2,0,0,159
2024-03-01 06:00:00,6,13,9,11,1,6,16,16,26,30,15,14,14,16,6,4,0,0,203
2024-03-01 06:10:00,10,11,11,13,0,10,12,14,19,30,16,13,14,20,8,10,0,0,211
2024-03-01 06:20:00,6,15,9,15,0,10,22,19,31,34,18,10,15,20,4,8,0,0,236
2024-03-01 06:30:00,6,11,8,11,2,12,19,27,37,42,10,9,27,32,4,3,1,0,261
