datetime,D11Z,D12Z,D21Z,D22Z,D52Z,D81Z,D111Z,D112Z,D113Z,D114Z,Total
2024-03-01 01:00:00,1,1,1,1,2,1,2,3,2,2,16
2024-03-01 01:10:00,0,0,3,3,4,0,2,4,2,3,21
2024-03-01 01:20:00,1,1,5,6,5,0,4,2,4,2,30
2024-03-01 01:30:00,1,1,1,2,5,0,1,2,1,3,17
2024-03-01 01:40:00,1,1,1,1,4,0,3,4,3,3,21
2024-03-01 01:50:00,1,1,1,2,1,0,2,2,2,1,13
2024-03-01 02:00:00,0,0,1,2,2,1,1,1,2,2,12
2024-03-01 02:10:00,1,1,3,4,6,0,2,6,2,5,30
2024-03-01 02:20:00,0,0,0,2,5,0,1,1,1,0,10
2024-03-01 02:30:00,1,2,3,4,5,0,1,3,1,4,24
2024-03-01 02:40:00,0,0,3,3,5,0,0,2,1,2,16
2024-03-01 02:50:00,0,0,0,1,3,0,1,1,1,1,8
2024-03-01 03:00:00,1,1,2,2,4,1,0,1,0,1,13
2024-03-01 03:10:00,0,0,0,0,0,0,1,1,1,0,3
2024-03-01 03:20:00,1,0,5,1,1,0,3,3,3,2,19
2024-03-01 03:30:00,0,0,0,0,2,0,1,2,1,1,7
2024-03-01 03:40:00,1,1,4,4,5,0,5,6,5,4,35
2024-03-01 03:50:00,1,1,1,2,1,0,4,4,4,1,19
2024-03-01 04:00:00,1,1,3,4,4,0,2,2,2,3,22
2024-03-01 04:10:00,0,0,2,3,4,0,5,2,5,2,23
2024-03-01 04:20:00,1,1,3,5,6,2,4,4,4,5,35
2024-03-01 04:30:00,2,2,5,6,2,1,7,8,4,8,45
2024-03-01 04:40:00,2,2,3,5,2,0,2,2,1,2,21
2024-03-01 04:50:00,3,3,6,8,2,0,6,4,4,5,41
2024-03-01 05:00:00,3,3,3,6,5,0,6,7,5,5,43
2024-03-01 05:10:00,3,5,7,14,11,1,11,16,12,13,93
2024-03-01 05:20:00,7,11,9,18,10,1,18,16,18,15,123
2024-03-01 05:30:00,3,3,11,17,14,5,25,19,26,16,139
2024-03-01 05:40:00,4,6,13,26,22,3,36,36,34,35,215
2024-03-01 05:50:00,15,15,11,24,17,1,36,32,37,35,223
2024-03-01 06:00:00,9,11,11,24,15,2,35,47,36,46,236
2024-03-01 06:10:00,12,15,15,34,28,3,41,49,40,45,282
2024-03-01 06:20:00,16,18,14,28,18,6,48,45,48,45,286
2024-03-01 06:30:00,14,15,14,32,17,3,50,51,50,51,297
2024-03-01 06:40:00,22,22,18,34,32,3,50,53,50,56,340
2024-03-01 06:50:00,18,17,14,30,22,4,47,51,46,50,299
2024-03-01 07:00:00,26,31,14,41,26,3,79,55,78,51,404
2024-03-01 07:10:00,25,25,22,40,33,7,63,52,67,60,394
