datetime,V51Z,V111Z,Total
2024-03-01 01:00:00,1,2,3
2024-03-01 01:10:00,0,1,1
2024-03-01 01:20:00,0,0,0
2024-03-01 01:30:00,0,3,3
2024-03-01 01:40:00,2,1,3
2024-03-01 01:50:00,1,3,4
2024-03-01 02:00:00,4,2,6
2024-03-01 02:10:00,4,2,6
2024-03-01 02:20:00,1,2,3
2024-03-01 02:30:00,1,0,1
2024-03-01 02:40:00,1,1,2
2024-03-01 02:50:00,0,0,0
2024-03-01 03:00:00,0,3,3
2024-03-01 03:10:00,0,1,1
2024-03-01 03:20:00,0,1,1
2024-03-01 03:30:00,5,0,5
2024-03-01 03:40:00,0,0,0
2024-03-01 03:50:00,2,5,7
2024-03-01 04:00:00,2,3,5
2024-03-01 04:10:00,3,3,6
2024-03-01 04:20:00,5,2,7
2024-03-01 04:30:00,3,2,5
2024-03-01 04:40:00,1,3,4
2024-03-01 04:50:00,1,4,5
2024-03-01 05:00:00,3,5,8
2024-03-01 05:10:00,5,7,12
2024-03-01 05:20:00,2,16,18
2024-03-01 05:30:00,5,10,15
2024-03-01 05:40:00,5,15,20
2024-03-01 05:50:00,8,11,19
2024-03-01 06:00:00,9,10,19
2024-03-01 06:10:00,12,21,33
2024-03-01 06:20:00,14,22,36
2024-03-01 06:30:00,16,20,36
2024-03-01 06:40:00,17,20,37
2024-03-01 06:50:00,16,22,38
2024-03-01 07:00:00,16,27,43
2024-03-01 07:10:00,18,23,41
2024-03-01 07:20:00,17,25,42
2024-03-01 07:30:00,20,26,46
2024-03-01 07:40:00,23,38,61
2024-03-01 07:50:00,33,26,59
2024-03-01 08:00:00,27,37,64
2024-03-01 08:10:00,25,22,47
2024-03-01 08:20:00,25,33,58
2024-03-01 08:30:00,31,28,59
2024-03-01 08:40:00,21,35,56
2024-03-01 08:50:00,35,32,67
2024-03-01 09:00:00,24,31,55
2024-03-01 09:10:00,23,26,49
2024-03-01 09:20:00,29,29,58
2024-03-01 09:30:00,31,36,67
2024-03-01 09:40:00,31,24,55
2024-03-01 09:50:00,27,32,59
2024-03-01 10:00:00,30,25,55
2024-03-01 10:10:00,32,33,65
2024-03-01 10:20:00,29,25,54
2024-03-01 10:30:00,23,34,57
2024-03-01 10:40:00,30,24,54
2024-03-01 10:50:00,26,32,58
2024-03-01 11:00:00,33,34,67
2024-03-01 11:10:00,29,31,60
2024-03-01 11:20:00,27,24,51
2024-03-01 11:30:00,22,30,52
2024-03-01 11:40:00,38,34,72
2024-03-01 11:50:00,24,34,58
2024-03-01 12:00:00,35,31,66
2024-03-01 12:10:00,28,34,62
2024-03-01 12:20:00,35,29,64
2024-03-01 12:30:00,29,27,56
2024-03-01 12:40:00,27,31,58
2024-03-01 12:50:00,30,25,55
2024-03-01 13:00:00,31,26,57
2024-03-01 13:10:00,32,22,54
2024-03-01 13:20:00,31,30,61
2024-03-01 13:30:00,27,30,57
