datetime,V21Z,V22Z,V81Z,V321Z,Total
2024-03-01 01:00:00,13,13,12,0,38
2024-03-01 01:10:00,8,11,9,0,28
2024-03-01 01:20:00,4,7,6,0,17
2024-03-01 01:30:00,7,6,7,0,20
2024-03-01 01:40:00,7,5,2,0,14
2024-03-01 01:50:00,7,1,1,0,9
2024-03-01 02:00:00,8,5,5,0,18
2024-03-01 02:10:00,3,2,2,0,7
2024-03-01 02:20:00,0,5,5,0,10
2024-03-01 02:30:00,4,1,1,0,6
2024-03-01 02:40:00,1,5,5,0,11
2024-03-01 02:50:00,5,2,2,0,9
2024-03-01 03:00:00,1,4,4,0,9
2024-03-01 03:10:00,2,0,0,0,2
2024-03-01 03:20:00,3,7,6,0,16
2024-03-01 03:30:00,1,5,2,0,8
2024-03-01 03:40:00,1,2,1,0,4
2024-03-01 03:50:00,5,6,10,0,21
2024-03-01 04:00:00,6,3,3,0,12
2024-03-01 04:10:00,8,17,14,0,39
2024-03-01 04:20:00,9,2,2,0,13
2024-03-01 04:30:00,6,2,2,0,10
2024-03-01 04:40:00,8,8,8,0,24
2024-03-01 04:50:00,6,12,9,1,28
2024-03-01 05:00:00,13,12,11,0,36
2024-03-01 05:10:00,13,14,13,0,40
2024-03-01 05:20:00,28,21,20,0,69
2024-03-01 05:30:00,48,29,35,0,112
2024-03-01 05:40:00,31,37,38,0,106
2024-03-01 05:50:00,39,27,38,0,104
2024-03-01 06:00:00,33,35,49,0,117
2024-03-01 06:10:00,33,32,61,0,126
2024-03-01 06:20:00,49,40,57,0,146
2024-03-01 06:30:00,40,37,63,0,140
2024-03-01 06:40:00,51,49,77,0,177
2024-03-01 06:50:00,47,60,83,0,190
2024-03-01 07:00:00,32,37,77,0,146
2024-03-01 07:10:00,28,39,80,1,148
2024-03-01 07:20:00,36,41,90,5,172
2024-03-01 07:30:00,29,29,94,3,155
2024-03-01 07:40:00,40,36,87,1,164
2024-03-01 07:50:00,48,41,97,1,187
2024-03-01 08:00:00,38,34,90,1,163
2024-03-01 08:10:00,33,37,92,0,162
2024-03-01 08:20:00,39,45,92,0,176
2024-03-01 08:30:00,46,37,85,2,170
2024-03-01 08:40:00,35,36,88,2,161
2024-03-01 08:50:00,39,34,93,5,171
2024-03-01 09:00:00,35,37,86,3,161
2024-03-01 09:10:00,45,48,78,3,174
2024-03-01 09:20:00,44,45,94,2,185
2024-03-01 09:30:00,34,40,90,2,166
2024-03-01 09:40:00,36,45,94,1,176
2024-03-01 09:50:00,53,38,92,1,184
2024-03-01 10:00:00,38,32,65,4,139
2024-03-01 10:10:00,41,47,95,7,190
2024-03-01 10:20:00,46,45,99,0,190
2024-03-01 10:30:00,35,41,78,1,155
2024-03-01 10:40:00,34,33,86,3,156
2024-03-01 10:50:00,43,38,90,2,173
2024-03-01 11:00:00,41,21,73,4,139
2024-03-01 11:10:00,21,34,80,1,136
2024-03-01 11:20:00,18,49,91,0,158
2024-03-01 11:30:00,32,33,68,1,134
2024-03-01 11:40:00,29,36,88,1,154
2024-03-01 11:50:00,23,35,72,0,130
2024-03-01 12:00:00,33,25,91,3,152
2024-03-01 12:10:00,47,39,97,0,183
2024-03-01 12:20:00,25,26,66,2,119
2024-03-01 12:30:00,10,42,86,1,139
2024-03-01 12:40:00,18,25,92,2,137
2024-03-01 12:50:00,39,23,74,10,146
2024-03-01 13:00:00,38,46,109,3,196
2024-03-01 13:10:00,3,44,106,2,155
2024-03-01 13:20:00,5,35,92,2,134
2024-03-01 13:30:00,7,38,99,5,149
2024-03-01 13:40:00,0,41,98,1,140
2024-03-01 13:50:00,35,26,88,4,153
2024-03-01 14:00:00,47,22,92,0,161
2024-03-01 14:10:00,54,45,102,2,203
2024-03-01 14:20:00,5,44,91,2,142
2024-03-01 14:30:00,42,29,90,1,162
2024-03-01 14:40:00,29,31,84,2,146
2024-03-01 14:50:00,47,50,88,2,187
2024-03-01 15:00:00,30,41,108,1,180
2024-03-01 15:10:00,54,37,108,1,200
2024-03-01 15:20:00,42,42,96,1,181
2024-03-01 15:30:00,47,34,95,3,179
2024-03-01 15:40:00,49,39,94,1,183
2024-03-01 15:50:00,45,27,96,1,169
2024-03-01 16:00:00,44,48,95,2,189
2024-03-01 16:10:00,30,31,90,4,155
2024-03-01 16:20:00,41,33,99,4,177
2024-03-01 16:30:00,39,30,89,3,161
2024-03-01 16:40:00,51,46,96,5,198
2024-03-01 16:50:00,39,37,90,6,172
2024-03-01 17:00:00,60,41,84,4,189
2024-03-01 17:10:00,43,44,119,1,207
2024-03-01 17:20:00,44,34,103,2,183
2024-03-01 17:30:00,48,33,103,2,186
2024-03-01 17:40:00,34,24,98,4,160
