datetime,V12Z,V22Z,V51Z,V52Z,V111Z,V121Z,V122Z,Total
2024-03-01 01:00:00,0,1,6,6,3,1,0,17
2024-03-01 01:10:00,0,3,6,2,2,2,0,15
2024-03-01 01:20:00,5,3,3,5,0,2,0,18
2024-03-01 01:30:00,1,3,1,5,1,3,0,14
2024-03-01 01:40:00,2,1,2,1,1,2,0,9
2024-03-01 01:50:00,1,3,5,3,0,0,0,12
2024-03-01 02:00:00,1,0,3,5,0,0,0,9
2024-03-01 02:10:00,0,2,3,4,1,2,0,12
2024-03-01 02:20:00,0,3,1,6,1,1,0,12
2024-03-01 02:30:00,2,1,2,1,1,2,0,9
2024-03-01 02:40:00,1,2,6,2,1,2,0,14
2024-03-01 02:50:00,1,2,2,3,0,1,0,9
2024-03-01 03:00:00,3,3,3,4,1,4,0,18
2024-03-01 03:10:00,1,2,0,1,0,2,0,6
2024-03-01 03:20:00,4,5,4,2,0,2,0,17
2024-03-01 03:30:00,0,2,2,9,2,6,0,21
2024-03-01 03:40:00,0,2,4,4,1,1,0,12
2024-03-01 03:50:00,0,5,4,1,0,0,0,10
2024-03-01 04:00:00,3,7,3,1,0,0,0,14
2024-03-01 04:10:00,3,7,7,1,0,0,0,18
2024-03-01 04:20:00,1,7,9,2,1,1,0,21
2024-03-01 04:30:00,0,8,6,0,1,1,0,16
2024-03-01 04:40:00,3,21,12,7,1,2,0,46
2024-03-01 04:50:00,3,20,19,1,2,2,0,47
2024-03-01 05:00:00,1,23,25,1,2,5,0,57
2024-03-01 05:10:00,9,37,19,11,2,8,0,86
2024-03-01 05:20:00,5,43,29,11,3,3,0,94
2024-03-01 05:30:00,9,57,45,8,1,2,0,122
2024-03-01 05:40:00,4,48,47,4,1,1,0,105
2024-03-01 05:50:00,8,53,32,9,1,3,0,106
2024-03-01 06:00:00,6,35,40,9,7,6,0,103
2024-03-01 06:10:00,10,33,38,13,8,8,0,110
2024-03-01 06:20:00,8,33,33,26,5,11,0,116
2024-03-01 06:30:00,17,46,44,25,10,10,0,152
2024-03-01 06:40:00,16,39,38,21,8,12,0,134
2024-03-01 06:50:00,16,42,29,24,10,11,0,132
2024-03-01 07:00:00,19,37,33,23,5,15,1,133
2024-03-01 07:10:00,15,27,23,26,6,9,2,108
2024-03-01 07:20:00,13,43,12,28,15,20,2,133
2024-03-01 07:30:00,10,35,32,25,9,14,4,129
2024-03-01 07:40:00,25,31,20,23,12,19,2,132
2024-03-01 07:50:00,25,29,16,30,17,23,2,142
2024-03-01 08:00:00,22,33,30,23,13,32,0,153
2024-03-01 08:10:00,17,30,20,27,19,31,2,146
2024-03-01 08:20:00,25,31,37,29,14,26,1,163
2024-03-01 08:30:00,25,30,32,23,15,18,0,143
2024-03-01 08:40:00,34,33,25,22,13,22,4,153
2024-03-01 08:50:00,23,29,21,24,10,23,2,132
2024-03-01 09:00:00,32,33,25,17,13,18,1,139
2024-03-01 09:10:00,22,24,26,34,8,16,2,132
2024-03-01 09:20:00,21,27,20,33,14,18,3,136
2024-03-01 09:30:00,29,32,20,18,13,18,5,135
2024-03-01 09:40:00,32,30,11,31,13,24,0,141
2024-03-01 09:50:00,32,20,17,22,8,12,2,113
2024-03-01 10:00:00,31,23,20,29,19,27,0,149
2024-03-01 10:10:00,30,31,26,26,13,21,0,147
2024-03-01 10:20:00,31,28,26,30,15,20,1,151
2024-03-01 10:30:00,27,24,29,29,13,19,0,141
2024-03-01 10:40:00,45,16,7,25,17,17,1,128
2024-03-01 10:50:00,32,21,23,35,20,27,0,158
2024-03-01 11:00:00,25,23,21,37,16,23,1,146
2024-03-01 11:10:00,46,26,24,32,17,23,1,169
2024-03-01 11:20:00,26,19,22,43,14,23,0,147
2024-03-01 11:30:00,34,22,15,34,16,21,1,143
2024-03-01 11:40:00,37,34,23,31,17,21,1,164
2024-03-01 11:50:00,33,19,24,33,11,24,1,145
2024-03-01 12:00:00,18,24,27,47,20,21,1,158
2024-03-01 12:10:00,35,20,26,47,10,26,0,164
2024-03-01 12:20:00,30,26,18,32,22,30,1,159
2024-03-01 12:30:00,19,22,38,40,16,22,0,157
2024-03-01 12:40:00,17,33,20,39,16,28,1,154
2024-03-01 12:50:00,9,28,20,32,19,22,2,132
2024-03-01 13:00:00,7,33,22,30,16,23,2,133
2024-03-01 13:10:00,7,25,15,32,8,12,0,99
2024-03-01 13:20:00,7,19,21,31,15,29,2,124
2024-03-01 13:30:00,9,35,15,38,18,26,0,141
2024-03-01 13:40:00,9,17,28,40,17,28,1,140
2024-03-01 13:50:00,11,20,12,15,16,31,2,107
2024-03-01 14:00:00,16,21,18,38,10,20,1,124
2024-03-01 14:10:00,2,22,24,39,20,29,2,138
2024-03-01 14:20:00,7,22,18,50,14,22,3,136
2024-03-01 14:30:00,0,23,20,30,25,26,0,124
2024-03-01 14:40:00,8,29,18,55,15,21,0,146
2024-03-01 14:50:00,10,30,16,54,16,19,0,145
2024-03-01 15:00:00,14,24,24,44,13,22,2,143
2024-03-01 15:10:00,11,20,19,35,28,31,0,144
2024-03-01 15:20:00,20,24,20,28,7,20,1,120
2024-03-01 15:30:00,19,29,26,53,14,28,2,171
2024-03-01 15:40:00,7,21,16,48,14,25,2,133
2024-03-01 15:50:00,5,25,13,21,11,16,3,94
2024-03-01 16:00:00,2,17,19,18,13,21,1,91
2024-03-01 16:10:00,5,20,16,30,18,25,2,116
2024-03-01 16:20:00,3,30,19,40,13,23,1,129
2024-03-01 16:30:00,4,26,22,39,16,20,0,127
2024-03-01 16:40:00,7,31,20,38,16,25,2,139
2024-03-01 16:50:00,14,27,13,18,9,19,1,101
2024-03-01 17:00:00,14,30,23,31,19,34,0,151
2024-03-01 17:10:00,19,31,19,29,15,21,2,136
2024-03-01 17:20:00,11,17,19,36,9,18,1,111
2024-03-01 17:30:00,23,30,27,54,14,23,1,172
2024-03-01 17:40:00,14,17,21,45,16,23,2,138
2024-03-01 17:50:00,24,29,23,50,11,15,0,152
2024-03-01 18:00:00,11,24,17,43,15,23,0,133
2024-03-01 18:10:00,26,26,24,32,17,25,2,152
2024-03-01 18:20:00,19,28,26,28,16,22,1,140
2024-03-01 18:30:00,21,30,26,31,14,28,3,153
2024-03-01 18:40:00,18,22,33,35,14,22,1,145
2024-03-01 18:50:00,18,30,24,35,10,24,2,143
2024-03-01 19:00:00,18,35,34,26,16,19,0,148
2024-03-01 19:10:00,18,26,32,24,13,17,1,131
2024-03-01 19:20:00,21,30,25,35,19,26,1,157
2024-03-01 19:30:00,26,15,31,26,20,22,1,141
2024-03-01 19:40:00,19,26,35,21,17,23,1,142
2024-03-01 19:50:00,17,26,26,34,18,18,1,140
2024-03-01 20:00:00,13,24,22,25,8,14,0,106
2024-03-01 20:10:00,24,22,19,32,17,26,0,140
2024-03-01 20:20:00,21,22,26,31,11,19,0,130
2024-03-01 20:30:00,25,23,24,17,9,9,1,108
2024-03-01 20:40:00,20,24,21,22,5,9,1,102
2024-03-01 20:50:00,19,22,23,21,12,12,0,109
2024-03-01 21:00:00,16,27,23,22,5,8,0,101
2024-03-01 21:10:00,13,12,20,28,10,13,1,97
2024-03-01 21:20:00,8,17,23,32,16,23,0,119
2024-03-01 21:30:00,17,13,26,21,7,8,0,92
2024-03-01 21:40:00,19,9,19,25,9,13,0,94
2024-03-01 21:50:00,15,18,15,27,15,21,0,111
2024-03-01 22:00:00,13,18,24,26,5,6,0,92
2024-03-01 22:10:00,15,19,20,19,7,9,0,89
2024-03-01 22:20:00,19,22,21,25,8,15,0,110
2024-03-01 22:30:00,17,13,21,19,7,6,0,83
2024-03-01 22:40:00,12,16,21,20,12,16,0,97
2024-03-01 22:50:00,10,16,23,24,8,14,0,95
2024-03-01 23:00:00,10,10,18,18,2,3,0,61
2024-03-01 23:10:00,12,9,6,22,8,8,0,65
2024-03-01 23:20:00,8,9,13,23,8,10,0,71
2024-03-01 23:30:00,8,11,10,19,5,11,0,64
2024-03-01 23:40:00,8,7,16,18,6,8,0,63
2024-03-01 23:50:00,11,14,15,22,6,9,0,77
2024-03-02 00:00:00,5,8,12,9,3,5,0,42
2024-03-02 00:10:00,7,4,11,10,5,9,0,46
2024-03-02 00:20:00,10,11,5,18,8,10,0,62
2024-03-02 00:30:00,9,12,7,14,5,14,1,62
2024-03-02 00:40:00,4,10,6,11,2,2,0,35
2024-03-02 00:50:00,7,2,7,8,3,3,0,30
2024-03-02 01:00:00,5,8,7,13,1,1,0,35
2024-03-02 01:10:00,3,8,5,6,2,4,1,29
2024-03-02 01:20:00,2,7,6,12,1,3,0,31
2024-03-02 01:30:00,3,1,8,5,0,1,0,18
2024-03-02 01:40:00,2,2,3,5,4,5,0,21
2024-03-02 01:50:00,1,1,9,9,4,4,0,28
