datetime,D21Z,D22Z,D23Z,V24Z,V25Z,V26Z,D31Z,V32Z,D41Z,D51Z,D52Z,V53Z,V54Z,D61Z,D62Z,V63Z,V64Z,D81Z,D82Z,V83Z,V84Z,D91Z,V92Z,D101Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,Total
2024-03-01 01:00:00,2,1,1,3,3,1,0,0,2,2,3,2,1,0,1,1,4,3,4,4,0,0,4,3,10,2,1144,1785,0,0,0,0,2986
2024-03-01 01:10:00,0,1,2,0,2,1,2,2,2,2,2,3,5,1,3,3,3,2,5,4,0,0,1,0,4,2,1001,1936,5,3,0,0,2997
2024-03-01 01:20:00,2,1,2,2,2,3,0,0,2,1,2,6,1,0,1,0,3,2,3,4,3,3,4,1,9,1,1040,1601,1,3,0,0,2703
2024-03-01 01:30:00,1,2,2,2,2,3,0,1,0,1,0,3,0,0,0,0,5,4,6,5,2,2,4,5,10,12,1095,1463,7,1,0,0,2638
2024-03-01 01:40:00,0,2,1,0,1,5,4,6,1,0,2,1,1,1,2,2,2,1,2,3,3,4,2,1,7,2,1147,1887,1,0,0,0,3091
2024-03-01 01:50:00,2,2,3,3,4,4,0,0,2,2,3,4,1,0,1,2,1,2,1,2,0,1,2,3,11,6,1087,2140,6,1,0,0,3296
2024-03-01 02:00:00,1,0,1,1,2,0,0,0,1,2,5,3,0,0,2,0,2,2,3,3,2,2,1,0,10,4,1290,2187,0,0,0,0,3524
2024-03-01 02:10:00,1,2,2,2,2,4,1,2,0,1,1,1,0,0,0,0,5,1,4,2,1,1,4,5,8,9,1263,1944,3,0,0,0,3269
2024-03-01 02:20:00,0,0,2,0,2,0,0,0,2,0,4,0,0,0,0,0,2,1,2,1,1,2,0,0,4,0,1191,1886,1,0,0,0,3101
2024-03-01 02:30:00,1,0,1,2,1,0,0,0,0,2,1,3,0,0,0,0,2,1,2,2,2,2,0,0,2,0,1197,1929,0,0,0,0,3150
2024-03-01 02:40:00,1,0,1,1,1,0,0,0,1,0,2,2,1,0,2,1,1,0,1,1,1,1,0,1,3,3,1157,1381,4,3,0,0,2570
2024-03-01 02:50:00,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,2,2,3,2,1,1,1,3,2,4,1187,2104,4,0,0,0,3322
2024-03-01 03:00:00,3,2,5,4,6,2,1,1,2,0,2,0,0,0,0,0,2,1,2,0,1,2,2,3,6,6,1157,1803,5,2,0,0,3020
2024-03-01 03:10:00,0,0,1,0,1,0,0,0,1,0,2,2,0,1,0,0,1,0,2,1,2,6,1,2,1,4,1271,1873,2,0,0,0,3174
2024-03-01 03:20:00,0,1,0,0,0,2,0,0,1,1,2,3,0,1,1,2,1,0,1,0,1,1,1,1,7,5,1109,1816,3,2,0,0,2962
2024-03-01 03:30:00,0,0,1,0,1,0,0,0,2,1,3,1,1,0,1,0,4,1,5,2,2,2,3,1,6,1,1278,2143,4,2,0,0,3465
2024-03-01 03:40:00,0,0,1,0,2,0,0,0,5,4,6,10,0,0,0,1,6,1,10,4,2,2,4,5,7,4,1169,2037,0,0,0,0,3280
2024-03-01 03:50:00,0,1,1,0,2,1,1,1,6,2,8,1,1,0,2,0,0,1,0,1,0,0,3,0,7,2,1083,1762,2,3,0,0,2891
2024-03-01 04:00:00,1,2,4,1,4,3,0,0,5,3,5,5,1,0,2,0,3,3,3,2,2,2,3,1,7,2,1211,1792,0,0,0,0,3067
2024-03-01 04:10:00,1,1,3,2,4,0,0,0,2,1,3,4,1,0,1,0,6,2,8,2,3,3,3,1,9,1,1184,1728,2,2,0,0,2977
2024-03-01 04:20:00,0,0,2,0,2,0,0,0,3,4,4,9,0,0,0,0,2,2,4,2,2,2,5,4,10,4,1390,2114,1,0,0,0,3566
2024-03-01 04:30:00,0,0,1,0,1,0,1,2,5,4,9,8,0,0,0,0,7,1,7,0,3,3,2,2,6,5,1083,1941,10,7,0,0,3108
2024-03-01 04:40:00,3,1,2,4,3,1,0,0,4,2,11,6,2,0,4,0,15,3,16,4,6,9,2,1,4,3,718,1936,10,7,0,0,2777
2024-03-01 04:50:00,4,4,7,6,9,3,0,0,4,3,12,5,4,0,5,2,14,3,16,2,4,4,4,4,13,8,871,1609,13,8,0,0,2641
2024-03-01 05:00:00,5,1,6,9,6,2,1,2,7,8,16,18,3,0,11,2,28,7,25,5,9,11,5,1,8,16,637,2074,12,12,0,0,2947
2024-03-01 05:10:00,6,2,8,5,13,3,2,3,10,14,17,29,4,0,13,5,22,10,24,7,10,11,7,2,16,7,496,1144,17,14,0,0,1921
2024-03-01 05:20:00,4,5,8,7,11,4,2,1,10,13,23,33,8,2,19,9,42,12,28,15,14,11,5,1,14,15,456,1588,19,23,0,0,2402
2024-03-01 05:30:00,3,7,14,2,12,8,2,4,17,11,34,22,8,5,13,7,57,14,31,22,19,10,6,2,15,9,590,1713,18,13,0,0,2688
2024-03-01 05:40:00,14,10,12,13,16,10,4,4,14,18,30,29,4,9,8,5,64,15,36,14,19,23,13,10,31,14,319,1778,25,19,0,0,2580
2024-03-01 05:50:00,9,1,12,8,14,3,4,6,10,29,12,26,8,2,17,5,41,24,19,10,14,12,12,11,33,24,364,1508,28,27,0,0,2293
2024-03-01 06:00:00,11,11,18,14,14,8,2,3,9,12,22,24,7,1,10,7,54,20,37,23,16,17,8,12,25,24,460,1014,44,12,0,0,1939
2024-03-01 06:10:00,9,19,22,11,20,19,4,6,20,18,26,21,9,2,15,3,49,19,50,21,22,14,14,7,29,11,215,507,22,22,0,0,1226
2024-03-01 06:20:00,17,18,25,12,29,16,8,9,27,37,19,13,10,5,12,6,32,18,18,13,30,11,15,14,20,22,233,984,25,18,0,0,1716
2024-03-01 06:30:00,14,21,22,13,25,17,6,5,17,29,28,25,10,4,15,12,51,27,23,27,31,20,26,37,28,41,249,610,23,20,3,3,1482
2024-03-01 06:40:00,18,13,16,16,17,11,10,11,31,46,28,29,11,3,8,5,43,27,33,19,39,7,19,26,33,35,470,663,27,15,0,0,1729
2024-03-01 06:50:00,14,13,25,14,25,14,14,25,31,48,19,17,11,7,12,4,44,27,29,21,44,10,25,26,29,29,498,1234,16,13,0,0,2338
2024-03-01 07:00:00,11,13,28,12,17,13,10,8,34,41,17,18,18,5,19,6,35,25,11,27,32,13,24,34,16,16,435,1493,19,10,0,0,2460
2024-03-01 07:10:00,11,20,39,11,12,13,10,4,32,52,14,15,18,10,16,14,44,30,34,22,36,12,20,28,6,15,359,1166,15,9,1,0,2088
2024-03-01 07:20:00,14,32,41,10,29,19,14,12,26,33,22,13,19,11,15,14,30,30,23,15,39,17,26,41,14,13,654,1432,11,7,0,0,2676
2024-03-01 07:30:00,14,28,44,8,18,13,24,10,30,53,16,11,22,14,14,16,29,27,17,12,40,13,34,64,8,13,326,1702,18,12,0,0,2650
2024-03-01 07:40:00,28,19,42,14,17,14,31,7,40,62,1,1,20,16,18,13,43,53,1,14,40,14,28,61,1,0,311,1209,18,9,0,0,2145
2024-03-01 07:50:00,19,20,45,15,32,18,266,10,32,47,13,19,20,46,12,8,37,44,9,22,32,10,37,74,1,1,328,528,29,12,0,0,1786
2024-03-01 08:00:00,18,21,64,16,21,9,16,8,35,60,13,20,22,9,14,10,37,36,22,20,32,11,33,57,18,10,364,508,15,9,0,0,1528
2024-03-01 08:10:00,14,18,31,12,25,13,12,8,30,44,22,18,18,11,21,12,34,25,14,15,35,11,23,37,15,21,359,1178,19,8,0,0,2103
2024-03-01 08:20:00,13,24,26,9,22,15,9,8,25,44,12,9,19,181,15,11,46,45,23,23,40,16,25,46,3,10,170,530,17,15,0,0,1451
2024-03-01 08:30:00,13,22,40,12,20,18,10,10,37,55,18,23,18,8,16,9,29,24,13,16,38,15,21,45,10,25,561,1641,23,11,0,0,2801
2024-03-01 08:40:00,23,28,47,20,23,15,11,7,30,43,23,26,13,13,15,14,53,27,18,15,59,15,31,34,15,25,604,1322,14,5,0,0,2588
2024-03-01 08:50:00,16,21,38,14,24,17,17,8,28,30,13,20,14,9,7,12,27,26,19,24,43,6,21,29,13,19,393,1428,15,5,0,0,2356
2024-03-01 09:00:00,11,16,31,12,21,12,14,9,24,34,20,18,15,5,17,6,31,21,15,13,28,12,24,31,13,19,573,837,16,8,0,0,1906
2024-03-01 09:10:00,17,26,32,13,24,14,13,8,33,39,20,17,14,10,14,13,33,20,17,13,51,7,27,24,12,20,595,1373,15,39,0,0,2553
2024-03-01 09:20:00,14,17,35,22,22,8,15,9,31,34,16,21,20,11,19,14,36,15,22,13,30,11,25,40,7,22,325,1425,23,12,0,1,2315
2024-03-01 09:30:00,13,23,30,13,20,11,15,10,27,33,9,9,14,6,11,10,36,19,17,13,58,15,27,45,14,17,663,996,11,7,0,0,2192
2024-03-01 09:40:00,25,25,34,15,28,12,7,11,34,45,12,14,13,7,14,11,40,24,22,14,33,13,21,47,7,11,442,2042,18,13,0,0,3054
2024-03-01 09:50:00,17,20,29,12,16,12,10,7,28,35,10,21,7,16,10,13,31,24,13,15,33,12,23,50,14,15,442,1022,12,10,0,0,1979
2024-03-01 10:00:00,12,23,27,12,15,13,8,6,20,36,6,10,10,8,6,7,26,12,15,10,53,16,29,22,24,19,484,1340,13,15,0,0,2297
2024-03-01 10:10:00,24,24,39,15,29,16,11,12,39,39,15,11,12,9,24,9,28,17,53,12,29,10,22,33,24,22,716,1350,17,9,0,0,2670
2024-03-01 10:20:00,17,20,34,15,21,10,10,10,32,40,15,14,11,6,13,6,61,23,20,15,41,14,22,38,22,18,454,1850,15,4,0,0,2871
2024-03-01 10:30:00,24,20,25,13,27,16,16,7,22,30,12,9,14,7,11,4,39,23,9,12,43,16,16,41,12,19,457,1393,17,5,0,0,2359
2024-03-01 10:40:00,18,21,28,14,26,14,5,5,20,23,14,10,12,10,12,15,32,21,14,8,53,16,22,36,15,19,1113,1859,7,5,0,0,3467
2024-03-01 10:50:00,16,22,31,11,17,10,14,8,37,31,14,15,15,8,13,9,35,24,13,18,50,13,26,57,0,16,627,1915,14,9,0,0,3088
2024-03-01 11:00:00,19,15,25,16,24,12,10,7,26,33,12,9,10,16,9,6,25,21,9,11,39,10,22,52,0,16,895,1465,7,3,0,0,2824
2024-03-01 11:10:00,18,14,30,14,23,10,10,8,29,35,9,7,12,17,8,10,30,20,18,15,42,18,25,35,12,12,561,1758,16,4,1,0,2821
