datetime,D11Z,V13Z,V15Z,D12Z,V14Z,V16Z,D31Z,V33Z,D32Z,V34Z,D41Z,D42Z,V43Z,V44Z,V45Z,V1Z,V2Z,V3Z,V4Z,V5Z,V6Z,Total
2024-03-01 01:00:00,5,7,8,4,5,6,4,5,2,1,4,4,5,4,0,0,0,0,0,0,0,64
2024-03-01 01:10:00,6,6,11,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2024-03-01 01:20:00,3,5,9,2,6,4,7,7,1,0,8,7,6,8,0,0,0,0,0,0,0,73
2024-03-01 01:30:00,4,6,4,4,7,7,3,5,2,0,8,8,8,7,0,0,0,0,0,0,0,73
2024-03-01 01:40:00,3,8,7,5,7,9,3,3,3,0,3,3,4,3,0,0,0,0,0,0,0,61
2024-03-01 01:50:00,0,4,0,1,4,0,3,4,3,1,4,4,3,4,0,0,0,0,0,0,0,35
2024-03-01 02:00:00,2,4,5,3,3,4,2,2,3,1,2,2,2,2,0,0,0,0,0,0,0,37
2024-03-01 02:10:00,1,3,2,1,7,0,3,3,1,0,7,7,8,6,0,0,0,0,0,0,0,49
2024-03-01 02:20:00,1,5,2,6,8,6,2,2,3,0,6,6,6,6,0,0,0,0,0,0,0,59
2024-03-01 02:30:00,3,5,6,3,4,4,1,1,3,0,1,1,1,2,0,0,0,0,0,0,0,35
2024-03-01 02:40:00,1,5,2,3,6,6,3,4,3,1,2,2,2,2,0,0,0,0,0,0,0,42
2024-03-01 02:50:00,2,4,2,4,3,5,2,2,3,0,4,4,7,4,0,0,0,0,0,0,0,46
2024-03-01 03:00:00,1,2,2,2,2,4,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,18
2024-03-01 03:10:00,1,3,2,3,4,3,2,2,2,1,9,9,8,7,0,0,0,0,0,0,0,56
2024-03-01 03:20:00,3,4,6,2,4,3,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,32
2024-03-01 03:30:00,4,5,10,1,3,0,1,1,1,0,4,4,5,4,0,0,0,0,0,0,0,43
2024-03-01 03:40:00,11,14,23,3,5,4,0,0,0,0,6,5,6,6,0,0,0,0,0,0,0,83
2024-03-01 03:50:00,5,12,10,6,8,13,3,5,2,0,4,4,5,5,0,0,0,0,0,0,0,82
2024-03-01 04:00:00,6,8,12,3,4,4,2,2,7,1,3,3,6,5,0,0,0,0,0,0,0,66
2024-03-01 04:10:00,6,9,14,5,8,9,1,1,3,1,3,3,3,3,0,0,0,0,0,0,0,69
