datetime,D21Z,V22Z,V32Z,D51Z,D52Z,D53Z,V54Z,V55Z,V56Z,D61Z,D62Z,D81Z,D82Z,V83Z,V84Z,V92Z,D111Z,D112Z,V113Z,V114Z,D121Z,V122Z,Total
2024-03-01 01:00:00,3,4,3,1,3,0,1,3,0,1,1,0,0,0,0,2,5,0,8,0,0,0,35
2024-03-01 01:10:00,2,5,0,0,3,0,1,4,0,0,0,1,2,2,3,0,4,1,4,0,0,0,32
2024-03-01 01:20:00,2,2,4,4,3,1,7,5,4,1,1,0,1,0,0,3,5,2,7,1,0,0,53
2024-03-01 01:30:00,2,0,2,2,0,0,4,0,0,1,1,2,1,4,0,0,6,2,5,1,0,0,33
2024-03-01 01:40:00,2,2,1,1,2,2,1,2,3,0,0,0,1,0,1,0,7,0,8,1,1,2,37
2024-03-01 01:50:00,3,2,3,0,4,1,0,6,3,0,0,1,2,2,6,0,7,1,7,1,0,0,49
2024-03-01 02:00:00,3,2,5,0,6,0,0,9,0,0,0,0,3,0,4,1,2,0,6,0,0,0,41
2024-03-01 02:10:00,1,1,0,2,4,0,2,3,0,0,0,1,1,1,1,0,8,1,11,2,0,0,39
2024-03-01 02:20:00,1,1,0,1,2,0,2,3,0,0,0,0,2,0,1,0,3,0,3,0,0,0,19
2024-03-01 02:30:00,0,1,2,0,2,0,0,3,0,0,0,0,1,2,2,0,0,0,0,0,0,0,13
2024-03-01 02:40:00,2,2,0,0,2,0,0,2,0,2,2,1,0,0,0,0,3,1,3,3,0,0,23
2024-03-01 02:50:00,1,0,1,0,0,0,0,1,0,1,1,0,2,0,4,3,2,1,2,1,0,0,20
2024-03-01 03:00:00,1,2,2,2,5,0,3,4,0,0,0,2,0,3,0,0,4,1,8,1,0,0,38
2024-03-01 03:10:00,1,0,0,1,2,1,1,4,2,0,0,0,2,0,4,0,4,0,6,0,0,0,28
2024-03-01 03:20:00,0,1,3,0,2,0,0,2,0,1,1,2,1,3,0,0,3,0,6,0,0,0,25
2024-03-01 03:30:00,1,1,0,0,4,0,0,5,0,0,0,4,1,6,2,0,5,1,7,0,0,0,37
2024-03-01 03:40:00,0,0,1,3,5,1,5,7,1,0,0,0,1,0,0,0,5,0,5,0,0,0,34
2024-03-01 03:50:00,0,0,0,0,8,0,1,12,0,1,1,1,1,2,0,0,5,0,6,0,0,0,38
2024-03-01 04:00:00,0,1,5,1,7,1,3,7,1,2,2,0,0,0,0,0,3,1,4,0,0,0,38
2024-03-01 04:10:00,2,2,3,1,7,1,3,9,1,0,0,0,0,0,0,0,2,1,2,1,0,0,35
2024-03-01 04:20:00,1,2,2,0,7,0,0,9,0,1,1,2,0,2,0,0,10,0,12,0,0,0,49
2024-03-01 04:30:00,0,0,0,2,6,0,2,7,0,0,0,1,1,0,0,0,7,6,10,8,1,1,52
2024-03-01 04:40:00,2,2,2,0,9,1,0,10,2,2,2,0,0,0,0,0,8,6,11,5,0,0,62
2024-03-01 04:50:00,0,0,0,1,10,4,1,11,5,0,0,2,1,2,0,0,9,7,11,9,0,0,73
2024-03-01 05:00:00,0,1,2,3,19,2,4,26,4,0,0,4,0,5,0,0,10,9,11,14,0,0,114
2024-03-01 05:10:00,0,1,1,5,24,1,7,29,1,0,0,3,0,3,0,2,17,13,20,18,0,0,145
2024-03-01 05:20:00,0,1,3,4,34,6,7,36,6,3,3,4,1,7,1,3,17,22,19,22,0,0,199
2024-03-01 05:30:00,1,2,6,4,24,3,6,22,6,4,4,2,1,1,0,3,17,22,20,18,0,0,166
2024-03-01 05:40:00,1,3,6,5,42,6,7,43,8,5,5,2,0,0,0,1,38,29,25,32,0,0,258
2024-03-01 05:50:00,3,5,6,4,38,6,8,37,13,8,8,5,4,1,8,2,37,28,33,28,0,0,282
2024-03-01 06:00:00,0,3,3,12,27,6,16,29,11,5,5,9,2,8,2,4,39,21,37,25,1,1,266
2024-03-01 06:10:00,1,0,1,5,35,13,11,36,13,10,8,15,5,12,7,4,43,36,37,46,1,2,341
2024-03-01 06:20:00,0,1,7,10,51,22,14,44,18,9,9,7,6,9,7,1,61,50,18,33,1,1,379
2024-03-01 06:30:00,4,1,2,11,57,21,17,49,25,6,5,5,3,6,5,0,61,59,47,45,1,5,435
2024-03-01 06:40:00,4,5,4,17,60,29,17,48,28,16,12,12,5,4,1,4,68,52,41,35,0,0,462
2024-03-01 06:50:00,5,4,6,22,74,35,28,48,35,9,10,3,5,4,7,5,72,44,47,41,5,7,516
2024-03-01 07:00:00,5,7,8,20,46,31,23,29,19,14,9,7,7,13,12,9,66,46,33,20,2,1,427
2024-03-01 07:10:00,8,7,12,18,61,32,20,41,26,9,8,6,11,6,17,8,83,45,24,28,1,1,472
2024-03-01 07:20:00,11,11,10,21,55,32,12,19,22,9,7,14,8,18,8,16,83,45,42,28,1,2,474
2024-03-01 07:30:00,13,13,11,22,53,32,19,27,25,14,14,15,10,15,11,14,64,62,23,27,2,2,488
2024-03-01 07:40:00,7,7,20,33,69,44,25,33,29,24,16,9,12,8,21,12,88,81,20,52,1,1,612
2024-03-01 07:50:00,12,14,14,24,56,34,13,27,21,13,11,7,17,10,23,4,75,76,20,33,1,2,507
2024-03-01 08:00:00,7,7,13,25,55,41,17,39,24,12,11,11,17,11,24,15,70,68,25,35,2,3,532
2024-03-01 08:10:00,14,12,15,22,50,34,15,30,24,10,9,9,9,13,6,14,80,55,32,35,1,2,491
2024-03-01 08:20:00,19,19,18,19,54,35,16,26,24,14,9,16,8,18,12,11,86,54,28,21,4,4,515
2024-03-01 08:30:00,7,7,11,23,56,37,17,31,24,17,13,13,17,11,19,15,55,46,16,20,3,2,460
2024-03-01 08:40:00,11,15,10,27,62,39,18,32,23,18,17,15,17,13,21,14,63,43,22,20,4,4,508
2024-03-01 08:50:00,14,13,16,30,53,33,22,30,20,8,4,12,12,17,12,11,59,41,19,23,5,5,459
2024-03-01 09:00:00,18,15,22,17,45,17,15,26,14,16,12,19,16,15,12,9,49,37,23,22,6,7,432
2024-03-01 09:10:00,16,17,10,24,46,37,20,18,20,15,10,20,11,16,10,11,60,42,20,26,3,5,457
2024-03-01 09:20:00,9,11,16,24,47,22,17,26,20,17,7,13,13,17,13,15,73,45,26,22,3,5,461
2024-03-01 09:30:00,14,13,16,28,54,33,19,25,20,14,10,20,26,17,19,15,57,37,26,26,3,4,496
2024-03-01 09:40:00,18,17,19,24,58,32,18,35,15,13,11,12,17,15,15,10,63,47,13,27,7,9,495
2024-03-01 09:50:00,21,28,14,28,41,27,17,21,15,19,16,19,18,22,15,8,52,48,20,29,11,8,497
2024-03-01 10:00:00,19,29,20,16,50,29,19,24,20,16,12,15,23,12,17,13,60,27,30,26,7,9,493
2024-03-01 10:10:00,16,24,34,22,53,30,16,24,18,17,9,26,10,19,8,9,62,45,19,26,3,4,494
2024-03-01 10:20:00,20,15,22,23,46,33,11,21,25,14,11,22,22,17,16,11,47,43,21,37,5,5,487
2024-03-01 10:30:00,18,10,18,25,47,37,17,21,16,16,12,17,21,10,22,22,66,47,8,31,7,10,498
2024-03-01 10:40:00,26,15,21,20,46,25,20,20,15,23,13,13,20,14,13,12,58,48,6,21,3,5,457
2024-03-01 10:50:00,23,19,17,30,56,30,18,34,22,13,10,30,19,16,17,17,64,45,24,26,7,6,543
2024-03-01 11:00:00,19,18,20,21,56,28,21,32,16,15,14,18,21,16,18,13,52,43,30,27,5,4,507
