datetime,D51Z,D52Z,V51Z,D111Z,V111Z,D112Z,Total
2024-03-01 01:00:00,3,3,2,5,7,3,23
2024-03-01 01:10:00,4,4,6,3,1,3,21
2024-03-01 01:20:00,4,6,3,9,8,9,39
2024-03-01 01:30:00,5,5,4,2,1,1,18
2024-03-01 01:40:00,3,2,3,4,7,4,23
2024-03-01 01:50:00,2,1,1,3,3,3,13
2024-03-01 02:00:00,2,2,2,1,1,1,9
2024-03-01 02:10:00,3,3,3,3,3,2,17
2024-03-01 02:20:00,5,4,5,2,2,2,20
2024-03-01 02:30:00,3,3,2,3,3,3,17
2024-03-01 02:40:00,5,5,6,0,0,0,16
2024-03-01 02:50:00,3,3,3,1,1,1,12
2024-03-01 03:00:00,3,3,4,0,1,2,13
2024-03-01 03:10:00,0,1,1,1,1,1,5
2024-03-01 03:20:00,2,1,1,3,5,3,15
2024-03-01 03:30:00,3,3,4,1,1,1,13
2024-03-01 03:40:00,5,5,5,9,10,8,42
2024-03-01 03:50:00,2,1,1,3,3,4,14
2024-03-01 04:00:00,5,5,4,4,4,3,25
2024-03-01 04:10:00,5,4,5,7,8,6,35
2024-03-01 04:20:00,5,5,4,9,9,7,39
2024-03-01 04:30:00,2,2,1,10,7,10,32
2024-03-01 04:40:00,2,2,2,1,1,1,9
2024-03-01 04:50:00,4,3,2,5,4,5,23
2024-03-01 05:00:00,5,5,8,9,12,10,49
2024-03-01 05:10:00,11,10,4,14,15,14,68
2024-03-01 05:20:00,7,6,8,22,21,21,85
2024-03-01 05:30:00,18,16,11,26,30,26,127
2024-03-01 05:40:00,18,18,9,44,29,39,157
2024-03-01 05:50:00,15,14,13,37,34,37,150
2024-03-01 06:00:00,16,17,11,44,27,42,157
2024-03-01 06:10:00,26,24,24,46,39,48,207
2024-03-01 06:20:00,18,16,16,52,35,52,189
2024-03-01 06:30:00,20,22,19,52,39,58,210
2024-03-01 06:40:00,34,36,25,60,39,59,253
2024-03-01 06:50:00,21,20,22,50,44,50,207
2024-03-01 07:00:00,26,26,16,81,26,86,261
2024-03-01 07:10:00,34,32,24,78,34,75,277
2024-03-01 07:20:00,37,37,28,69,29,70,270
2024-03-01 07:30:00,37,38,24,95,33,94,321
2024-03-01 07:40:00,53,55,31,80,30,79,328
2024-03-01 07:50:00,45,46,33,68,42,67,301
2024-03-01 08:00:00,43,43,25,57,29,55,252
2024-03-01 08:10:00,33,36,19,60,31,61,240
2024-03-01 08:20:00,39,36,23,67,41,62,268
2024-03-01 08:30:00,44,48,28,63,39,59,281
2024-03-01 08:40:00,43,45,24,51,26,51,240
2024-03-01 08:50:00,32,35,29,61,45,69,271
2024-03-01 09:00:00,42,42,23,47,30,40,224
2024-03-01 09:10:00,42,44,31,48,28,43,236
2024-03-01 09:20:00,29,34,21,52,39,55,230
2024-03-01 09:30:00,54,58,36,41,23,40,252
2024-03-01 09:40:00,49,45,23,53,31,55,256
2024-03-01 09:50:00,45,48,27,59,40,59,278
2024-03-01 10:00:00,47,44,22,63,40,60,276
2024-03-01 10:10:00,37,39,30,53,32,53,244
2024-03-01 10:20:00,47,50,27,40,28,41,233
2024-03-01 10:30:00,47,45,34,45,26,45,242
2024-03-01 10:40:00,38,45,27,57,31,51,249
2024-03-01 10:50:00,47,45,22,52,26,55,247
2024-03-01 11:00:00,41,42,25,60,39,57,264
2024-03-01 11:10:00,39,46,32,45,22,46,230
2024-03-01 11:20:00,58,47,23,44,39,42,253
2024-03-01 11:30:00,46,45,30,52,35,58,266
2024-03-01 11:40:00,56,52,34,67,42,64,315
2024-03-01 11:50:00,58,62,28,45,27,41,261
2024-03-01 12:00:00,61,67,33,42,27,39,269
2024-03-01 12:10:00,77,70,38,54,38,53,330
2024-03-01 12:20:00,86,87,40,60,28,58,359
2024-03-01 12:30:00,72,76,35,54,35,60,332
2024-03-01 12:40:00,68,70,39,65,34,60,336
2024-03-01 12:50:00,60,61,37,50,31,45,284
2024-03-01 13:00:00,68,71,43,54,32,54,322
2024-03-01 13:10:00,45,46,24,28,20,28,191
2024-03-01 13:20:00,76,79,43,56,32,58,344
2024-03-01 13:30:00,68,77,44,55,37,49,330
2024-03-01 13:40:00,65,64,33,65,39,65,331
2024-03-01 13:50:00,53,51,36,53,33,49,275
2024-03-01 14:00:00,64,67,36,56,40,57,320
2024-03-01 14:10:00,74,74,29,51,33,47,308
2024-03-01 14:20:00,68,69,32,50,35,49,303
2024-03-01 14:30:00,65,70,39,63,27,61,325
2024-03-01 14:40:00,79,73,32,69,34,70,357
2024-03-01 14:50:00,70,72,41,44,32,49,308
2024-03-01 15:00:00,73,75,40,55,37,53,333
2024-03-01 15:10:00,71,76,38,58,37,57,337
2024-03-01 15:20:00,63,61,39,37,29,39,268
2024-03-01 15:30:00,68,67,34,50,40,51,310
2024-03-01 15:40:00,55,53,36,60,39,55,298
