datetime,V11Z,V21Z,D21Z,D41Z,D42Z,D43Z,V211Z,V81Z,V91Z,V44Z,V321Z,Total
2024-03-01 01:00:00,0,0,4,1,1,1,0,6,1,0,0,14
2024-03-01 01:10:00,1,0,5,0,0,0,0,2,0,1,1,10
2024-03-01 01:20:00,0,0,5,0,0,0,0,1,1,0,0,7
2024-03-01 01:30:00,0,0,1,0,0,0,0,2,0,0,0,3
2024-03-01 01:40:00,0,0,3,0,0,0,0,3,0,0,0,6
2024-03-01 01:50:00,0,0,5,0,0,0,0,2,0,0,0,7
2024-03-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:10:00,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 02:20:00,0,0,4,0,0,0,0,2,0,0,0,6
2024-03-01 02:30:00,0,0,6,0,0,0,0,2,0,0,0,8
2024-03-01 02:40:00,0,0,4,2,2,2,0,2,0,0,0,12
2024-03-01 02:50:00,0,0,1,0,0,0,0,0,0,0,0,1
2024-03-01 03:00:00,0,0,2,0,0,0,0,2,1,0,0,5
2024-03-01 03:10:00,0,0,4,0,0,0,0,3,2,0,0,9
2024-03-01 03:20:00,0,0,3,2,2,2,0,2,0,2,2,15
2024-03-01 03:30:00,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01 03:40:00,0,0,2,0,0,0,0,1,0,0,0,3
2024-03-01 03:50:00,0,0,5,0,0,0,0,3,1,0,0,9
2024-03-01 04:00:00,0,0,5,0,0,0,0,2,0,0,1,8
2024-03-01 04:10:00,0,0,6,0,0,0,0,3,2,0,0,11
2024-03-01 04:20:00,0,0,10,0,0,0,0,10,0,0,0,20
2024-03-01 04:30:00,0,0,9,0,0,0,0,6,0,0,0,15
2024-03-01 04:40:00,0,0,8,0,0,0,1,13,1,0,0,23
2024-03-01 04:50:00,0,0,10,0,0,0,0,10,1,0,0,21
2024-03-01 05:00:00,0,0,18,0,0,0,0,16,3,0,0,37
2024-03-01 05:10:00,0,1,14,0,0,0,0,11,1,0,0,27
2024-03-01 05:20:00,0,1,22,0,0,0,1,16,1,0,0,41
2024-03-01 05:30:00,0,2,25,0,0,0,2,17,0,0,0,46
2024-03-01 05:40:00,1,0,29,2,2,4,3,17,2,0,3,63
2024-03-01 05:50:00,0,0,30,0,0,0,2,19,0,0,0,51
2024-03-01 06:00:00,0,1,33,3,3,4,0,26,6,1,1,78
2024-03-01 06:10:00,2,1,36,0,0,0,0,26,2,2,2,71
2024-03-01 06:20:00,0,0,45,1,1,2,4,30,2,1,4,90
2024-03-01 06:30:00,1,3,43,0,0,0,1,29,4,2,3,86
2024-03-01 06:40:00,1,0,62,0,0,0,0,24,3,4,14,108
2024-03-01 06:50:00,0,1,48,1,1,1,1,26,4,1,2,86
2024-03-01 07:00:00,1,0,45,1,1,3,1,31,6,1,2,92
2024-03-01 07:10:00,2,2,55,1,1,3,0,27,7,1,5,104
2024-03-01 07:20:00,5,1,55,1,1,1,5,38,5,9,3,124
2024-03-01 07:30:00,3,1,72,4,3,7,6,32,14,11,9,162
2024-03-01 07:40:00,2,0,63,7,9,15,2,34,16,11,10,169
2024-03-01 07:50:00,1,1,53,6,6,7,1,32,8,14,9,138
2024-03-01 08:00:00,9,1,49,2,5,3,2,27,11,12,9,130
2024-03-01 08:10:00,5,0,59,6,8,6,1,25,5,12,13,140
2024-03-01 08:20:00,2,1,58,4,7,7,2,31,6,10,10,138
2024-03-01 08:30:00,2,0,61,3,4,8,2,37,9,16,10,152
2024-03-01 08:40:00,3,0,58,7,7,7,1,32,4,11,12,142
2024-03-01 08:50:00,1,0,57,5,5,11,1,21,6,17,15,139
2024-03-01 09:00:00,4,0,54,7,10,8,0,31,8,9,11,142
2024-03-01 09:10:00,5,1,63,4,4,2,2,31,9,7,5,133
2024-03-01 09:20:00,1,0,49,4,5,11,1,28,8,7,6,120
2024-03-01 09:30:00,2,0,43,3,4,7,1,26,16,4,6,112
2024-03-01 09:40:00,5,0,57,4,4,4,3,31,3,8,5,124
2024-03-01 09:50:00,4,0,45,2,2,3,1,24,2,6,4,93
2024-03-01 10:00:00,3,0,44,6,5,11,1,27,7,10,9,123
