datetime,D21Z,V22Z,D81Z,V82Z,V92Z,D111Z,D112Z,D531Z,D571Z,D581Z,V113Z,V114Z,Total
2024-03-01 01:00:00,5,10,2,3,0,1,2,0.0,0.0,0.0,1,2,26.0
2024-03-01 01:10:00,3,3,2,6,2,0,2,0.0,0.0,0.0,0,3,21.0
2024-03-01 01:20:00,4,3,2,4,4,2,0,0.0,0.0,0.0,3,0,22.0
2024-03-01 01:30:00,4,5,4,7,1,3,7,0.0,0.0,0.0,3,6,40.0
2024-03-01 01:40:00,3,3,3,9,0,0,2,0.0,0.0,0.0,0,3,23.0
2024-03-01 01:50:00,1,2,0,2,1,1,3,0.0,0.0,0.0,2,3,15.0
2024-03-01 02:00:00,3,3,2,1,0,3,0,0.0,0.0,0.0,5,1,18.0
2024-03-01 02:10:00,2,2,2,2,0,1,0,0.0,0.0,0.0,1,0,10.0
2024-03-01 02:20:00,2,3,0,3,1,0,1,0.0,0.0,0.0,0,1,11.0
2024-03-01 02:30:00,1,1,2,3,0,0,1,0.0,0.0,0.0,0,1,9.0
2024-03-01 02:40:00,0,1,1,1,0,0,0,0.0,0.0,0.0,0,0,3.0
2024-03-01 02:50:00,1,2,2,3,1,1,0,0.0,0.0,0.0,2,0,12.0
2024-03-01 03:00:00,3,2,2,2,0,0,0,0.0,0.0,0.0,0,0,9.0
2024-03-01 03:10:00,1,1,0,0,0,0,1,0.0,0.0,0.0,0,1,4.0
2024-03-01 03:20:00,1,4,2,2,0,0,0,0.0,0.0,0.0,0,0,9.0
2024-03-01 03:30:00,1,1,2,4,0,0,0,0.0,0.0,0.0,0,0,8.0
2024-03-01 03:40:00,5,9,1,4,1,0,1,0.0,0.0,0.0,0,1,22.0
2024-03-01 03:50:00,3,3,0,2,2,1,1,0.0,0.0,0.0,1,1,14.0
2024-03-01 04:00:00,3,4,3,5,1,0,0,0.0,0.0,0.0,0,0,16.0
2024-03-01 04:10:00,8,9,0,4,0,0,0,0.0,0.0,0.0,0,0,21.0
2024-03-01 04:20:00,7,8,1,3,3,0,2,0.0,0.0,0.0,0,1,25.0
2024-03-01 04:30:00,8,8,3,4,0,0,0,0.0,0.0,0.0,0,0,23.0
2024-03-01 04:40:00,4,3,2,6,6,2,2,0.0,0.0,0.0,2,3,30.0
2024-03-01 04:50:00,5,7,3,6,1,0,1,0.0,0.0,0.0,0,1,24.0
2024-03-01 05:00:00,14,13,13,14,6,2,5,0.0,0.0,0.0,2,3,72.0
2024-03-01 05:10:00,16,20,11,16,2,1,2,0.0,0.0,0.0,2,2,72.0
2024-03-01 05:20:00,7,7,5,15,11,1,0,0.0,0.0,0.0,3,0,49.0
2024-03-01 05:30:00,14,15,15,18,6,2,1,0.0,0.0,0.0,2,1,74.0
2024-03-01 05:40:00,17,19,14,16,38,2,5,0.0,0.0,0.0,12,6,129.0
2024-03-01 05:50:00,15,15,18,17,5,2,8,0.0,0.0,0.0,6,9,95.0
2024-03-01 06:00:00,18,25,12,15,1,4,4,0.0,0.0,0.0,6,6,91.0
2024-03-01 06:10:00,31,29,14,18,8,5,6,0.0,0.0,0.0,8,10,129.0
2024-03-01 06:20:00,27,26,18,21,7,3,6,0.0,0.0,0.0,4,5,117.0
2024-03-01 06:30:00,19,18,32,17,6,5,5,0.0,0.0,0.0,7,12,121.0
2024-03-01 06:40:00,25,29,280,18,11,2,6,0.0,0.0,0.0,2,6,379.0
2024-03-01 06:50:00,28,24,106,21,7,2,4,0.0,0.0,0.0,2,4,198.0
2024-03-01 07:00:00,31,24,40,21,4,2,8,0.0,0.0,0.0,3,5,138.0
2024-03-01 07:10:00,44,29,48,21,7,8,11,0.0,0.0,0.0,7,12,187.0
2024-03-01 07:20:00,42,16,28,22,7,4,12,0.0,0.0,0.0,6,9,146.0
2024-03-01 07:30:00,56,27,78,21,10,9,12,0.0,0.0,0.0,9,13,235.0
2024-03-01 07:40:00,63,21,81,33,14,6,8,0.0,0.0,0.0,6,7,239.0
2024-03-01 07:50:00,60,24,90,30,11,9,9,0.0,0.0,0.0,8,7,248.0
2024-03-01 08:00:00,61,34,40,19,14,7,11,0.0,0.0,0.0,8,10,204.0
2024-03-01 08:10:00,42,27,54,32,9,8,16,0.0,0.0,0.0,3,14,205.0
2024-03-01 08:20:00,60,25,50,19,13,12,24,0.0,0.0,0.0,11,16,230.0
2024-03-01 08:30:00,57,32,77,31,11,5,11,0.0,0.0,0.0,6,9,239.0
2024-03-01 08:40:00,61,28,55,27,11,10,5,0.0,0.0,0.0,8,6,211.0
2024-03-01 08:50:00,39,32,72,30,11,4,14,0.0,0.0,0.0,6,10,218.0
2024-03-01 09:00:00,56,21,58,23,13,16,12,0.0,0.0,0.0,12,10,221.0
2024-03-01 09:10:00,26,19,50,23,14,14,12,0.0,0.0,0.0,11,16,185.0
2024-03-01 09:20:00,49,31,58,28,4,5,7,0.0,0.0,0.0,7,7,196.0
2024-03-01 09:30:00,41,24,70,29,8,10,14,0.0,0.0,0.0,10,13,219.0
2024-03-01 09:40:00,54,31,41,29,8,4,11,0.0,0.0,0.0,4,9,191.0
2024-03-01 09:50:00,50,39,71,40,9,8,17,0.0,0.0,0.0,8,11,253.0
2024-03-01 10:00:00,34,27,36,24,7,7,12,0.0,0.0,0.0,8,8,163.0
2024-03-01 10:10:00,48,31,74,44,11,11,10,0.0,0.0,0.0,64,13,306.0
2024-03-01 10:20:00,41,26,40,30,6,3,17,0.0,0.0,0.0,3,11,177.0
2024-03-01 10:30:00,41,26,57,34,14,10,10,0.0,0.0,0.0,8,10,210.0
2024-03-01 10:40:00,47,25,25,32,10,5,8,0.0,0.0,0.0,10,6,168.0
2024-03-01 10:50:00,56,34,48,40,8,10,12,0.0,0.0,0.0,12,9,229.0
2024-03-01 11:00:00,38,38,81,35,13,10,14,0.0,0.0,0.0,8,14,251.0
2024-03-01 11:10:00,35,27,62,37,9,16,11,0.0,0.0,0.0,15,14,226.0
2024-03-01 11:20:00,32,32,62,42,21,13,11,0.0,0.0,0.0,22,9,244.0
2024-03-01 11:30:00,36,21,130,33,10,11,18,0.0,0.0,0.0,8,12,279.0
2024-03-01 11:40:00,70,25,43,38,13,3,16,0.0,0.0,0.0,6,16,230.0
2024-03-01 11:50:00,49,28,47,48,22,6,11,0.0,0.0,0.0,6,7,224.0
2024-03-01 12:00:00,67,27,128,41,11,19,20,0.0,0.0,0.0,15,18,346.0
2024-03-01 12:10:00,72,24,68,45,15,22,20,0.0,0.0,0.0,10,14,290.0
2024-03-01 12:20:00,62,17,101,36,13,9,29,0.0,0.0,0.0,10,18,295.0
2024-03-01 12:30:00,72,17,82,28,16,15,29,0.0,0.0,0.0,13,13,285.0
2024-03-01 12:40:00,73,30,208,35,16,18,18,0.0,0.0,0.0,12,10,420.0
2024-03-01 12:50:00,75,28,84,39,11,19,14,0.0,0.0,0.0,17,13,300.0
2024-03-01 13:00:00,66,28,139,44,10,16,18,0.0,0.0,0.0,17,17,355.0
