datetime,V11Z,V12Z,V13Z,D21Z,V31Z,V32Z,V33Z,V41Z,V42Z,V43Z,V14Z,V40Z,Total
2024-03-01 01:00:00,0,6,3,0,0,3,5,6,2,5,2,1,33
2024-03-01 01:10:00,0,1,4,0,0,2,5,4,1,1,1,1,20
2024-03-01 01:20:00,1,2,1,0,0,4,5,2,4,1,0,0,20
2024-03-01 01:30:00,1,7,2,0,0,2,3,3,2,1,1,0,22
2024-03-01 01:40:00,0,2,2,0,0,0,1,2,3,1,0,0,11
2024-03-01 01:50:00,0,3,0,0,0,3,7,2,0,1,0,0,16
2024-03-01 02:00:00,0,4,1,0,0,2,3,2,2,1,1,0,16
2024-03-01 02:10:00,0,1,0,0,0,1,2,2,0,2,1,0,9
2024-03-01 02:20:00,0,4,2,0,0,1,1,5,3,1,2,0,19
2024-03-01 02:30:00,0,4,3,0,0,0,0,0,1,1,1,0,10
2024-03-01 02:40:00,1,3,1,0,0,1,1,0,2,0,1,0,10
2024-03-01 02:50:00,0,1,1,0,0,2,2,2,2,1,1,1,13
2024-03-01 03:00:00,3,3,2,0,0,0,0,3,1,0,0,0,12
2024-03-01 03:10:00,1,5,0,0,0,1,1,1,1,0,2,0,12
2024-03-01 03:20:00,0,6,4,0,0,3,2,2,1,1,0,0,19
2024-03-01 03:30:00,0,2,1,0,0,3,6,2,1,0,0,2,17
2024-03-01 03:40:00,1,5,2,0,0,2,2,3,0,0,1,0,16
2024-03-01 03:50:00,1,1,1,0,0,1,2,2,2,2,1,0,13
2024-03-01 04:00:00,0,0,0,0,0,0,1,2,2,1,0,1,7
2024-03-01 04:10:00,0,3,3,0,0,0,3,7,2,3,2,0,23
2024-03-01 04:20:00,0,0,1,0,0,1,3,2,2,1,1,0,11
2024-03-01 04:30:00,0,4,3,0,0,5,7,2,0,0,0,0,21
2024-03-01 04:40:00,2,0,1,0,0,6,7,2,3,3,3,0,27
2024-03-01 04:50:00,1,4,1,0,0,5,9,6,6,2,1,0,35
2024-03-01 05:00:00,0,3,2,0,0,13,18,5,2,4,2,0,49
2024-03-01 05:10:00,2,8,7,0,0,8,15,5,7,5,0,1,58
2024-03-01 05:20:00,0,2,2,0,0,15,33,8,9,5,2,0,76
2024-03-01 05:30:00,0,15,10,0,0,21,44,8,6,17,6,0,127
2024-03-01 05:40:00,2,18,10,0,0,19,29,12,10,14,3,1,118
2024-03-01 05:50:00,0,14,8,0,0,43,40,10,12,14,6,1,148
2024-03-01 06:00:00,2,21,9,0,0,27,36,16,11,12,7,0,141
2024-03-01 06:10:00,5,31,8,0,0,35,44,16,15,12,3,1,170
2024-03-01 06:20:00,3,24,14,0,0,38,40,27,14,12,13,3,188
2024-03-01 06:30:00,2,27,11,0,0,40,41,17,17,11,9,3,178
2024-03-01 06:40:00,5,28,9,0,0,42,43,32,19,16,7,4,205
2024-03-01 06:50:00,3,23,6,0,0,30,52,25,19,13,19,1,191
2024-03-01 07:00:00,5,39,6,0,0,0,53,29,19,14,14,3,182
2024-03-01 07:10:00,12,31,4,0,0,0,52,32,19,15,15,5,185
2024-03-01 07:20:00,29,35,6,0,0,2,70,35,22,13,17,4,233
2024-03-01 07:30:00,16,44,6,0,0,0,65,39,32,28,16,2,248
2024-03-01 07:40:00,26,47,11,0,0,2,61,62,43,29,14,6,301
2024-03-01 07:50:00,22,48,11,0,0,3,62,53,27,22,20,2,270
2024-03-01 08:00:00,21,47,9,0,0,7,54,36,21,19,21,7,242
2024-03-01 08:10:00,26,39,4,0,0,1,44,52,21,26,17,4,234
2024-03-01 08:20:00,16,33,12,0,0,3,54,38,28,24,22,5,235
2024-03-01 08:30:00,24,30,9,0,0,0,58,25,22,16,15,4,203
2024-03-01 08:40:00,26,43,8,0,0,2,44,36,27,37,10,6,239
2024-03-01 08:50:00,62,41,9,0,0,4,46,50,25,25,17,6,285
2024-03-01 09:00:00,22,46,10,0,0,3,58,43,23,18,15,4,242
2024-03-01 09:10:00,28,40,8,0,0,1,53,46,32,26,12,1,247
2024-03-01 09:20:00,22,45,7,0,0,0,45,42,25,26,17,2,231
2024-03-01 09:30:00,27,41,12,0,0,0,37,43,25,24,12,2,223
2024-03-01 09:40:00,19,42,15,0,0,3,36,39,31,25,16,3,229
2024-03-01 09:50:00,24,37,11,0,0,2,30,41,26,39,30,1,241
2024-03-01 10:00:00,26,47,15,0,0,2,28,38,26,19,20,7,228
2024-03-01 10:10:00,17,52,14,0,0,4,27,36,29,26,12,4,221
2024-03-01 10:20:00,28,42,11,0,0,2,40,56,41,35,22,4,281
2024-03-01 10:30:00,24,58,15,0,0,6,22,30,23,21,20,4,223
2024-03-01 10:40:00,24,42,15,0,0,2,37,64,32,16,19,2,253
2024-03-01 10:50:00,27,38,16,0,0,4,39,57,37,27,19,2,266
2024-03-01 11:00:00,20,39,16,0,0,3,30,40,25,28,28,7,236
2024-03-01 11:10:00,38,50,12,0,0,5,37,44,34,26,32,2,280
2024-03-01 11:20:00,24,41,16,0,0,7,39,40,25,21,18,3,234
2024-03-01 11:30:00,23,34,13,0,0,1,43,51,27,19,24,3,238
2024-03-01 11:40:00,28,48,17,0,0,3,31,49,28,23,28,5,260
2024-03-01 11:50:00,19,51,15,0,2,0,36,48,25,15,30,5,246
2024-03-01 12:00:00,18,47,16,0,0,1,27,56,28,23,17,5,238
2024-03-01 12:10:00,16,49,24,0,3,0,48,57,24,23,30,5,279
2024-03-01 12:20:00,25,52,22,0,1,0,51,47,21,21,40,3,283
2024-03-01 12:30:00,25,47,22,0,0,2,33,53,24,27,24,3,260
2024-03-01 12:40:00,32,44,26,0,0,3,46,51,34,22,25,4,287
2024-03-01 12:50:00,27,68,28,0,1,4,61,52,33,26,30,2,332
2024-03-01 13:00:00,26,43,28,0,0,3,35,50,27,19,34,4,269
2024-03-01 13:10:00,42,49,22,0,0,3,44,62,28,23,33,6,312
2024-03-01 13:20:00,25,60,20,0,1,2,32,51,26,28,32,4,281
2024-03-01 13:30:00,28,45,16,0,1,4,29,50,34,20,46,6,279
2024-03-01 13:40:00,27,36,24,0,0,2,35,54,21,21,31,10,261
2024-03-01 13:50:00,26,52,24,0,5,0,34,54,22,23,24,4,268
2024-03-01 14:00:00,27,61,32,0,0,0,33,51,32,26,34,6,302
2024-03-01 14:10:00,20,68,27,0,0,0,29,50,27,21,28,2,272
2024-03-01 14:20:00,30,61,25,0,4,1,34,61,31,27,37,5,316
2024-03-01 14:30:00,21,45,22,0,0,0,34,56,25,20,30,8,261
2024-03-01 14:40:00,25,60,24,0,1,2,33,48,23,18,28,6,268
2024-03-01 14:50:00,22,71,30,0,0,3,22,45,34,22,34,6,289
2024-03-01 15:00:00,26,46,31,0,0,3,27,57,31,26,25,6,278
2024-03-01 15:10:00,24,53,40,0,0,0,25,53,30,19,24,6,274
2024-03-01 15:20:00,21,63,29,0,0,5,38,48,25,28,40,6,303
2024-03-01 15:30:00,17,39,30,0,0,3,33,57,36,22,23,6,266
2024-03-01 15:40:00,16,60,39,0,0,2,34,50,35,23,26,4,289
2024-03-01 15:50:00,26,59,37,0,0,1,31,57,32,28,38,5,314
2024-03-01 16:00:00,27,46,34,0,0,1,38,41,28,29,24,8,276
2024-03-01 16:10:00,21,49,45,0,0,6,33,54,21,13,26,6,274
2024-03-01 16:20:00,32,49,37,0,0,5,33,47,30,23,28,3,287
2024-03-01 16:30:00,20,54,37,0,0,5,33,50,19,20,28,13,279
2024-03-01 16:40:00,15,71,38,0,0,3,31,53,37,31,20,4,303
2024-03-01 16:50:00,45,49,36,0,0,1,36,55,25,25,29,4,305
2024-03-01 17:00:00,15,55,41,0,0,4,34,62,27,24,30,3,295
2024-03-01 17:10:00,17,49,39,0,0,3,34,48,29,32,27,3,281
2024-03-01 17:20:00,18,49,41,0,0,1,41,64,25,24,26,6,295
2024-03-01 17:30:00,20,46,27,0,0,1,27,54,27,23,28,10,263
2024-03-01 17:40:00,11,51,35,0,0,4,32,52,26,21,23,6,261
2024-03-01 17:50:00,24,44,39,0,0,4,54,49,29,26,20,3,292
2024-03-01 18:00:00,17,51,33,0,0,4,40,53,26,22,31,6,283
2024-03-01 18:10:00,12,52,35,0,0,4,44,41,30,19,23,7,267
2024-03-01 18:20:00,7,46,28,0,1,15,45,60,21,22,27,3,275
2024-03-01 18:30:00,10,42,27,0,0,33,42,45,31,26,22,7,285
2024-03-01 18:40:00,6,46,34,0,0,36,45,47,32,21,24,8,299
2024-03-01 18:50:00,8,47,22,0,0,44,38,43,26,20,14,7,269
2024-03-01 19:00:00,8,47,30,0,0,34,45,37,26,21,19,5,272
2024-03-01 19:10:00,7,51,18,0,0,41,51,44,24,16,23,2,277
2024-03-01 19:20:00,4,49,16,0,0,34,50,34,24,17,19,5,252
2024-03-01 19:30:00,8,53,16,0,0,38,48,34,26,12,21,4,260
2024-03-01 19:40:00,11,33,21,0,1,30,42,34,13,14,12,7,218
