datetime,D11Z,D12Z,D21Z,D22Z,D23Z,D31Z,D32Z,Total
2024-03-01 01:00:00,2,7,3,0,0,3,1,16
2024-03-01 01:10:00,1,4,6,1,0,0,1,13
2024-03-01 01:20:00,3,3,1,0,0,3,2,12
2024-03-01 01:30:00,4,9,2,2,0,0,0,17
2024-03-01 01:40:00,2,2,1,0,0,1,0,6
2024-03-01 01:50:00,1,2,1,1,0,0,1,6
2024-03-01 02:00:00,3,3,3,2,0,1,2,14
2024-03-01 02:10:00,1,2,1,0,0,3,0,7
2024-03-01 02:20:00,3,5,2,1,0,2,1,14
2024-03-01 02:30:00,4,4,2,1,0,1,1,13
2024-03-01 02:40:00,4,4,1,0,0,0,1,10
2024-03-01 02:50:00,0,0,1,2,0,1,1,5
2024-03-01 03:00:00,1,4,0,2,0,1,2,10
2024-03-01 03:10:00,3,4,0,2,0,1,3,13
2024-03-01 03:20:00,1,6,2,1,0,2,1,13
2024-03-01 03:30:00,2,3,1,0,0,4,2,12
2024-03-01 03:40:00,2,5,0,1,0,0,1,9
2024-03-01 03:50:00,2,3,0,0,0,3,1,9
2024-03-01 04:00:00,2,1,0,0,0,1,0,4
2024-03-01 04:10:00,1,4,0,1,0,5,1,12
2024-03-01 04:20:00,1,1,6,0,0,2,1,11
2024-03-01 04:30:00,4,5,4,2,0,4,0,19
2024-03-01 04:40:00,3,5,3,0,0,4,1,16
2024-03-01 04:50:00,2,5,1,2,0,4,4,18
2024-03-01 05:00:00,3,5,8,1,0,11,3,31
2024-03-01 05:10:00,5,9,5,1,0,8,2,30
2024-03-01 05:20:00,3,5,14,2,0,13,0,37
2024-03-01 05:30:00,10,16,11,10,0,38,7,92
2024-03-01 05:40:00,10,17,20,6,0,30,4,87
2024-03-01 05:50:00,9,15,14,6,0,32,5,81
2024-03-01 06:00:00,11,16,18,9,0,33,20,107
2024-03-01 06:10:00,6,28,20,12,0,30,16,112
2024-03-01 06:20:00,16,26,32,8,0,35,16,133
2024-03-01 06:30:00,4,28,30,23,0,50,29,164
2024-03-01 06:40:00,9,29,42,16,0,53,28,177
2024-03-01 06:50:00,19,29,47,18,0,44,25,182
2024-03-01 07:00:00,9,28,44,23,0,45,36,185
2024-03-01 07:10:00,18,37,47,26,0,23,23,174
2024-03-01 07:20:00,15,31,44,36,0,30,45,201
2024-03-01 07:30:00,5,43,55,34,0,37,56,230
2024-03-01 07:40:00,11,30,69,41,0,44,56,251
2024-03-01 07:50:00,12,47,61,41,0,54,62,277
2024-03-01 08:00:00,10,48,55,42,0,49,46,250
2024-03-01 08:10:00,17,40,58,27,0,39,54,235
2024-03-01 08:20:00,20,36,58,32,0,46,44,236
2024-03-01 08:30:00,12,31,49,26,0,31,30,179
2024-03-01 08:40:00,13,29,56,35,0,37,42,212
2024-03-01 08:50:00,12,42,55,32,0,45,66,252
2024-03-01 09:00:00,16,39,39,23,0,39,42,198
2024-03-01 09:10:00,13,37,44,27,0,47,44,212
2024-03-01 09:20:00,23,30,49,17,0,40,45,204
2024-03-01 09:30:00,21,39,45,28,0,58,55,246
2024-03-01 09:40:00,26,41,52,27,0,57,60,263
2024-03-01 09:50:00,25,58,44,30,0,52,63,272
2024-03-01 10:00:00,26,44,47,24,0,56,57,254
2024-03-01 10:10:00,23,34,43,28,0,64,67,259
2024-03-01 10:20:00,24,30,57,30,0,59,57,257
2024-03-01 10:30:00,19,45,46,19,0,40,55,224
2024-03-01 10:40:00,17,31,38,24,0,50,46,206
2024-03-01 10:50:00,16,34,56,20,0,42,55,223
2024-03-01 11:00:00,22,53,29,9,0,40,49,202
2024-03-01 11:10:00,25,59,39,23,0,60,68,274
2024-03-01 11:20:00,25,49,48,24,0,54,66,266
2024-03-01 11:30:00,18,44,40,26,0,55,57,240
2024-03-01 11:40:00,13,67,41,25,0,61,71,278
2024-03-01 11:50:00,18,48,34,30,0,64,49,243
2024-03-01 12:00:00,13,54,44,26,0,58,68,263
2024-03-01 12:10:00,29,49,41,33,0,50,76,278
2024-03-01 12:20:00,28,59,40,30,0,60,77,294
2024-03-01 12:30:00,28,63,42,25,0,56,63,277
2024-03-01 12:40:00,24,42,57,35,0,74,83,315
2024-03-01 12:50:00,27,46,60,39,0,67,85,324
2024-03-01 13:00:00,35,56,41,33,0,56,73,294
2024-03-01 13:10:00,21,44,47,31,0,51,66,260
2024-03-01 13:20:00,25,51,46,31,0,62,69,284
2024-03-01 13:30:00,28,51,44,36,0,60,84,303
2024-03-01 13:40:00,31,42,45,33,0,49,80,280
2024-03-01 13:50:00,28,59,47,34,0,43,85,296
2024-03-01 14:00:00,25,62,47,40,0,42,90,306
2024-03-01 14:10:00,27,42,54,35,0,44,97,299
2024-03-01 14:20:00,36,35,43,31,0,47,97,289
2024-03-01 14:30:00,27,58,47,27,0,52,71,282
2024-03-01 14:40:00,31,54,53,30,0,34,77,279
2024-03-01 14:50:00,34,63,42,23,0,48,70,280
