datetime,D51Z,V51Z,D52Z,D111Z,V111Z,D112Z,Total
2024-03-01 17:10:00,0,2,0,0,3,6,0.0
2024-03-01 17:20:00,0,12,0,0,24,27,0.0
2024-03-01 17:30:00,0,24,0,0,17,24,0.0
2024-03-01 17:40:00,0,22,0,0,28,36,0.0
2024-03-01 17:50:00,0,19,0,0,14,12,0.0
2024-03-01 18:00:00,0,18,0,0,17,24,0.0
2024-03-01 18:10:00,0,21,0,0,17,24,0.0
2024-03-01 18:20:00,0,17,0,0,17,27,0.0
2024-03-01 18:30:00,0,14,0,0,14,17,0.0
2024-03-01 18:40:00,0,12,0,0,19,20,0.0
2024-03-01 18:50:00,0,12,0,0,15,19,0.0
2024-03-01 19:00:00,0,15,0,0,18,18,0.0
2024-03-01 19:10:00,0,12,0,0,12,16,0.0
2024-03-01 19:20:00,0,9,0,0,15,17,0.0
2024-03-01 19:30:00,0,8,0,0,16,15,0.0
2024-03-01 19:40:00,0,9,0,0,2,5,0.0
2024-03-01 19:50:00,0,14,0,0,11,11,0.0
2024-03-01 20:00:00,0,10,0,0,8,10,0.0
2024-03-01 20:10:00,0,6,0,0,12,10,0.0
2024-03-01 20:20:00,0,6,0,0,8,11,0.0
2024-03-01 20:30:00,0,12,0,0,6,7,0.0
2024-03-01 20:40:00,0,4,0,0,7,7,0.0
2024-03-01 20:50:00,0,5,0,0,13,13,0.0
2024-03-01 21:00:00,0,4,0,0,7,11,0.0
2024-03-01 21:10:00,0,5,0,0,11,11,0.0
2024-03-01 21:20:00,0,6,0,0,8,9,0.0
2024-03-01 21:30:00,0,2,0,0,8,10,0.0
2024-03-01 21:40:00,0,4,0,0,6,8,0.0
2024-03-01 21:50:00,0,4,0,0,4,4,0.0
2024-03-01 22:00:00,0,3,0,0,8,6,0.0
2024-03-01 22:10:00,0,5,0,0,5,6,0.0
2024-03-01 22:20:00,0,2,0,0,6,7,0.0
2024-03-01 22:30:00,0,6,0,0,4,4,0.0
2024-03-01 22:40:00,0,5,0,0,9,10,0.0
2024-03-01 22:50:00,0,4,0,0,7,7,0.0
2024-03-01 23:00:00,0,12,0,0,7,8,0.0
2024-03-01 23:10:00,0,5,0,0,7,7,0.0
2024-03-01 23:20:00,0,6,0,0,6,6,0.0
2024-03-01 23:30:00,0,4,0,0,2,3,0.0
2024-03-01 23:40:00,0,6,0,0,2,2,0.0
